# ---------- Simulated data ------------- 
# model R0= 0.200000 
# --------------------------------------- 
# Br(z,th) data
# z followed by pairs of (th,Br) 
 0.187300  # r_probes
 5.000000  # th_step(deg)
 0.005000  # z_step 
  401  # Nz (number of z points) 
  73  # Nt (number of theta points) 
DATA_Z_TH_BR_FldData
  0 
-0.990000 190.000000 0.000723
-0.990000 195.000000 0.001056
-0.990000 200.000000 0.001358
-0.990000 205.000000 0.001618
-0.990000 210.000000 0.001829
-0.990000 215.000000 0.001984
-0.990000 220.000000 0.002079
-0.990000 225.000000 0.002111
-0.990000 230.000000 0.002079
-0.990000 235.000000 0.001984
-0.990000 240.000000 0.001829
-0.990000 245.000000 0.001618
-0.990000 250.000000 0.001358
-0.990000 255.000000 0.001056
-0.990000 260.000000 0.000723
-0.990000 265.000000 0.000367
-0.990000 270.000000 -0.000000
-0.990000 275.000000 -0.000367
-0.990000 280.000000 -0.000723
-0.990000 285.000000 -0.001056
-0.990000 290.000000 -0.001358
-0.990000 295.000000 -0.001618
-0.990000 300.000000 -0.001829
-0.990000 305.000000 -0.001984
-0.990000 310.000000 -0.002079
-0.990000 315.000000 -0.002111
-0.990000 320.000000 -0.002079
-0.990000 325.000000 -0.001984
-0.990000 330.000000 -0.001829
-0.990000 335.000000 -0.001618
-0.990000 340.000000 -0.001358
-0.990000 345.000000 -0.001056
-0.990000 350.000000 -0.000723
-0.990000 355.000000 -0.000367
-0.990000 360.000000 0.000000
  3 
-0.985000 0.000000 0.000000
-0.985000 5.000000 0.000416
-0.985000 10.000000 0.000820
-0.985000 15.000000 0.001198
-0.985000 20.000000 0.001540
-0.985000 25.000000 0.001835
-0.985000 30.000000 0.002075
-0.985000 35.000000 0.002251
-0.985000 40.000000 0.002359
-0.985000 45.000000 0.002395
-0.985000 50.000000 0.002359
-0.985000 55.000000 0.002251
-0.985000 60.000000 0.002075
-0.985000 65.000000 0.001835
-0.985000 70.000000 0.001540
-0.985000 75.000000 0.001198
-0.985000 80.000000 0.000820
-0.985000 85.000000 0.000416
-0.985000 90.000000 -0.000000
-0.985000 95.000000 -0.000416
-0.985000 100.000000 -0.000820
-0.985000 105.000000 -0.001198
-0.985000 110.000000 -0.001540
-0.985000 115.000000 -0.001835
-0.985000 120.000000 -0.002075
-0.985000 125.000000 -0.002251
-0.985000 130.000000 -0.002359
-0.985000 135.000000 -0.002395
-0.985000 140.000000 -0.002359
-0.985000 145.000000 -0.002251
-0.985000 150.000000 -0.002075
-0.985000 155.000000 -0.001835
-0.985000 160.000000 -0.001540
-0.985000 165.000000 -0.001198
-0.985000 170.000000 -0.000820
-0.985000 175.000000 -0.000416
-0.985000 180.000000 0.000000
-0.985000 185.000000 0.000416
-0.985000 190.000000 0.000820
-0.985000 195.000000 0.001198
-0.985000 200.000000 0.001540
-0.985000 205.000000 0.001835
-0.985000 210.000000 0.002075
-0.985000 215.000000 0.002251
-0.985000 220.000000 0.002359
-0.985000 225.000000 0.002395
-0.985000 230.000000 0.002359
-0.985000 235.000000 0.002251
-0.985000 240.000000 0.002075
-0.985000 245.000000 0.001835
-0.985000 250.000000 0.001540
-0.985000 255.000000 0.001198
-0.985000 260.000000 0.000820
-0.985000 265.000000 0.000416
-0.985000 270.000000 -0.000000
-0.985000 275.000000 -0.000416
-0.985000 280.000000 -0.000820
-0.985000 285.000000 -0.001198
-0.985000 290.000000 -0.001540
-0.985000 295.000000 -0.001835
-0.985000 300.000000 -0.002075
-0.985000 305.000000 -0.002251
-0.985000 310.000000 -0.002359
-0.985000 315.000000 -0.002395
-0.985000 320.000000 -0.002359
-0.985000 325.000000 -0.002251
-0.985000 330.000000 -0.002075
-0.985000 335.000000 -0.001835
-0.985000 340.000000 -0.001540
-0.985000 345.000000 -0.001198
