Iamps = 180,	R0 = 0.2,	Nz = 401,	Leff = 0.658691
p0	0.25611	0.00034
p1	3.78648	0.00058
p2	-0.48798	0.00143
p3	0.54328	0.00246
p4	-0.33896	0.00285
p5	0.11450	0.00166
p6	0.25608	0.00034
p7	3.78635	0.00058
p8	-0.48745	0.00143
p9	0.54342	0.00247
p10	-0.33909	0.00287
p11	0.11403	0.00167
p12	1.92021	0.00036
