      z,       b_n0_Re,       b_n0_Im
             -1,    1.04376e-13,   -3.81843e-27 
         -0.995,    1.26954e-13,     3.9657e-27 
          -0.99,    1.56647e-13,   -4.81793e-27 
         -0.985,      1.956e-13,    1.09682e-26 
          -0.98,    2.46287e-13,    1.30121e-26 
         -0.975,    3.11393e-13,    1.61813e-27 
          -0.97,    3.93635e-13,   -7.71841e-27 
         -0.965,    4.95495e-13,    2.70773e-26 
          -0.96,    6.18897e-13,   -1.02329e-26 
         -0.955,    7.64852e-13,    1.38121e-26 
          -0.95,    9.33094e-13,   -9.74503e-27 
         -0.945,    1.12178e-12,    1.60771e-27 
          -0.94,    1.32728e-12,   -2.02341e-27 
         -0.935,     1.5442e-12,   -2.71044e-27 
          -0.93,    1.76547e-12,    1.33861e-27 
         -0.925,    1.98279e-12,    2.86659e-27 
          -0.92,    2.18713e-12,   -1.62111e-27 
         -0.915,    2.36947e-12,    1.08442e-26 
          -0.91,    2.52146e-12,    1.00096e-27 
         -0.905,    2.63618e-12,   -6.82491e-27 
           -0.9,    2.70861e-12,   -1.14985e-26 
         -0.895,    2.73607e-12,    1.97743e-26 
          -0.89,    2.71832e-12,   -2.49604e-26 
         -0.885,    2.65745e-12,   -4.34672e-27 
          -0.88,    2.55761e-12,    5.58402e-27 
         -0.875,    2.42451e-12,   -5.03356e-28 
          -0.87,    2.26494e-12,    9.84021e-27 
         -0.865,    2.08619e-12,   -1.47191e-26 
          -0.86,    1.89551e-12,   -3.23758e-27 
         -0.855,    1.69974e-12,    4.06162e-27 
          -0.85,    1.50494e-12,    -1.6253e-27 
         -0.845,     1.3162e-12,   -1.00756e-26 
          -0.84,    1.13759e-12,     8.1334e-28 
         -0.835,    9.72129e-13,    8.97492e-27 
          -0.83,    8.21877e-13,   -9.06483e-27 
         -0.825,    6.88091e-13,    1.33514e-26 
          -0.82,    5.71364e-13,     -6.083e-27 
         -0.815,    4.71794e-13,    3.17376e-27 
          -0.81,    3.89141e-13,    8.14981e-28 
         -0.805,    3.22956e-13,   -3.91194e-27 
           -0.8,      2.727e-13,   -3.68856e-27 
         -0.795,    2.37819e-13,    8.94549e-27 
          -0.79,     2.1781e-13,    1.12605e-26 
         -0.785,    2.12252e-13,    5.09824e-28 
