      z,       a_n0_Re,       a_n0_Im
             -1    1.50112e-14   -3.21339e-27 
         -0.995    2.35418e-14   -9.66884e-28 
          -0.99    3.56796e-14   -8.24919e-27 
         -0.985    5.24416e-14   -6.40442e-27 
          -0.98    7.49497e-14   -2.92602e-27 
         -0.975    1.04377e-13    4.74521e-27 
          -0.97    1.41868e-13    3.69818e-27 
         -0.965    1.88442e-13   -2.41365e-28 
          -0.96    2.44873e-13   -4.73088e-27 
         -0.955    3.11565e-13   -5.96527e-27 
          -0.95    3.88426e-13   -6.45883e-28 
         -0.945    4.74771e-13    1.05591e-28 
          -0.94    5.69256e-13   -9.51772e-27 
         -0.935    6.69858e-13   -4.61078e-27 
          -0.93    7.73923e-13   -1.45909e-27 
         -0.925    8.78275e-13   -6.44553e-28 
          -0.92    9.79377e-13   -3.16744e-27 
         -0.915    1.07355e-12    1.99274e-27 
          -0.91    1.15717e-12    3.05114e-27 
         -0.905    1.22696e-12   -4.37649e-27 
           -0.9    1.28011e-12   -6.79728e-27 
         -0.895    1.31446e-12   -5.49357e-27 
          -0.89    1.32859e-12    -6.5455e-27 
         -0.885    1.32178e-12    4.23638e-27 
          -0.88    1.29396e-12   -4.04654e-27 
         -0.875    1.24554e-12    -7.4129e-28 
          -0.87    1.17722e-12   -1.07401e-26 
         -0.865    1.08976e-12   -1.55547e-26 
          -0.86    9.83674e-13   -6.65324e-27 
         -0.855    8.58969e-13    7.05618e-27 
          -0.85    7.14888e-13    2.44295e-26 
         -0.845    5.49643e-13   -4.84147e-27 
          -0.84    3.60201e-13   -6.39842e-27 
         -0.835    1.42096e-13    7.65396e-27 
          -0.83   -1.10693e-13   -2.33422e-27 
         -0.825   -4.05816e-13   -1.05663e-26 
          -0.82    -7.5252e-13   -2.41192e-27 
         -0.815   -1.16153e-12   -1.75089e-26 
          -0.81   -1.64478e-12    4.54565e-27 
         -0.805     -2.215e-12    1.39397e-26 
           -0.8    -2.8851e-12    2.22458e-27 
         -0.795   -3.66738e-12    3.27477e-27 
          -0.79   -4.57253e-12   -8.40128e-27 
         -0.785   -5.60847e-12   -1.43967e-26 
          -0.78   -6.77907e-12   -6.49686e-27 
         -0.775   -8.08285e-12    3.90167e-27 
          -0.77   -9.51173e-12    2.90738e-30 
         -0.765   -1.10501e-11   -7.34343e-27 
          -0.76   -1.26742e-11   -5.14816e-28 
         -0.755    -1.4352e-11   -1.16571e-27 
          -0.75   -1.60439e-11   -5.85892e-27 
         -0.745   -1.77041e-11    -8.4502e-27 
          -0.74   -1.92825e-11   -2.71541e-27 
         -0.735   -2.07276e-11     4.4334e-27 
          -0.73   -2.19893e-11   -5.21393e-27 
         -0.725   -2.30224e-11    1.26137e-27 
          -0.72   -2.37892e-11    4.67589e-27 
         -0.715   -2.42627e-11   -6.34355e-27 
          -0.71   -2.44279e-11   -1.68377e-27 
         -0.705   -2.42826e-11    5.42098e-28 
           -0.7   -2.38378e-11    5.61777e-27 
         -0.695   -2.31158e-11    1.09696e-26 
          -0.69   -2.21491e-11    2.32806e-27 
         -0.685   -2.09775e-11    1.47168e-26 
          -0.68   -1.96451e-11    7.59538e-27 
         -0.675   -1.81983e-11   -4.43927e-27 
          -0.67   -1.66824e-11    7.73558e-27 
         -0.665   -1.51398e-11    1.36958e-26 
          -0.66   -1.36085e-11   -7.57896e-27 
         -0.655   -1.21206e-11    1.31429e-26 
          -0.65   -1.07017e-11   -3.00192e-27 
         -0.645   -9.37128e-12     4.4348e-27 
          -0.64   -8.14248e-12   -2.57857e-27 
         -0.635   -7.02294e-12    3.61796e-27 
          -0.63   -6.01548e-12   -6.73287e-27 
         -0.625   -5.11902e-12    1.18794e-26 
          -0.62   -4.32943e-12    5.97446e-27 
