      z,       a_n0_Re,       a_n0_Im
             -1    -6.9324e-21    2.16701e-27 
         -0.995    1.99403e-19    -4.7814e-28 
          -0.99    5.79215e-19    7.43595e-28 
         -0.985     1.2487e-18    2.44592e-28 
          -0.98    2.39434e-18   -9.14446e-28 
         -0.975    4.31243e-18   -1.63707e-27 
          -0.97    7.46954e-18    1.16563e-27 
         -0.965    1.25942e-17    2.81827e-27 
          -0.96    2.08155e-17    2.48469e-27 
         -0.955    3.38708e-17   -8.43548e-28 
          -0.95    5.44173e-17    1.43765e-27 
         -0.945    8.64932e-17    3.86206e-28 
          -0.94    1.36203e-16    1.06371e-27 
         -0.935    2.12721e-16     3.9568e-27 
          -0.93     3.2977e-16    2.13856e-27 
         -0.925    5.07758e-16   -3.70702e-27 
          -0.92    7.76879e-16    7.74392e-28 
         -0.915    1.18155e-15   -1.70073e-27 
          -0.91    1.78677e-15   -1.17395e-27 
         -0.905    2.68702e-15   -2.88139e-27 
           -0.9    4.01889e-15    9.01606e-30 
         -0.895     5.9785e-15   -2.29794e-27 
          -0.89    8.84559e-15   -1.06529e-27 
         -0.885    1.30164e-14    3.95829e-27 
          -0.88     1.9048e-14   -1.21309e-27 
         -0.875    2.77177e-14    6.52844e-27 
          -0.87    4.01012e-14   -5.56815e-27 
         -0.865     5.7674e-14     1.4816e-27 
          -0.86    8.24415e-14    3.33203e-28 
         -0.855    1.17101e-13    -3.5962e-27 
          -0.85    1.65241e-13    7.22833e-28 
         -0.845    2.31579e-13    1.65024e-27 
          -0.84     3.2223e-13   -1.06411e-26 
         -0.835    4.45008e-13    9.97218e-27 
          -0.83    6.09732e-13   -3.27222e-27 
         -0.825    8.28515e-13   -4.52364e-27 
          -0.82    1.11599e-12    2.43534e-27 
         -0.815    1.48941e-12    8.14899e-27 
          -0.81    1.96859e-12    5.62113e-27 
         -0.805    2.57552e-12    7.08202e-27 
           -0.8    3.33367e-12   -8.36292e-27 
         -0.795    4.26684e-12   -1.20686e-26 
          -0.79    5.39755e-12   -8.87296e-27 
         -0.785     6.7449e-12   -6.91275e-27 
          -0.78    8.32206e-12     1.0634e-26 
         -0.775    1.01334e-11   -3.97684e-27 
          -0.77    1.21718e-11   -1.08698e-26 
