      z,       b_n0_Re,       b_n0_Im
             -1,   -3.30687e-13,    8.83032e-29 
         -0.995,    -3.2192e-13,    6.02157e-28 
          -0.99,   -3.12104e-13,   -3.95965e-28 
         -0.985,   -3.01159e-13,   -3.95176e-28 
          -0.98,   -2.89013e-13,    7.62435e-28 
         -0.975,   -2.75598e-13,   -8.21084e-29 
          -0.97,   -2.60853e-13,    5.81507e-28 
         -0.965,   -2.44727e-13,   -1.25063e-27 
          -0.96,   -2.27171e-13,   -1.39331e-30 
         -0.955,   -2.08145e-13,   -1.12192e-27 
          -0.95,   -1.87615e-13,    1.09589e-27 
         -0.945,   -1.65548e-13,   -2.29455e-28 
          -0.94,   -1.41919e-13,    -3.3105e-28 
         -0.935,   -1.16703e-13,   -1.12272e-27 
          -0.93,   -8.98797e-14,    -1.0833e-27 
         -0.925,   -6.14284e-14,   -2.12115e-28 
          -0.92,   -3.13306e-14,   -5.35024e-29 
         -0.915,    4.31722e-16,   -2.11219e-28 
          -0.91,    3.38763e-14,    8.74807e-28 
         -0.905,    6.90207e-14,    2.87956e-28 
           -0.9,    1.05882e-13,    7.00226e-28 
         -0.895,    1.44478e-13,   -5.04801e-28 
          -0.89,    1.84827e-13,    8.45837e-28 
         -0.885,    2.26945e-13,    1.49075e-27 
          -0.88,     2.7085e-13,   -1.06244e-27 
         -0.875,     3.1656e-13,    8.90077e-28 
          -0.87,    3.64091e-13,   -1.06741e-27 
         -0.865,    4.13461e-13,    4.33866e-28 
          -0.86,    4.64686e-13,    2.21557e-28 
         -0.855,    5.17782e-13,   -6.60164e-28 
          -0.85,    5.72767e-13,    1.27472e-27 
         -0.845,    6.29656e-13,    -1.7374e-27 
          -0.84,    6.88465e-13,   -1.47553e-27 
         -0.835,     7.4921e-13,   -6.58013e-28 
          -0.83,    8.11905e-13,   -2.86625e-29 
         -0.825,    8.76568e-13,    1.13302e-27 
          -0.82,    9.43213e-13,   -6.78105e-29 
         -0.815,    1.01186e-12,     5.5544e-28 
          -0.81,    1.08251e-12,    3.99769e-28 
         -0.805,     1.1552e-12,    -6.2029e-28 
           -0.8,    1.22994e-12,   -1.06663e-27 
         -0.795,    1.30673e-12,   -7.58094e-28 
          -0.79,    1.38562e-12,   -4.87964e-28 
         -0.785,     1.4666e-12,    2.64773e-28 
          -0.78,     1.5497e-12,   -9.63415e-28 
         -0.775,    1.63495e-12,     -4.627e-28 
          -0.77,    1.72236e-12,   -2.91174e-28 
         -0.765,    1.81195e-12,    1.60604e-27 
          -0.76,    1.90375e-12,   -3.01538e-28 
         -0.755,    1.99779e-12,    7.61514e-28 
          -0.75,     2.0941e-12,     -3.448e-28 
         -0.745,     2.1927e-12,    5.16805e-28 
          -0.74,    2.29362e-12,   -1.06135e-27 
         -0.735,     2.3969e-12,   -1.34659e-27 
          -0.73,    2.50257e-12,    2.12392e-27 
         -0.725,    2.61067e-12,    2.37461e-28 
          -0.72,    2.72124e-12,    1.69623e-28 
         -0.715,    2.83433e-12,   -1.19486e-27 
          -0.71,    2.94997e-12,   -2.72794e-28 
         -0.705,    3.06822e-12,   -9.73474e-28 
           -0.7,    3.18912e-12,   -1.61047e-27 
         -0.695,    3.31274e-12,   -3.90883e-28 
          -0.69,    3.43912e-12,    -7.3138e-28 
         -0.685,    3.56833e-12,    3.87738e-28 
          -0.68,    3.70043e-12,    5.15449e-28 
         -0.675,    3.83549e-12,    5.74167e-28 
          -0.67,    3.97358e-12,   -8.40502e-28 
         -0.665,    4.11478e-12,    2.87684e-28 
          -0.66,    4.25917e-12,   -1.31291e-29 
         -0.655,    4.40684e-12,    5.35979e-28 
          -0.65,    4.55788e-12,   -8.01484e-28 
         -0.645,    4.71238e-12,    1.39604e-27 
          -0.64,    4.87046e-12,   -3.16217e-28 
         -0.635,    5.03223e-12,   -6.32161e-28 
          -0.63,    5.19781e-12,   -1.47157e-28 
         -0.625,    5.36733e-12,   -1.87918e-27 
          -0.62,    5.54095e-12,    1.29854e-27 
         -0.615,    5.71882e-12,    8.47184e-28 
          -0.61,    5.90111e-12,    1.10889e-27 
         -0.605,    6.08803e-12,   -1.19025e-27 
           -0.6,    6.27978e-12,    8.13707e-28 
         -0.595,    6.47661e-12,   -8.05578e-29 
          -0.59,    6.67879e-12,    -1.5867e-27 
         -0.585,    6.88661e-12,    1.01526e-27 
          -0.58,    7.10042e-12,   -3.84369e-29 
         -0.575,     7.3206e-12,   -2.76186e-28 
          -0.57,    7.54757e-12,    1.37482e-27 
         -0.565,    7.78183e-12,    1.31558e-28 
          -0.56,    8.02391e-12,     5.9167e-28 
         -0.555,    8.27443e-12,    4.77688e-28 
          -0.55,     8.5341e-12,   -6.53455e-28 
         -0.545,    8.80369e-12,   -9.22633e-28 
          -0.54,    9.08409e-12,   -3.43749e-28 
         -0.535,    9.37629e-12,    5.11087e-28 
          -0.53,    9.68143e-12,   -1.47964e-27 
         -0.525,    1.00007e-11,   -1.13619e-27 
          -0.52,    1.03357e-11,   -1.34371e-27 
         -0.515,    1.06878e-11,   -5.99271e-28 
          -0.51,    1.10588e-11,     6.3005e-28 
         -0.505,    1.14507e-11,   -1.28492e-27 
           -0.5,    1.18656e-11,   -1.64261e-27 
         -0.495,    1.23059e-11,   -2.21533e-28 
          -0.49,    1.27743e-11,    6.37313e-28 
         -0.485,    1.32736e-11,   -2.57802e-28 
          -0.48,    1.38068e-11,   -1.43603e-27 
         -0.475,    1.43774e-11,    4.37157e-28 
          -0.47,     1.4989e-11,   -1.13522e-28 
         -0.465,    1.56454e-11,   -2.37512e-28 
          -0.46,    1.63508e-11,   -1.57067e-27 
         -0.455,    1.71093e-11,    1.88697e-27 
          -0.45,    1.79256e-11,    4.78875e-28 
         -0.445,    1.88043e-11,   -4.19187e-28 
          -0.44,    1.97501e-11,   -1.31444e-27 
         -0.435,    2.07678e-11,   -4.84149e-28 
          -0.43,    2.18622e-11,   -2.35035e-27 
         -0.425,    2.30382e-11,   -1.06587e-30 
          -0.42,    2.43001e-11,    1.89654e-27 
         -0.415,    2.56523e-11,   -4.75523e-28 
          -0.41,    2.70988e-11,   -4.91525e-29 
         -0.405,     2.8643e-11,   -1.41487e-27 
           -0.4,    3.02878e-11,   -1.14299e-27 
