      z,       a_n0_Re,       a_n0_Im
             -1    2.01113e-14   -2.43637e-27 
         -0.995    2.89572e-14    2.78549e-27 
          -0.99    4.05247e-14   -1.42409e-27 
         -0.985    5.53263e-14    4.00925e-28 
          -0.98    7.38886e-14   -1.15477e-27 
         -0.975    9.67294e-14    1.42545e-27 
          -0.97     1.2433e-13   -3.02283e-27 
         -0.965    1.57101e-13    2.26644e-27 
          -0.96    1.95353e-13    1.42866e-27 
         -0.955    2.39257e-13   -1.71966e-27 
          -0.95    2.88813e-13   -1.10578e-27 
         -0.945    3.43825e-13   -1.77294e-27 
          -0.94    4.03878e-13   -1.41976e-27 
         -0.935    4.68327e-13   -6.76978e-29 
          -0.93    5.36298e-13   -7.09173e-28 
         -0.925    6.06702e-13    4.84893e-28 
          -0.92    6.78254e-13   -1.43339e-27 
         -0.915    7.49514e-13    8.14836e-28 
          -0.91    8.18926e-13   -3.92664e-27 
         -0.905    8.84869e-13   -2.34421e-27 
           -0.9    9.45701e-13    1.78008e-27 
         -0.895    9.99816e-13     1.6751e-27 
          -0.89    1.04568e-12    6.00116e-27 
         -0.885    1.08186e-12    3.45433e-27 
          -0.88    1.10706e-12   -2.54458e-28 
         -0.875    1.12013e-12   -8.36083e-27 
          -0.87    1.12006e-12      -1.64e-27 
         -0.865    1.10595e-12   -6.57751e-27 
          -0.86    1.07705e-12     6.6687e-27 
         -0.855    1.03266e-12    -6.8776e-28 
          -0.85    9.72155e-13    6.68755e-27 
         -0.845     8.9492e-13    1.33659e-27 
          -0.84    8.00347e-13    6.13414e-27 
         -0.835    6.87794e-13   -2.61504e-27 
          -0.83    5.56585e-13    -7.6548e-27 
         -0.825    4.06003e-13   -1.28496e-27 
          -0.82    2.35307e-13    -4.4411e-27 
         -0.815    4.37575e-14   -9.02006e-27 
          -0.81   -1.69337e-13   -7.23619e-27 
         -0.805    -4.0456e-13   -5.21933e-28 
           -0.8   -6.62311e-13    2.23502e-27 
         -0.795   -9.42723e-13    3.16264e-27 
          -0.79   -1.24556e-12   -2.49532e-27 
         -0.785   -1.57014e-12   -5.48265e-27 
          -0.78   -1.91521e-12   -2.60109e-27 
         -0.775   -2.27889e-12    4.87433e-27 
          -0.77    -2.6586e-12   -6.83836e-27 
         -0.765   -3.05102e-12    8.97831e-27 
          -0.76   -3.45209e-12    1.73436e-27 
         -0.755   -3.85706e-12   -3.70605e-27 
          -0.75   -4.26054e-12   -1.52466e-27 
         -0.745   -4.65664e-12    1.39511e-27 
          -0.74   -5.03916e-12   -6.48509e-28 
         -0.735   -5.40173e-12    5.87223e-28 
          -0.73   -5.73806e-12    2.51252e-27 
         -0.725   -6.04221e-12   -2.37985e-27 
          -0.72   -6.30875e-12   -7.45811e-28 
         -0.715     -6.533e-12   -9.18531e-28 
          -0.71   -6.71124e-12   -2.45145e-27 
         -0.705   -6.84079e-12    1.53327e-27 
           -0.7   -6.92011e-12    7.77404e-29 
         -0.695   -6.94885e-12    1.55412e-27 
          -0.69    -6.9278e-12    1.59146e-27 
         -0.685   -6.85879e-12   -2.91619e-27 
          -0.68    -6.7446e-12    1.19876e-27 
         -0.675   -6.58882e-12    9.06916e-28 
          -0.67    -6.3956e-12    3.13641e-27 
         -0.665   -6.16954e-12    3.50099e-28 
          -0.66   -5.91545e-12    3.50864e-27 
         -0.655   -5.63821e-12   -2.04507e-27 
          -0.65   -5.34257e-12   -3.31534e-27 
         -0.645   -5.03303e-12    2.18542e-27 
          -0.64   -4.71373e-12   -3.21358e-27 
         -0.635   -4.38835e-12    7.51026e-28 
          -0.63   -4.06006e-12   -1.85601e-27 
         -0.625   -3.73143e-12   -5.43521e-27 
          -0.62    -3.4045e-12    3.65772e-27 
         -0.615   -3.08066e-12   -1.65539e-27 
          -0.61   -2.76077e-12    3.18712e-27 
         -0.605   -2.44508e-12    3.06797e-27 
           -0.6    -2.1333e-12    4.28166e-27 
         -0.595   -1.82463e-12    2.95087e-27 
          -0.59   -1.51772e-12    1.49183e-27 
         -0.585   -1.21076e-12    1.85531e-27 
          -0.58   -9.01436e-13    2.12782e-28 
         -0.575   -5.86952e-13    4.75233e-27 
          -0.57   -2.64021e-13    2.39376e-27 
         -0.565    7.11499e-14    1.16493e-27 
          -0.56    4.22886e-13   -2.77384e-27 
         -0.555     7.9608e-13    9.47903e-28 
          -0.55    1.19624e-12   -2.07771e-28 
         -0.545    1.62954e-12   -1.38046e-27 
          -0.54    2.10289e-12    9.15003e-28 
         -0.535    2.62401e-12    8.58391e-28 
          -0.53    3.20151e-12    2.30374e-27 
         -0.525      3.845e-12   -7.13258e-29 
          -0.52    4.56515e-12    1.13054e-27 
         -0.515    5.37384e-12   -2.02829e-27 
          -0.51    6.28422e-12   -3.84376e-27 
         -0.505    7.31084e-12    1.39702e-27 
           -0.5    8.46974e-12    3.85551e-27 
         -0.495    9.77853e-12     3.1669e-28 
