      z,       b_n0_Re,       b_n0_Im
             -1,    3.00973e-13,   -1.93312e-27 
         -0.995,    3.29453e-13,   -3.42892e-27 
          -0.99,    3.62206e-13,    -6.3068e-27 
         -0.985,    3.99843e-13,   -4.26281e-28 
          -0.98,    4.43011e-13,   -1.12091e-27 
         -0.975,    4.92363e-13,   -2.28003e-27 
          -0.97,    5.48507e-13,    1.61891e-27 
         -0.965,    6.11954e-13,    8.21449e-28 
          -0.96,    6.83059e-13,   -2.87003e-27 
         -0.955,    7.61964e-13,   -1.49959e-27 
          -0.95,    8.48541e-13,    4.47184e-27 
         -0.945,    9.42346e-13,   -7.74116e-28 
          -0.94,    1.04259e-12,   -1.53703e-27 
         -0.935,    1.14815e-12,   -8.67079e-28 
          -0.93,    1.25753e-12,    4.69999e-28 
         -0.925,    1.36897e-12,    4.03989e-28 
          -0.92,    1.48048e-12,    4.26795e-28 
         -0.915,    1.58992e-12,     -1.438e-28 
          -0.91,    1.69514e-12,   -6.16061e-27 
         -0.905,    1.79406e-12,   -1.72223e-27 
           -0.9,    1.88483e-12,    3.78088e-27 
         -0.895,    1.96589e-12,    2.01318e-27 
          -0.89,    2.03616e-12,   -8.50201e-28 
         -0.885,    2.09501e-12,    6.26029e-28 
          -0.88,    2.14241e-12,   -1.06521e-27 
         -0.875,    2.17895e-12,    4.67879e-27 
          -0.87,    2.20583e-12,   -6.73248e-28 
         -0.865,    2.22488e-12,    6.35131e-28 
          -0.86,    2.23852e-12,    3.65685e-27 
         -0.855,    2.24974e-12,    1.79576e-27 
          -0.85,    2.26207e-12,   -2.68445e-27 
         -0.845,    2.27947e-12,     3.5994e-27 
          -0.84,    2.30634e-12,    1.07099e-27 
         -0.835,    2.34741e-12,    9.17984e-28 
          -0.83,    2.40769e-12,   -1.00274e-27 
         -0.825,    2.49236e-12,     3.6726e-28 
          -0.82,    2.60674e-12,    6.26076e-28 
         -0.815,    2.75609e-12,    1.70682e-27 
          -0.81,    2.94557e-12,    6.03945e-28 
         -0.805,    3.18002e-12,    1.43687e-27 
           -0.8,    3.46384e-12,    1.10493e-27 
         -0.795,    3.80076e-12,    8.77397e-28 
          -0.79,    4.19363e-12,     2.1582e-27 
         -0.785,    4.64421e-12,   -7.87533e-27 
          -0.78,    5.15297e-12,     3.1257e-27 
         -0.775,    5.71885e-12,    1.48956e-27 
          -0.77,    6.33915e-12,     1.4924e-27 
         -0.765,     7.0094e-12,    -3.0989e-28 
          -0.76,    7.72335e-12,   -5.93886e-27 
         -0.755,    8.47303e-12,    7.28555e-28 
          -0.75,    9.24895e-12,    -7.6324e-28 
         -0.745,    1.00404e-11,   -3.23732e-27 
          -0.74,    1.08357e-11,    -9.3646e-28 
         -0.735,    1.16228e-11,   -1.93803e-28 
          -0.73,    1.23899e-11,    -5.0979e-27 
         -0.725,    1.31258e-11,    1.13454e-27 
          -0.72,    1.38203e-11,    1.77912e-27 
         -0.715,    1.44653e-11,   -2.07821e-27 
          -0.71,    1.50544e-11,   -8.90389e-28 
         -0.705,    1.55838e-11,    8.75647e-28 
           -0.7,    1.60521e-11,    1.35589e-27 
         -0.695,    1.64603e-11,    6.25628e-28 
          -0.69,     1.6812e-11,     2.8642e-27 
         -0.685,    1.71128e-11,   -3.56731e-27 
          -0.68,    1.73699e-11,   -2.12867e-27 
         -0.675,    1.75921e-11,    1.69191e-27 
          -0.67,    1.77889e-11,   -1.17455e-27 
         -0.665,    1.79706e-11,    4.86132e-28 
          -0.66,    1.81472e-11,    1.40432e-27 
         -0.655,    1.83289e-11,    1.69738e-27 
          -0.65,    1.85248e-11,   -2.31202e-27 
         -0.645,    1.87435e-11,   -9.21591e-28 
          -0.64,    1.89927e-11,    1.49622e-27 
         -0.635,    1.92789e-11,   -1.63279e-27 
          -0.63,    1.96074e-11,    2.03616e-28 
         -0.625,    1.99827e-11,   -3.93228e-28 
          -0.62,     2.0408e-11,   -6.70962e-28 
         -0.615,    2.08857e-11,     -7.786e-28 
          -0.61,    2.14174e-11,   -1.17399e-27 
         -0.605,    2.20038e-11,    6.28024e-28 
           -0.6,     2.2645e-11,    2.84534e-28 
         -0.595,    2.33408e-11,   -5.38761e-28 
          -0.59,    2.40902e-11,    6.19302e-28 
         -0.585,     2.4892e-11,   -6.87752e-28 
          -0.58,    2.57448e-11,   -5.65103e-29 
         -0.575,    2.66466e-11,   -1.01686e-27 
          -0.57,    2.75955e-11,    2.73058e-28 
         -0.565,     2.8589e-11,    -1.3225e-27 
          -0.56,    2.96245e-11,    1.83873e-27 
         -0.555,     3.0699e-11,   -5.25033e-28 
          -0.55,     3.1809e-11,    6.75853e-29 
         -0.545,    3.29507e-11,   -3.42541e-28 
          -0.54,    3.41194e-11,    1.06533e-27 
         -0.535,    3.53098e-11,    -3.1269e-28 
          -0.53,    3.65158e-11,     4.9287e-28 
         -0.525,    3.77299e-11,   -6.52933e-28 
          -0.52,    3.89435e-11,   -5.50877e-28 
         -0.515,    4.01463e-11,   -5.33394e-28 
          -0.51,    4.13263e-11,    9.87648e-28 
         -0.505,    4.24694e-11,   -4.54312e-28 
           -0.5,     4.3559e-11,   -3.07845e-28 
         -0.495,    4.45758e-11,    7.99481e-29 
          -0.49,    4.54976e-11,    1.09279e-27 
         -0.485,    4.62987e-11,    1.79048e-27 
          -0.48,    4.69497e-11,   -2.45488e-28 
         -0.475,    4.74173e-11,    8.09888e-28 
          -0.47,    4.76642e-11,     8.7076e-28 
         -0.465,    4.76488e-11,   -1.75424e-28 
          -0.46,    4.73254e-11,   -2.19434e-27 
         -0.455,    4.66443e-11,   -2.12989e-28 
          -0.45,    4.55525e-11,   -2.32324e-28 
         -0.445,    4.39941e-11,   -6.48714e-28 
          -0.44,    4.19119e-11,    -8.1661e-28 
         -0.435,    3.92485e-11,   -2.34442e-27 
          -0.43,    3.59488e-11,     2.3408e-27 
         -0.425,    3.19617e-11,    2.36593e-27 
          -0.42,    2.72441e-11,   -1.29042e-27 
         -0.415,    2.17633e-11,    7.81723e-28 
          -0.41,     1.5502e-11,    -2.8256e-28 
         -0.405,    8.46146e-12,   -3.26682e-27 
           -0.4,    6.66469e-13,   -2.89832e-27 
         -0.395,   -7.83072e-12,    3.39641e-27 
          -0.39,   -1.69466e-11,   -1.54314e-28 
         -0.385,   -2.65632e-11,   -9.48433e-29 
          -0.38,   -3.65268e-11,   -9.86431e-28 
         -0.375,   -4.66468e-11,   -1.87573e-28 
          -0.37,   -5.66979e-11,   -2.09706e-27 
         -0.365,   -6.64239e-11,    1.06367e-27 
          -0.36,   -7.55431e-11,   -8.09154e-28 
         -0.355,   -8.37579e-11,    3.18736e-27 
          -0.35,   -9.07645e-11,   -9.54656e-28 
         -0.345,   -9.62657e-11,    1.05239e-28 
          -0.34,   -9.99847e-11,   -1.21725e-27 
         -0.335,   -1.01679e-10,   -7.76619e-28 
          -0.33,   -1.01152e-10,    2.60232e-28 
         -0.325,   -9.82699e-11,   -9.11056e-28 
          -0.32,   -9.29634e-11,    3.17114e-27 
