      z,       b_n0_Re,       b_n0_Im
         -0.385,    2.85294e-10,   -7.01299e-27 
          -0.38,    3.10684e-10,    9.34614e-27 
         -0.375,    3.36986e-10,   -7.62558e-27 
          -0.37,    3.63879e-10,    8.43986e-27 
         -0.365,    3.90975e-10,   -5.23753e-27 
          -0.36,    4.17836e-10,   -1.84718e-27 
         -0.355,     4.4398e-10,    1.42218e-27 
          -0.35,    4.68897e-10,   -5.85535e-27 
         -0.345,    4.92072e-10,   -1.54175e-27 
          -0.34,    5.13009e-10,    3.31732e-27 
         -0.335,    5.31248e-10,    5.83805e-27 
          -0.33,    5.46397e-10,    8.63865e-27 
         -0.325,    5.58146e-10,    3.69934e-28 
          -0.32,     5.6629e-10,    -7.0196e-27 
         -0.315,    5.70735e-10,    5.49702e-27 
          -0.31,    5.71503e-10,   -3.51166e-28 
         -0.305,    5.68734e-10,    5.04309e-27 
           -0.3,    5.62667e-10,    1.32194e-27 
         -0.295,    5.53633e-10,   -5.10992e-27 
          -0.29,    5.42031e-10,   -7.96326e-27 
         -0.285,    5.28304e-10,    2.83536e-27 
          -0.28,    5.12916e-10,   -1.61893e-28 
         -0.275,     4.9633e-10,   -1.97309e-27 
          -0.27,    4.78988e-10,   -2.17678e-27 
         -0.265,    4.61294e-10,   -2.99841e-27 
          -0.26,      4.436e-10,   -4.12502e-27 
         -0.255,    4.26201e-10,    8.30693e-27 
          -0.25,    4.09326e-10,    1.27286e-28 
         -0.245,    3.93146e-10,    2.82293e-27 
          -0.24,     3.7777e-10,    3.60154e-27 
         -0.235,    3.63254e-10,    4.95554e-27 
          -0.23,    3.49607e-10,   -1.78917e-27 
         -0.225,    3.36801e-10,   -5.14437e-27 
          -0.22,    3.24779e-10,   -5.17145e-27 
         -0.215,    3.13464e-10,    9.56951e-28 
          -0.21,    3.02767e-10,    1.42917e-27 
         -0.205,    2.92596e-10,     2.8276e-27 
           -0.2,    2.82862e-10,   -2.56232e-27 
         -0.195,    2.73486e-10,   -1.75869e-27 
          -0.19,    2.64404e-10,    -4.9592e-28 
         -0.185,    2.55571e-10,    4.63125e-27 
          -0.18,    2.46965e-10,     2.2066e-28 
         -0.175,    2.38586e-10,    1.62401e-29 
          -0.17,    2.30461e-10,    4.13583e-27 
         -0.165,    2.22637e-10,   -4.80031e-27 
          -0.16,    2.15186e-10,   -2.82914e-27 
         -0.155,    2.08193e-10,   -5.54807e-28 
          -0.15,    2.01758e-10,   -1.53114e-27 
         -0.145,    1.95987e-10,   -3.16212e-27 
          -0.14,    1.90984e-10,     4.9687e-28 
         -0.135,    1.86846e-10,   -3.26159e-27 
          -0.13,    1.83656e-10,    4.70734e-27 
         -0.125,    1.81473e-10,     -6.456e-28 
          -0.12,    1.80334e-10,   -1.13792e-27 
         -0.115,    1.80245e-10,    8.91387e-29 
          -0.11,    1.81181e-10,   -4.93489e-28 
         -0.105,    1.83087e-10,    1.54394e-28 
           -0.1,    1.85882e-10,    4.42979e-28 
         -0.095,    1.89461e-10,   -5.09935e-28 
          -0.09,    1.93701e-10,    7.87047e-28 
         -0.085,    1.98467e-10,   -6.81814e-28 
          -0.08,    2.03619e-10,   -1.63219e-27 
         -0.075,    2.09017e-10,   -2.27164e-28 
          -0.07,    2.14527e-10,    7.49224e-30 
         -0.065,    2.20026e-10,     9.0022e-28 
          -0.06,    2.25402e-10,    1.37943e-27 
         -0.055,    2.30561e-10,    2.13175e-27 
          -0.05,    2.35424e-10,   -2.75279e-27 
         -0.045,    2.39927e-10,    1.54317e-27 
          -0.04,    2.44022e-10,    1.27675e-28 
         -0.035,    2.47674e-10,    8.84015e-28 
          -0.03,    2.50859e-10,   -7.51467e-28 
         -0.025,    2.53563e-10,     5.6542e-28 
          -0.02,    2.55778e-10,   -1.16099e-27 
         -0.015,      2.575e-10,   -9.95598e-30 
          -0.01,    2.58729e-10,    2.46222e-28 
         -0.005,    2.59466e-10,   -1.44819e-28 
              0,    2.59711e-10,   -5.70602e-43 
          0.005,    2.59466e-10,    3.69155e-28 
           0.01,    2.58729e-10,   -2.46222e-28 
          0.015,      2.575e-10,   -6.26339e-28 
           0.02,    2.55778e-10,    1.16099e-27 
          0.025,    2.53563e-10,   -7.24763e-28 
           0.03,    2.50859e-10,    7.51467e-28 
          0.035,    2.47674e-10,    1.67723e-28 
           0.04,    2.44022e-10,   -1.27675e-28 
          0.045,    2.39927e-10,   -1.54317e-27 
           0.05,    2.35424e-10,    1.39194e-28 
          0.055,    2.30561e-10,   -2.13175e-27 
           0.06,    2.25402e-10,    -2.7724e-28 
