      z,       a_n0_Re,       a_n0_Im
             -1    2.34275e-12    7.17556e-27 
         -0.995    2.22172e-12    2.81419e-27 
          -0.99    2.09397e-12   -6.44869e-28 
         -0.985    1.95907e-12     1.0097e-26 
          -0.98    1.81659e-12    4.77112e-27 
         -0.975    1.66612e-12   -7.64379e-27 
          -0.97    1.50724e-12   -1.03125e-26 
         -0.965    1.33957e-12   -3.78309e-28 
          -0.96    1.16272e-12    1.33309e-27 
         -0.955    9.76317e-13   -5.20481e-27 
          -0.95    7.80004e-13   -1.15177e-26 
         -0.945    5.73435e-13   -7.34138e-27 
          -0.94    3.56279e-13    7.31717e-27 
         -0.935    1.28217e-13   -3.40291e-27 
          -0.93   -1.11058e-13    -6.6848e-27 
         -0.925   -3.61838e-13     4.8389e-29 
          -0.92   -6.24406e-13    9.51609e-27 
         -0.915   -8.99031e-13   -5.09351e-27 
          -0.91   -1.18597e-12   -9.69716e-27 
         -0.905   -1.48549e-12     4.9402e-27 
           -0.9   -1.79781e-12   -2.80802e-28 
         -0.895   -2.12317e-12    6.25875e-28 
          -0.89   -2.46179e-12    7.01367e-27 
         -0.885    -2.8139e-12    2.11188e-27 
          -0.88   -3.17971e-12   -3.80433e-27 
         -0.875   -3.55942e-12   -8.77582e-27 
          -0.87   -3.95323e-12   -1.14662e-26 
         -0.865   -4.36134e-12    4.04476e-27 
          -0.86   -4.78395e-12    8.34106e-27 
         -0.855   -5.22125e-12    3.17328e-27 
          -0.85   -5.67342e-12   -1.17765e-26 
         -0.845   -6.14065e-12    1.45944e-26 
          -0.84   -6.62313e-12   -3.88205e-27 
         -0.835   -7.12106e-12   -3.30244e-27 
          -0.83   -7.63462e-12    3.05744e-27 
         -0.825   -8.16399e-12    4.63784e-27 
          -0.82   -8.70939e-12   -4.60851e-27 
         -0.815     -9.271e-12   -5.89497e-27 
          -0.81   -9.84902e-12   -6.94838e-27 
         -0.805   -1.04437e-11    9.05693e-27 
           -0.8   -1.10552e-11   -9.50657e-27 
         -0.795   -1.16837e-11   -1.08235e-26 
          -0.79   -1.23296e-11   -6.05842e-28 
         -0.785    -1.2993e-11    4.50919e-27 
          -0.78   -1.36742e-11    -5.6458e-27 
         -0.775   -1.43735e-11   -3.67679e-28 
          -0.77   -1.50911e-11    4.39701e-27 
         -0.765   -1.58274e-11   -1.89766e-27 
          -0.76   -1.65827e-11    7.22486e-27 
         -0.755   -1.73573e-11   -1.41379e-26 
          -0.75   -1.81515e-11    4.36388e-27 
         -0.745   -1.89659e-11    -1.3529e-27 
          -0.74   -1.98007e-11    1.09327e-26 
         -0.735   -2.06564e-11    6.82686e-27 
          -0.73   -2.15336e-11   -4.68702e-27 
         -0.725   -2.24326e-11    -1.4812e-26 
          -0.72   -2.33541e-11    -1.0604e-27 
         -0.715   -2.42987e-11    1.67781e-27 
          -0.71    -2.5267e-11   -1.01312e-26 
         -0.705   -2.62596e-11     1.1029e-26 
           -0.7   -2.72774e-11   -3.41621e-27 
         -0.695   -2.83212e-11    5.90158e-27 
          -0.69   -2.93917e-11   -6.27383e-28 
         -0.685     -3.049e-11   -2.13715e-27 
          -0.68   -3.16171e-11     3.4057e-27 
         -0.675   -3.27741e-11    2.07135e-27 
          -0.67   -3.39622e-11   -1.14172e-26 
         -0.665   -3.51826e-11   -1.10649e-26 
          -0.66   -3.64369e-11   -1.09193e-26 
         -0.655   -3.77266e-11    2.99413e-27 
          -0.65   -3.90533e-11   -6.74726e-27 
         -0.645   -4.04188e-11   -6.26899e-27 
          -0.64   -4.18252e-11   -8.12223e-27 
         -0.635   -4.32746e-11   -3.64326e-27 
          -0.63   -4.47692e-11    4.45841e-27 
         -0.625   -4.63117e-11    9.65491e-27 
          -0.62   -4.79049e-11    7.79424e-28 
         -0.615   -4.95516e-11    1.04438e-26 
          -0.61   -5.12552e-11   -1.73488e-26 
         -0.605   -5.30192e-11   -1.20913e-26 
           -0.6   -5.48474e-11   -1.76385e-26 
         -0.595    -5.6744e-11   -6.56892e-27 
          -0.59   -5.87134e-11   -1.51192e-26 
         -0.585   -6.07606e-11   -5.48657e-27 
          -0.58   -6.28908e-11    4.09727e-27 
         -0.575   -6.51097e-11    4.08491e-28 
          -0.57   -6.74233e-11   -7.72382e-27 
         -0.565   -6.98383e-11   -1.78005e-27 
          -0.56   -7.23616e-11    6.03501e-27 
         -0.555    -7.5001e-11   -3.37664e-27 
          -0.55   -7.77644e-11   -1.18034e-26 
         -0.545   -8.06606e-11   -1.19887e-27 
          -0.54   -8.36988e-11    8.71847e-27 
         -0.535   -8.68886e-11     1.3519e-26 
          -0.53   -9.02406e-11    7.02256e-28 
         -0.525   -9.37656e-11   -5.17058e-27 
          -0.52   -9.74752e-11    -6.0075e-27 
         -0.515   -1.01382e-10    4.66736e-27 
          -0.51   -1.05497e-10   -3.60688e-27 
         -0.505   -1.09836e-10    3.06336e-27 
           -0.5    -1.1441e-10    1.10954e-26 
         -0.495   -1.19235e-10   -2.72211e-27 
          -0.49   -1.24324e-10    1.77239e-27 
         -0.485   -1.29694e-10    7.66342e-27 
          -0.48   -1.35357e-10   -1.16905e-26 
         -0.475   -1.41331e-10    1.39251e-27 
          -0.47   -1.47629e-10    3.43682e-27 
         -0.465   -1.54268e-10   -1.64993e-26 
          -0.46    -1.6126e-10    1.75435e-27 
         -0.455   -1.68622e-10    6.94888e-28 
          -0.45   -1.76365e-10    1.28855e-27 
         -0.445   -1.84504e-10    2.06445e-27 
          -0.44    -1.9305e-10   -1.71291e-27 
         -0.435   -2.02014e-10    1.06346e-26 
          -0.43   -2.11404e-10    2.62952e-27 
         -0.425   -2.21227e-10    5.09683e-27 
          -0.42   -2.31491e-10   -8.16436e-27 
         -0.415   -2.42197e-10    -9.1778e-27 
          -0.41   -2.53346e-10   -4.84229e-27 
         -0.405   -2.64938e-10   -8.23471e-27 
           -0.4   -2.76967e-10    7.13812e-27 
         -0.395   -2.89427e-10   -9.57814e-27 
          -0.39   -3.02307e-10    1.32266e-26 
         -0.385   -3.15592e-10   -4.77672e-27 
          -0.38   -3.29266e-10    9.70943e-27 
         -0.375   -3.43309e-10    6.34304e-27 
          -0.37   -3.57696e-10   -1.71862e-26 
         -0.365   -3.72399e-10   -1.31861e-26 
          -0.36   -3.87389e-10    4.73869e-27 
         -0.355   -4.02631e-10    8.37975e-27 
          -0.35   -4.18089e-10    5.56174e-27 
         -0.345   -4.33721e-10     7.7534e-27 
          -0.34   -4.49487e-10    6.89126e-27 
         -0.335   -4.65342e-10   -1.18813e-26 
          -0.33   -4.81238e-10   -6.69683e-28 
         -0.325   -4.97129e-10   -1.04063e-26 
          -0.32   -5.12965e-10    4.78482e-27 
         -0.315   -5.28697e-10    1.92319e-26 
          -0.31   -5.44275e-10    1.27818e-27 
         -0.305   -5.59651e-10   -3.64658e-27 
           -0.3   -5.74775e-10    7.41929e-27 
         -0.295   -5.89602e-10   -4.48717e-27 
          -0.29   -6.04087e-10    7.84481e-27 
         -0.285   -6.18186e-10    2.35373e-27 
          -0.28   -6.31861e-10    6.16825e-27 
         -0.275   -6.45074e-10   -9.43642e-27 
          -0.27   -6.57792e-10    1.36625e-26 
         -0.265   -6.69986e-10   -8.47052e-28 
          -0.26   -6.81631e-10    2.94039e-28 
         -0.255   -6.92706e-10   -8.08926e-28 
          -0.25   -7.03193e-10   -7.08731e-27 
         -0.245   -7.13079e-10    4.47604e-27 
          -0.24   -7.22358e-10    2.70557e-27 
         -0.235   -7.31025e-10    2.63062e-29 
          -0.23   -7.39079e-10   -9.99357e-27 
         -0.225   -7.46527e-10   -7.37339e-27 
          -0.22   -7.53374e-10   -6.80273e-28 
         -0.215   -7.59634e-10    5.82372e-27 
          -0.21   -7.65321e-10    6.91774e-27 
         -0.205   -7.70452e-10    2.17565e-27 
           -0.2   -7.75048e-10    7.16378e-27 
         -0.195   -7.79132e-10    2.02387e-26 
          -0.19   -7.82728e-10    2.68424e-27 
         -0.185   -7.85861e-10   -2.78009e-27 
          -0.18    -7.8856e-10    3.30576e-27 
         -0.175   -7.90852e-10    4.05547e-27 
          -0.17   -7.92765e-10   -1.39689e-27 
         -0.165   -7.94329e-10   -8.58608e-27 
          -0.16   -7.95571e-10    4.45928e-27 
         -0.155   -7.96521e-10   -1.86861e-27 
          -0.15   -7.97206e-10    7.10918e-28 
         -0.145   -7.97653e-10    1.06717e-26 
          -0.14   -7.97889e-10    3.64509e-27 
         -0.135   -7.97937e-10   -7.96558e-27 
          -0.13   -7.97822e-10   -5.61693e-27 
         -0.125   -7.97567e-10    -3.8186e-27 
          -0.12   -7.97192e-10    -1.6949e-27 
         -0.115   -7.96717e-10    2.05754e-27 
          -0.11   -7.96161e-10   -1.51963e-27 
         -0.105   -7.95541e-10     1.4491e-27 
           -0.1   -7.94872e-10    7.83193e-28 
         -0.095   -7.94168e-10    3.35187e-27 
          -0.09   -7.93441e-10    8.52391e-28 
         -0.085   -7.92705e-10    5.12844e-28 
          -0.08   -7.91968e-10   -1.63948e-28 
         -0.075   -7.91241e-10    3.43805e-28 
          -0.07   -7.90531e-10   -1.25966e-27 
         -0.065   -7.89846e-10    3.45773e-28 
          -0.06   -7.89191e-10    1.41911e-27 
