      z,       b_n0_Re,       b_n0_Im
             -1,   -5.83687e-13,    5.58256e-28 
         -0.995,   -6.11515e-13,     1.0117e-27 
          -0.99,   -6.42099e-13,    -4.6728e-28 
         -0.985,   -6.75613e-13,   -6.95015e-28 
          -0.98,   -7.12241e-13,   -2.51549e-28 
         -0.975,   -7.52168e-13,    2.05552e-28 
          -0.97,   -7.95578e-13,    7.69842e-28 
         -0.965,   -8.42642e-13,   -3.01234e-28 
          -0.96,   -8.93513e-13,    -7.2712e-28 
         -0.955,   -9.48316e-13,   -2.31998e-28 
          -0.95,   -1.00715e-12,   -9.04591e-28 
         -0.945,   -1.07006e-12,   -8.36601e-28 
          -0.94,   -1.13708e-12,   -6.63765e-28 
         -0.935,   -1.20817e-12,    1.68599e-28 
          -0.93,   -1.28327e-12,   -6.16906e-29 
         -0.925,   -1.36229e-12,    1.93512e-28 
          -0.92,    -1.4451e-12,   -4.23548e-28 
         -0.915,   -1.53157e-12,   -1.55244e-28 
          -0.91,   -1.62156e-12,   -9.95697e-28 
         -0.905,   -1.71495e-12,   -5.06727e-28 
           -0.9,   -1.81166e-12,   -6.36939e-28 
         -0.895,   -1.91165e-12,   -7.40945e-28 
          -0.89,   -2.01497e-12,     1.3731e-27 
         -0.885,   -2.12174e-12,   -1.46061e-28 
          -0.88,    -2.2322e-12,   -1.29754e-28 
         -0.875,   -2.34671e-12,    7.74727e-29 
          -0.87,   -2.46576e-12,   -1.99533e-28 
         -0.865,   -2.58998e-12,   -1.44361e-27 
          -0.86,   -2.72014e-12,    8.45232e-28 
         -0.855,   -2.85717e-12,    2.81514e-28 
          -0.85,   -3.00211e-12,   -7.80018e-28 
         -0.845,   -3.15615e-12,   -1.13113e-27 
          -0.84,   -3.32058e-12,    4.25579e-28 
         -0.835,    -3.4968e-12,    -1.4325e-27 
          -0.83,   -3.68624e-12,   -7.46969e-28 
         -0.825,   -3.89039e-12,    1.41362e-27 
          -0.82,   -4.11073e-12,    3.70991e-29 
         -0.815,    -4.3487e-12,    8.60808e-28 
          -0.81,   -4.60565e-12,     1.7811e-28 
         -0.805,   -4.88279e-12,    9.77016e-28 
           -0.8,   -5.18116e-12,   -2.10579e-28 
         -0.795,   -5.50156e-12,   -3.44169e-27 
          -0.79,   -5.84452e-12,   -3.01674e-27 
         -0.785,   -6.21024e-12,    4.87827e-28 
          -0.78,   -6.59859e-12,    2.13517e-28 
         -0.775,     -7.009e-12,    1.29441e-29 
          -0.77,   -7.44053e-12,    7.07742e-28 
         -0.765,    -7.8918e-12,    1.90608e-28 
          -0.76,   -8.36102e-12,   -5.37183e-28 
         -0.755,   -8.84601e-12,   -1.84149e-27 
          -0.75,    -9.3442e-12,   -1.37025e-27 
         -0.745,   -9.85273e-12,   -5.71024e-28 
          -0.74,   -1.03685e-11,    5.02199e-28 
         -0.735,   -1.08881e-11,   -2.65091e-28 
          -0.73,   -1.14082e-11,   -2.38298e-28 
         -0.725,   -1.19254e-11,    8.55082e-29 
          -0.72,   -1.24364e-11,     9.2206e-29 
         -0.715,   -1.29378e-11,    1.38322e-28 
          -0.71,   -1.34268e-11,    9.81301e-29 
         -0.705,   -1.39008e-11,    1.90925e-28 
           -0.7,   -1.43575e-11,   -3.07498e-28 
         -0.695,   -1.47949e-11,    6.50157e-28 
          -0.69,   -1.52118e-11,   -4.75008e-28 
         -0.685,   -1.56069e-11,    3.82558e-28 
          -0.68,   -1.59798e-11,   -4.61964e-28 
         -0.675,   -1.63303e-11,    -3.1596e-28 
          -0.67,   -1.66585e-11,    8.35479e-28 
         -0.665,   -1.69648e-11,   -2.55537e-28 
          -0.66,     -1.725e-11,   -8.90072e-28 
         -0.655,   -1.75149e-11,   -1.51152e-27 
          -0.65,   -1.77606e-11,    2.98657e-27 
         -0.645,    -1.7988e-11,   -7.58892e-28 
          -0.64,   -1.81982e-11,    6.49057e-28 
         -0.635,   -1.83921e-11,   -1.03642e-27 
          -0.63,   -1.85705e-11,   -1.03312e-27 
         -0.625,    -1.8734e-11,   -1.30555e-27 
          -0.62,   -1.88829e-11,   -1.56296e-27 
         -0.615,   -1.90171e-11,   -7.40582e-29 
          -0.61,   -1.91366e-11,    1.19522e-27 
         -0.605,   -1.92405e-11,   -2.45497e-27 
           -0.6,   -1.93279e-11,    -5.3174e-28 
         -0.595,   -1.93972e-11,    1.58128e-28 
          -0.59,   -1.94466e-11,   -1.68215e-28 
         -0.585,   -1.94737e-11,   -1.58217e-28 
          -0.58,   -1.94758e-11,   -9.94256e-28 
         -0.575,   -1.94494e-11,   -1.41132e-27 
          -0.57,   -1.93908e-11,   -9.72937e-28 
         -0.565,   -1.92957e-11,    4.91804e-29 
          -0.56,   -1.91593e-11,   -1.56898e-27 
         -0.555,   -1.89761e-11,   -1.27404e-27 
          -0.55,   -1.87404e-11,   -4.34091e-28 
         -0.545,   -1.84456e-11,   -3.29736e-28 
          -0.54,   -1.80848e-11,   -6.49218e-28 
         -0.535,   -1.76505e-11,    1.84934e-28 
          -0.53,   -1.71346e-11,    3.65793e-28 
         -0.525,   -1.65286e-11,    8.23587e-28 
          -0.52,   -1.58234e-11,   -1.06487e-27 
         -0.515,   -1.50093e-11,    1.36353e-27 
          -0.51,   -1.40766e-11,    3.41906e-28 
         -0.505,   -1.30147e-11,    1.93874e-28 
           -0.5,    -1.1813e-11,    2.87779e-28 
         -0.495,   -1.04608e-11,   -8.90243e-28 
          -0.49,   -8.94684e-12,    9.07658e-28 
         -0.485,   -7.26038e-12,      1.713e-28 
          -0.48,   -5.39066e-12,    1.47976e-29 
         -0.475,   -3.32736e-12,    1.19702e-27 
          -0.47,   -1.06082e-12,   -1.34564e-27 
         -0.465,     1.4177e-12,     1.4717e-27 
          -0.46,    4.11571e-12,   -7.25595e-28 
         -0.455,    7.03915e-12,   -1.48998e-27 
          -0.45,     1.0192e-11,    6.87545e-29 
         -0.445,    1.35758e-11,    3.74355e-28 
          -0.44,    1.71893e-11,   -2.40653e-27 
         -0.435,     2.1028e-11,   -5.62217e-28 
          -0.43,    2.50835e-11,    1.88974e-27 
         -0.425,    2.93431e-11,     3.6662e-28 
          -0.42,    3.37894e-11,    1.27373e-27 
         -0.415,    3.83999e-11,   -2.96271e-27 
          -0.41,    4.31464e-11,   -4.11981e-28 
         -0.405,    4.79953e-11,    4.00638e-28 
           -0.4,    5.29066e-11,    -5.9095e-28 
         -0.395,    5.78348e-11,   -1.26387e-27 
          -0.39,    6.27285e-11,    8.13724e-28 
         -0.385,    6.75311e-11,   -1.02541e-27 
          -0.38,    7.21812e-11,    2.53702e-27 
         -0.375,    7.66139e-11,    1.11796e-28 
          -0.37,    8.07613e-11,    1.48577e-27 
         -0.365,    8.45545e-11,   -4.67525e-28 
          -0.36,    8.79249e-11,    5.48795e-29 
         -0.355,    9.08059e-11,   -1.11039e-28 
          -0.35,    9.31346e-11,   -4.12772e-28 
         -0.345,    9.48545e-11,    -1.9352e-28 
          -0.34,    9.59164e-11,   -6.24954e-28 
         -0.335,    9.62812e-11,    5.24715e-28 
          -0.33,    9.59207e-11,   -3.40943e-29 
         -0.325,    9.48196e-11,    5.70929e-28 
          -0.32,    9.29759e-11,   -1.97147e-27 
         -0.315,    9.04021e-11,   -1.99715e-28 
          -0.31,    8.71249e-11,   -2.04129e-27 
         -0.305,    8.31852e-11,   -7.75043e-28 
           -0.3,     7.8637e-11,    3.38545e-27 
         -0.295,    7.35463e-11,    8.96425e-28 
          -0.29,    6.79899e-11,   -3.14264e-27 
         -0.285,    6.20528e-11,    6.11634e-28 
          -0.28,    5.58269e-11,   -3.69235e-29 
         -0.275,    4.94082e-11,   -3.52886e-28 
          -0.27,    4.28949e-11,    -5.3549e-28 
         -0.265,    3.63847e-11,    1.39464e-27 
          -0.26,    2.99732e-11,   -1.28788e-27 
         -0.255,    2.37515e-11,    3.11319e-27 
          -0.25,    1.78044e-11,   -1.25517e-27 
         -0.245,    1.22091e-11,   -1.80018e-27 
          -0.24,    7.03334e-12,    1.18391e-27 
         -0.235,    2.33458e-12,    1.16365e-27 
          -0.23,   -1.84098e-12,    -1.0473e-27 
         -0.225,    -5.4591e-12,    8.88082e-29 
          -0.22,   -8.49795e-12,    6.98227e-28 
         -0.215,   -1.09484e-11,    7.77998e-28 
          -0.21,    -1.2814e-11,    1.49435e-27 
         -0.205,   -1.41109e-11,    4.75451e-28 
           -0.2,   -1.48675e-11,    2.58386e-27 
         -0.195,   -1.51238e-11,    -2.2514e-27 
          -0.19,   -1.49307e-11,   -8.27307e-29 
         -0.185,    -1.4349e-11,   -5.04341e-28 
          -0.18,   -1.34483e-11,    2.50535e-27 
         -0.175,   -1.23056e-11,    6.33261e-28 
          -0.17,   -1.10033e-11,    6.24761e-28 
         -0.165,   -9.62805e-12,   -1.89792e-27 
          -0.16,   -8.26809e-12,   -1.47258e-27 
         -0.155,   -7.01159e-12,    5.75572e-28 
          -0.15,   -5.94423e-12,    1.69269e-27 
         -0.145,   -5.14706e-12,   -1.48903e-27 
          -0.14,   -4.69434e-12,   -1.59444e-27 
         -0.135,   -4.65147e-12,    -6.2331e-28 
          -0.13,   -5.07324e-12,   -9.06908e-28 
         -0.125,   -6.00226e-12,   -1.40721e-27 
          -0.12,   -7.46782e-12,    6.12786e-28 
         -0.115,   -9.48514e-12,   -6.04915e-28 
          -0.11,    -1.2055e-11,    2.21282e-28 
         -0.105,   -1.51641e-11,    8.66916e-28 
           -0.1,   -1.87851e-11,    2.84994e-28 
         -0.095,   -2.28783e-11,   -4.54614e-28 
          -0.09,   -2.73925e-11,    1.08804e-27 
         -0.085,   -3.22665e-11,   -2.24214e-27 
          -0.08,   -3.74313e-11,   -3.17783e-28 
         -0.075,   -4.28118e-11,   -6.39923e-28 
          -0.07,   -4.83287e-11,   -5.72853e-28 
         -0.065,   -5.39002e-11,   -1.69419e-27 
          -0.06,   -5.94443e-11,    3.48027e-29 
         -0.055,   -6.48802e-11,   -7.44846e-29 
          -0.05,   -7.01295e-11,    1.76016e-27 
         -0.045,   -7.51181e-11,    4.16946e-28 
          -0.04,   -7.97764e-11,   -1.77028e-27 
         -0.035,   -8.40409e-11,   -2.18232e-28 
          -0.03,   -8.78547e-11,    8.40279e-28 
         -0.025,   -9.11676e-11,     5.9708e-28 
          -0.02,    -9.3937e-11,   -8.45239e-28 
         -0.015,   -9.61276e-11,    4.99514e-29 
          -0.01,   -9.77119e-11,    6.31521e-29 
         -0.005,   -9.86704e-11,    1.57435e-28 
              0,   -9.89912e-11,   -2.68157e-43 
          0.005,   -9.86704e-11,   -2.50162e-28 
           0.01,   -9.77119e-11,   -6.31521e-29 
          0.015,   -9.61276e-11,    8.00108e-28 
           0.02,    -9.3937e-11,    8.45239e-28 
          0.025,   -9.11676e-11,    2.07139e-27 
           0.03,   -8.78547e-11,   -8.40279e-28 
          0.035,   -8.40409e-11,    1.75019e-27 
           0.04,   -7.97764e-11,    1.77028e-27 
          0.045,   -7.51181e-11,   -4.16946e-28 
           0.05,   -7.01295e-11,    1.79839e-27 
          0.055,   -6.48802e-11,    7.44846e-29 
           0.06,   -5.94443e-11,    5.53545e-28 
          0.065,   -5.39002e-11,    1.69419e-27 
           0.07,   -4.83287e-11,    1.34256e-27 
          0.075,   -4.28118e-11,    6.39923e-28 
           0.08,   -3.74313e-11,   -1.43265e-27 
          0.085,   -3.22665e-11,    2.24214e-27 
           0.09,   -2.73925e-11,   -6.38641e-28 
          0.095,   -2.28783e-11,    4.54614e-28 
            0.1,   -1.87851e-11,   -5.83515e-28 
          0.105,   -1.51641e-11,   -8.66916e-28 
           0.11,    -1.2055e-11,     1.1682e-28 
          0.115,   -9.48514e-12,    6.04915e-28 
           0.12,   -7.46782e-12,    1.18224e-27 
          0.125,   -6.00226e-12,    1.40721e-27 
           0.13,   -5.07324e-12,    6.88814e-29 
          0.135,   -4.65147e-12,     6.2331e-28 
           0.14,   -4.69434e-12,    1.00728e-27 
          0.145,   -5.14706e-12,    1.48903e-27 
           0.15,   -5.94423e-12,    6.24445e-28 
          0.155,   -7.01159e-12,   -5.75572e-28 
           0.16,   -8.26809e-12,    2.87675e-28 
          0.165,   -9.62805e-12,    1.89792e-27 
           0.17,   -1.10033e-11,   -6.24761e-28 
          0.175,   -1.23056e-11,    1.75043e-27 
           0.18,   -1.34483e-11,   -2.50535e-27 
          0.185,    -1.4349e-11,   -4.91138e-28 
           0.19,   -1.49307e-11,    8.27307e-29 
          0.195,   -1.51238e-11,   -6.76877e-28 
            0.2,   -1.48675e-11,   -2.58386e-27 
          0.205,   -1.41109e-11,   -4.54599e-28 
           0.21,    -1.2814e-11,   -1.49435e-27 
          0.215,   -1.09484e-11,    1.08923e-27 
           0.22,   -8.49795e-12,   -6.98227e-28 
          0.225,    -5.4591e-12,   -1.91954e-27 
           0.23,   -1.84098e-12,     1.0473e-27 
          0.235,    2.33458e-12,    1.09857e-27 
           0.24,    7.03334e-12,   -1.18391e-27 
          0.245,    1.22091e-11,    1.79852e-27 
           0.25,    1.78044e-11,    1.25517e-27 
          0.255,    2.37515e-11,    3.46951e-28 
           0.26,    2.99732e-11,    1.28788e-27 
          0.265,    3.63847e-11,   -1.25916e-27 
           0.27,    4.28949e-11,     5.3549e-28 
          0.275,    4.94082e-11,   -4.00328e-27 
           0.28,    5.58269e-11,    3.69235e-29 
          0.285,    6.20528e-11,    1.19631e-27 
           0.29,    6.79899e-11,    3.14264e-27 
          0.295,    7.35463e-11,     6.3646e-28 
            0.3,     7.8637e-11,   -7.60308e-28 
          0.305,    8.31852e-11,    7.75043e-28 
           0.31,    8.71249e-11,     3.0023e-27 
          0.315,    9.04021e-11,    1.99715e-28 
           0.32,    9.29759e-11,    5.10956e-29 
          0.325,    9.48196e-11,   -5.70929e-28 
           0.33,    9.59207e-11,    6.08946e-28 
          0.335,    9.62812e-11,   -5.24715e-28 
           0.34,    9.59164e-11,    1.50073e-28 
          0.345,    9.48545e-11,     1.9352e-28 
           0.35,    9.31346e-11,   -8.31469e-28 
          0.355,    9.08059e-11,    1.11039e-28 
           0.36,    8.79249e-11,    5.22267e-28 
          0.365,    8.45545e-11,    4.67525e-28 
           0.37,    8.07613e-11,    8.58358e-29 
          0.375,    7.66139e-11,   -1.11796e-28 
           0.38,    7.21812e-11,   -5.27749e-28 
          0.385,    6.75311e-11,    1.02541e-27 
           0.39,    6.27285e-11,    1.70979e-27 
          0.395,    5.78348e-11,    1.26387e-27 
            0.4,    5.29066e-11,    1.33185e-27 
          0.405,    4.79953e-11,   -4.00638e-28 
           0.41,    4.31464e-11,    1.32159e-27 
          0.415,    3.83999e-11,    2.96271e-27 
           0.42,    3.37894e-11,    4.54589e-28 
          0.425,    2.93431e-11,    1.46836e-27 
           0.43,    2.50835e-11,   -1.88974e-27 
          0.435,     2.1028e-11,    1.21346e-27 
           0.44,    1.71893e-11,    2.40653e-27 
          0.445,    1.35758e-11,    4.39927e-28 
           0.45,     1.0192e-11,   -6.87545e-29 
          0.455,    7.03915e-12,    2.53321e-28 
           0.46,    4.11571e-12,    7.25595e-28 
          0.465,     1.4177e-12,     4.3738e-28 
           0.47,   -1.06082e-12,    1.34564e-27 
          0.475,   -3.32736e-12,   -1.71126e-29 
           0.48,   -5.39066e-12,   -1.47976e-29 
          0.485,   -7.26038e-12,   -2.77375e-28 
           0.49,   -8.94684e-12,   -9.07658e-28 
          0.495,   -1.04608e-11,    1.49846e-27 
            0.5,    -1.1813e-11,   -2.87779e-28 
          0.505,   -1.30147e-11,   -4.81285e-28 
           0.51,   -1.40766e-11,   -3.41906e-28 
          0.515,   -1.50093e-11,    3.37711e-28 
           0.52,   -1.58234e-11,    1.06487e-27 
          0.525,   -1.65286e-11,    1.32405e-28 
           0.53,   -1.71346e-11,   -3.65793e-28 
          0.535,   -1.76505e-11,   -2.58358e-28 
           0.54,   -1.80848e-11,    6.49218e-28 
          0.545,   -1.84456e-11,    3.29736e-28 
           0.55,   -1.87404e-11,    4.34091e-28 
          0.555,   -1.89761e-11,    1.27404e-27 
           0.56,   -1.91593e-11,    1.56898e-27 
          0.565,   -1.92957e-11,   -4.91804e-29 
           0.57,   -1.93908e-11,    9.72937e-28 
          0.575,   -1.94494e-11,    1.41132e-27 
           0.58,   -1.94758e-11,    9.94256e-28 
          0.585,   -1.94737e-11,    1.58217e-28 
           0.59,   -1.94466e-11,   -1.01451e-28 
          0.595,   -1.93972e-11,   -1.58128e-28 
            0.6,   -1.93279e-11,    2.89149e-28 
          0.605,   -1.92405e-11,    2.45497e-27 
           0.61,   -1.91366e-11,   -5.96721e-28 
          0.615,   -1.90171e-11,    7.40582e-29 
           0.62,   -1.88829e-11,    4.58219e-28 
          0.625,    -1.8734e-11,    1.30555e-27 
           0.63,   -1.85705e-11,   -1.01555e-27 
          0.635,   -1.83921e-11,    1.03642e-27 
           0.64,   -1.81982e-11,   -2.98203e-28 
          0.645,    -1.7988e-11,    7.58892e-28 
           0.65,   -1.77606e-11,   -2.38831e-27 
          0.655,   -1.75149e-11,    1.51152e-27 
           0.66,     -1.725e-11,   -3.85687e-28 
          0.665,   -1.69648e-11,    2.55537e-28 
           0.67,   -1.66585e-11,   -8.35479e-28 
          0.675,   -1.63303e-11,     3.1596e-28 
           0.68,   -1.59798e-11,    4.61964e-28 
          0.685,   -1.56069e-11,   -3.82558e-28 
           0.69,   -1.52118e-11,    4.75008e-28 
          0.695,   -1.47949e-11,   -6.50157e-28 
            0.7,   -1.43575e-11,    3.07498e-28 
          0.705,   -1.39008e-11,   -1.90925e-28 
           0.71,   -1.34268e-11,   -9.81301e-29 
          0.715,   -1.29378e-11,   -5.99287e-28 
           0.72,   -1.24364e-11,    -9.2206e-29 
          0.725,   -1.19254e-11,    -4.3638e-28 
           0.73,   -1.14082e-11,    2.38298e-28 
          0.735,   -1.08881e-11,    7.23511e-28 
           0.74,   -1.03685e-11,   -5.02199e-28 
          0.745,   -9.85273e-12,    1.19516e-27 
           0.75,    -9.3442e-12,    1.37025e-27 
          0.755,   -8.84601e-12,    6.55319e-28 
           0.76,   -8.36102e-12,    5.37183e-28 
          0.765,    -7.8918e-12,    1.26088e-27 
           0.77,   -7.44053e-12,   -7.07742e-28 
          0.775,     -7.009e-12,   -1.71353e-27 
           0.78,   -6.59859e-12,   -2.13517e-28 
          0.785,   -6.21024e-12,   -1.25485e-27 
           0.79,   -5.84452e-12,    3.01674e-27 
          0.795,   -5.50156e-12,    3.44169e-27 
            0.8,   -5.18116e-12,    2.10579e-28 
          0.805,   -4.88279e-12,   -9.77016e-28 
           0.81,   -4.60565e-12,    -1.7811e-28 
          0.815,    -4.3487e-12,   -8.60808e-28 
           0.82,   -4.11073e-12,   -3.70991e-29 
          0.825,   -3.89039e-12,   -1.41362e-27 
           0.83,   -3.68624e-12,   -2.62464e-29 
          0.835,    -3.4968e-12,     1.4325e-27 
           0.84,   -3.32058e-12,   -1.11727e-27 
          0.845,   -3.15615e-12,    1.13113e-27 
           0.85,   -3.00211e-12,   -1.26126e-27 
          0.855,   -2.85717e-12,   -2.81514e-28 
           0.86,   -2.72014e-12,   -5.79667e-29 
          0.865,   -2.58998e-12,    1.44361e-27 
           0.87,   -2.46576e-12,    6.88703e-28 
          0.875,   -2.34671e-12,   -7.74727e-29 
           0.88,    -2.2322e-12,    2.49666e-28 
          0.885,   -2.12174e-12,    1.46061e-28 
           0.89,   -2.01497e-12,   -5.93816e-28 
          0.895,   -1.91165e-12,    7.40945e-28 
            0.9,   -1.81166e-12,   -7.40657e-28 
          0.905,   -1.71495e-12,    5.06727e-28 
           0.91,   -1.62156e-12,     2.7922e-28 
          0.915,   -1.53157e-12,    1.55244e-28 
           0.92,    -1.4451e-12,   -4.18633e-28 
          0.925,   -1.36229e-12,   -1.93512e-28 
           0.93,   -1.28327e-12,    6.16906e-29 
          0.935,   -1.20817e-12,   -1.68599e-28 
           0.94,   -1.13708e-12,    6.63765e-28 
          0.945,   -1.07006e-12,    4.50662e-28 
           0.95,   -1.00715e-12,    9.04591e-28 
          0.955,   -9.48316e-13,    1.45464e-27 
           0.96,   -8.93513e-13,     7.2712e-28 
          0.965,   -8.42642e-13,    7.87273e-28 
           0.97,   -7.95578e-13,   -7.69842e-28 
          0.975,   -7.52168e-13,    5.29045e-28 
           0.98,   -7.12241e-13,    2.51549e-28 
          0.985,   -6.75613e-13,   -1.16363e-27 
           0.99,   -6.42099e-13,     4.6728e-28 
          0.995,   -6.11515e-13,    -1.5517e-28 
              1,   -5.83687e-13,   -5.58256e-28 
