      z,       a_n0_Re,       a_n0_Im
             -1    6.38419e-14    -2.2651e-27 
         -0.995    1.05979e-13    1.61961e-26 
          -0.99    1.69342e-13   -1.01253e-26 
         -0.985    2.61403e-13    9.66162e-27 
          -0.98    3.90874e-13   -3.01453e-26 
         -0.975    5.67351e-13    3.55698e-26 
          -0.97    8.00675e-13   -3.09634e-27 
         -0.965        1.1e-12   -4.21316e-26 
          -0.96    1.47264e-12   -3.54289e-26 
         -0.955    1.92266e-12     9.1367e-27 
          -0.95    2.44959e-12   -1.36201e-26 
         -0.945    3.04725e-12    3.61588e-28 
          -0.94    3.70298e-12    3.39501e-26 
         -0.935    4.39756e-12    5.45209e-27 
          -0.93    5.10591e-12    7.01209e-27 
         -0.925    5.79851e-12    4.36484e-27 
          -0.92    6.44363e-12    5.97713e-27 
         -0.915    7.00993e-12   -5.69123e-27 
          -0.91    7.46925e-12    7.36312e-28 
         -0.905    7.79912e-12   -2.00254e-26 
           -0.9     7.9847e-12   -6.31746e-26 
         -0.895     8.0199e-12    6.47586e-27 
          -0.89    7.90756e-12   -4.81357e-26 
         -0.885    7.65876e-12    3.22403e-26 
          -0.88    7.29134e-12   -6.52877e-26 
         -0.875    6.82802e-12   -1.15504e-26 
          -0.87    6.29417e-12    3.89112e-26 
         -0.865    5.71583e-12   -7.67361e-26 
          -0.86    5.11779e-12    1.86269e-26 
         -0.855    4.52229e-12   -5.53752e-26 
          -0.85    3.94805e-12   -5.54657e-27 
         -0.845    3.40992e-12   -4.08326e-26 
          -0.84    2.91884e-12    1.97238e-26 
         -0.835    2.48225e-12    1.97249e-26 
          -0.83    2.10462e-12   -3.10787e-26 
         -0.825    1.78823e-12   -7.51204e-27 
          -0.82    1.53382e-12    1.99468e-26 
         -0.815    1.34133e-12    1.20051e-26 
          -0.81    1.21045e-12   -3.83523e-26 
         -0.805    1.14104e-12     2.1254e-26 
           -0.8    1.13334e-12    2.42535e-26 
         -0.795      1.188e-12    9.29097e-27 
          -0.79    1.30594e-12     1.6145e-26 
         -0.785    1.48794e-12    2.94572e-26 
          -0.78    1.73413e-12   -9.04203e-27 
         -0.775    2.04332e-12   -1.40255e-26 
          -0.77    2.41229e-12    4.36241e-27 
         -0.765    2.83507e-12    4.00764e-27 
          -0.76    3.30246e-12   -6.26305e-27 
         -0.755    3.80169e-12   -1.37716e-26 
          -0.75     4.3165e-12   -2.04291e-26 
         -0.745    4.82763e-12    1.02583e-26 
          -0.74    5.31377e-12     4.0403e-26 
         -0.735    5.75285e-12    6.35057e-27 
          -0.73    6.12372e-12   -1.88062e-26 
         -0.725    6.40776e-12    6.58282e-27 
          -0.72    6.59053e-12   -6.65731e-27 
         -0.715      6.663e-12    1.76549e-26 
          -0.71    6.62226e-12   -8.51753e-27 
         -0.705    6.47166e-12    1.00806e-26 
           -0.7     6.2204e-12      -1.63e-26 
         -0.695    5.88247e-12    7.27524e-27 
          -0.69    5.47532e-12    7.34146e-27 
         -0.685    5.01833e-12    1.47025e-26 
          -0.68    4.53125e-12    5.40572e-27 
         -0.675    4.03283e-12   -3.12451e-27 
          -0.67    3.53976e-12    1.04343e-26 
         -0.665     3.0659e-12   -8.26925e-27 
          -0.66    2.62193e-12    5.45055e-27 
         -0.655    2.21529e-12    1.84747e-26 
          -0.65    1.85036e-12    1.82988e-27 
         -0.645    1.52887e-12    3.96052e-29 
          -0.64    1.25041e-12    1.08024e-26 
         -0.635    1.01291e-12   -2.68985e-26 
          -0.63    8.13188e-13   -5.99995e-27 
         -0.625    6.47405e-13    9.82933e-27 
          -0.62    5.11414e-13    6.40383e-27 
         -0.615    4.01066e-13   -1.93669e-26 
          -0.61     3.1241e-13    1.99483e-27 
         -0.605    2.41825e-13    2.03682e-27 
           -0.6    1.86089e-13    1.87675e-26 
         -0.595    1.42408e-13    1.00709e-26 
          -0.59    1.08402e-13    1.21333e-26 
         -0.585    8.20853e-14   -9.74111e-28 
          -0.58    6.18174e-14   -1.69475e-27 
         -0.575    4.62617e-14   -6.55641e-27 
          -0.57    3.43367e-14     3.7232e-27 
         -0.565    2.51716e-14    6.04149e-27 
          -0.56    1.80647e-14    1.14129e-26 
         -0.555    1.24453e-14     1.6744e-26 
          -0.55    7.83951e-15   -1.65296e-26 
         -0.545    3.83837e-15    9.32573e-27 
