      z,       a_n0_Re,       a_n0_Im
             -1   -4.03057e-15    6.80543e-28 
         -0.995   -5.93084e-15   -8.50406e-28 
          -0.99   -8.47135e-15   -6.92396e-28 
         -0.985   -1.17868e-14    5.60796e-28 
          -0.98   -1.60167e-14   -9.31531e-28 
         -0.975   -2.12987e-14    9.11032e-28 
          -0.97   -2.77588e-14    5.54165e-28 
         -0.965   -3.55016e-14   -1.30645e-27 
          -0.96    -4.4598e-14   -1.77776e-28 
         -0.955   -5.50735e-14   -1.20081e-28 
          -0.95   -6.68959e-14    4.06404e-28 
         -0.945   -7.99654e-14    -5.9621e-28 
          -0.94   -9.41057e-14    1.46975e-27 
         -0.935   -1.09059e-13    4.35458e-28 
          -0.93   -1.24484e-13   -7.07002e-28 
         -0.925   -1.39958e-13   -2.25159e-27 
          -0.92   -1.54979e-13   -1.75883e-27 
         -0.915   -1.68978e-13    -2.2949e-27 
          -0.91   -1.81324e-13   -2.48616e-28 
         -0.905   -1.91332e-13    1.23937e-27 
           -0.9   -1.98275e-13    1.51537e-27 
         -0.895   -2.01382e-13    1.17961e-27 
          -0.89   -1.99838e-13   -2.37565e-27 
         -0.885   -1.92779e-13   -1.74298e-27 
          -0.88   -1.79277e-13   -2.39305e-27 
         -0.875    -1.5832e-13     1.8961e-27 
          -0.87   -1.28787e-13    1.56682e-28 
         -0.865   -8.94155e-14   -2.89901e-27 
          -0.86   -3.87689e-14   -2.86384e-28 
         -0.855    2.47989e-14    -1.3384e-27 
          -0.85    1.03176e-13    3.04499e-27 
         -0.845    1.98519e-13    2.92567e-28 
          -0.84    3.13275e-13   -1.52596e-27 
         -0.835    4.50181e-13   -1.02982e-27 
          -0.83    6.12255e-13    5.56552e-27 
         -0.825    8.02758e-13     3.0054e-27 
          -0.82    1.02513e-12   -8.33027e-27 
         -0.815     1.2829e-12    5.49097e-27 
          -0.81    1.57955e-12   -3.50456e-27 
         -0.805    1.91836e-12   -1.92433e-27 
           -0.8    2.30219e-12     1.2861e-28 
         -0.795    2.73326e-12   -5.54759e-27 
          -0.79    3.21291e-12    1.09975e-27 
         -0.785    3.74129e-12   -3.22843e-27 
          -0.78    4.31717e-12   -5.31021e-28 
         -0.775    4.93761e-12   -7.28572e-29 
          -0.77    5.59784e-12     1.4629e-26 
         -0.765    6.29111e-12    6.11533e-28 
          -0.76    7.00866e-12    2.59303e-27 
         -0.755    7.73981e-12    3.79216e-28 
          -0.75    8.47218e-12    1.08141e-27 
         -0.745    9.19198e-12   -1.42476e-27 
          -0.74    9.88454e-12   -1.16815e-27 
         -0.735    1.05348e-11   -6.90863e-28 
          -0.73     1.1128e-11   -1.13902e-27 
         -0.725    1.16502e-11    6.41695e-28 
          -0.72    1.20892e-11   -5.11773e-28 
         -0.715    1.24347e-11    7.38011e-28 
          -0.71    1.26791e-11    2.15465e-27 
         -0.705    1.28177e-11      4.686e-27 
           -0.7    1.28489e-11   -3.83677e-28 
         -0.695     1.2774e-11   -5.52833e-27 
          -0.69    1.25974e-11    5.56695e-29 
         -0.685    1.23258e-11   -6.88502e-27 
          -0.68    1.19683e-11   -1.47439e-26 
         -0.675    1.15355e-11   -3.24494e-27 
          -0.67    1.10389e-11   -2.52488e-27 
         -0.665    1.04911e-11    7.20752e-28 
          -0.66    9.90425e-12   -3.42145e-27 
         -0.655    9.29041e-12    1.23002e-27 
          -0.65    8.66083e-12    4.32144e-29 
         -0.645    8.02571e-12    2.34685e-27 
          -0.64    7.39402e-12   -2.83084e-27 
         -0.635    6.77336e-12    2.69347e-27 
          -0.63    6.16989e-12    6.00396e-27 
         -0.625    5.58838e-12    2.65955e-27 
          -0.62     5.0322e-12   -4.43697e-29 
         -0.615    4.50347e-12    4.35819e-28 
          -0.61    4.00311e-12    3.09714e-27 
         -0.605    3.53101e-12    1.98864e-27 
           -0.6     3.0861e-12    3.45266e-27 
         -0.595    2.66649e-12    1.29863e-27 
          -0.59    2.26956e-12    2.17273e-27 
         -0.585    1.89203e-12   -5.03754e-27 
          -0.58    1.53003e-12    -5.8302e-27 
         -0.575     1.1791e-12   -3.93374e-27 
          -0.57    8.34228e-13   -6.91543e-28 
         -0.565    4.89831e-13    1.50511e-27 
          -0.56    1.39693e-13   -4.67622e-27 
         -0.555   -2.23093e-13    4.90684e-27 
          -0.55   -6.06226e-13    3.22143e-27 
         -0.545   -1.01831e-12   -7.07199e-28 
          -0.54   -1.46902e-12    1.56692e-27 
         -0.535   -1.96927e-12     3.9901e-27 
          -0.53    -2.5314e-12   -4.20298e-27 
         -0.525   -3.16943e-12    2.56766e-27 
          -0.52   -3.89934e-12    5.96328e-27 
         -0.515    -4.7393e-12    2.64442e-27 
          -0.51   -5.71006e-12   -3.45171e-27 
         -0.505   -6.83523e-12   -2.01953e-27 
           -0.5   -8.14164e-12   -2.95651e-28 
         -0.495   -9.65978e-12    9.38788e-28 
          -0.49   -1.14241e-11    5.35445e-27 
         -0.485   -1.34733e-11     6.6305e-27 
          -0.48   -1.58508e-11       4.42e-28 
         -0.475   -1.86051e-11    1.33667e-27 
          -0.47   -2.17896e-11   -2.43134e-27 
         -0.465   -2.54628e-11    -9.7271e-28 
          -0.46   -2.96883e-11   -6.76719e-28 
         -0.455   -3.45344e-11   -3.27169e-27 
          -0.45   -4.00732e-11   -5.51875e-28 
         -0.445   -4.63797e-11   -2.63723e-27 
          -0.44   -5.35305e-11   -4.59029e-27 
         -0.435   -6.16015e-11     3.0882e-27 
          -0.43   -7.06655e-11     -4.038e-28 
         -0.425   -8.07892e-11    3.50093e-27 
          -0.42   -9.20291e-11   -6.71947e-27 
         -0.415   -1.04427e-10    2.53218e-27 
          -0.41   -1.18007e-10    1.03087e-26 
         -0.405   -1.32767e-10    7.90944e-29 
           -0.4   -1.48677e-10    1.18764e-27 
         -0.395   -1.65669e-10    8.64386e-27 
          -0.39   -1.83639e-10    1.50554e-26 
         -0.385   -2.02437e-10    1.62203e-27 
          -0.38   -2.21868e-10   -1.84971e-27 
         -0.375   -2.41691e-10    7.88559e-27 
          -0.37    -2.6162e-10    4.73682e-27 
         -0.365   -2.81327e-10   -1.20413e-26 
          -0.36   -3.00453e-10    1.28021e-26 
         -0.355   -3.18613e-10   -5.19642e-27 
          -0.35   -3.35415e-10    7.15901e-27 
         -0.345   -3.50467e-10    3.87256e-27 
          -0.34   -3.63398e-10    3.31348e-27 
         -0.335   -3.73876e-10    1.00402e-27 
          -0.33   -3.81617e-10   -1.99002e-27 
         -0.325   -3.86407e-10     2.6591e-27 
          -0.32   -3.88107e-10    1.92036e-27 
         -0.315   -3.86662e-10   -7.27078e-28 
          -0.31   -3.82104e-10   -1.70702e-27 
         -0.305    -3.7455e-10   -3.40734e-27 
           -0.3   -3.64195e-10    5.51201e-27 
         -0.295   -3.51301e-10   -1.71575e-27 
          -0.29   -3.36183e-10    7.03859e-28 
         -0.285   -3.19196e-10    7.40951e-27 
          -0.28   -3.00714e-10   -1.54838e-26 
         -0.275   -2.81118e-10   -6.17579e-27 
          -0.27    -2.6078e-10     6.2469e-27 
         -0.265   -2.40047e-10    4.96355e-27 
          -0.26   -2.19236e-10   -3.22271e-27 
         -0.255   -1.98622e-10     7.2239e-27 
          -0.25   -1.78436e-10   -1.41432e-27 
         -0.245   -1.58863e-10    1.25281e-27 
          -0.24    -1.4004e-10   -8.47938e-27 
         -0.235   -1.22065e-10    1.50454e-26 
          -0.23   -1.04991e-10    1.23244e-28 
         -0.225   -8.88426e-11    1.18129e-27 
          -0.22   -7.36126e-11    1.57756e-27 
         -0.215   -5.92738e-11   -5.82144e-27 
          -0.21   -4.57834e-11   -8.43225e-27 
         -0.205    -3.3089e-11    -5.4844e-27 
           -0.2   -2.11345e-11    2.29114e-27 
         -0.195   -9.86509e-12   -2.42173e-27 
          -0.19    7.68685e-13    3.20086e-27 
         -0.185    1.08074e-11   -6.05017e-27 
          -0.18    2.02801e-11    -8.2153e-27 
         -0.175    2.92029e-11    3.19456e-27 
          -0.17    3.75779e-11   -1.09973e-26 
         -0.165    4.53939e-11   -3.47343e-27 
          -0.16    5.26275e-11   -1.10943e-26 
         -0.155    5.92452e-11   -4.25902e-27 
          -0.15    6.52063e-11    5.09468e-28 
         -0.145    7.04664e-11    2.85538e-27 
          -0.14    7.49817e-11    1.01103e-27 
         -0.135    7.87122e-11   -3.66356e-27 
          -0.13    8.16268e-11    3.20943e-27 
         -0.125    8.37057e-11   -2.02076e-27 
          -0.12     8.4944e-11    8.02783e-29 
         -0.115    8.53532e-11   -5.84929e-27 
          -0.11    8.49623e-11    1.50633e-27 
         -0.105    8.38176e-11    1.18582e-27 
           -0.1    8.19814e-11     4.3548e-28 
         -0.095    7.95297e-11    7.29267e-28 
          -0.09    7.65497e-11   -3.55859e-27 
         -0.085    7.31362e-11    1.86249e-27 
          -0.08    6.93882e-11   -2.82514e-27 
         -0.075    6.54055e-11   -1.22015e-27 
          -0.07    6.12853e-11    4.54242e-28 
         -0.065    5.71199e-11   -4.16281e-27 
          -0.06     5.2994e-11   -1.25138e-27 
         -0.055     4.8984e-11   -2.22293e-27 
          -0.05    4.51561e-11    3.02357e-27 
         -0.045    4.15671e-11   -9.82556e-28 
          -0.04    3.82638e-11    -9.6002e-29 
         -0.035    3.52838e-11    9.19509e-29 
          -0.03    3.26567e-11   -7.53384e-28 
         -0.025    3.04049e-11    1.30744e-28 
          -0.02     2.8545e-11    -7.7454e-28 
         -0.015    2.70885e-11    3.54259e-28 
          -0.01    2.60433e-11   -4.71753e-28 
         -0.005    2.54144e-11   -1.49195e-28 
              0    2.52045e-11    1.35837e-43 
          0.005    2.54144e-11    2.70148e-28 
           0.01    2.60433e-11    4.71753e-28 
          0.015    2.70885e-11    1.27483e-27 
           0.02     2.8545e-11     7.7454e-28 
          0.025    3.04049e-11   -2.67649e-28 
           0.03    3.26567e-11    7.53384e-28 
          0.035    3.52838e-11    1.83576e-27 
           0.04    3.82638e-11     9.6002e-29 
          0.045    4.15671e-11    9.82556e-28 
           0.05    4.51561e-11    3.71593e-28 
          0.055     4.8984e-11    2.22293e-27 
           0.06     5.2994e-11    4.87314e-28 
          0.065    5.71199e-11    4.16281e-27 
           0.07    6.12853e-11    -2.8547e-27 
          0.075    6.54055e-11    1.22015e-27 
           0.08    6.93882e-11   -9.23136e-28 
          0.085    7.31362e-11   -1.86249e-27 
           0.09    7.65497e-11    1.84084e-27 
          0.095    7.95297e-11   -7.29267e-28 
            0.1    8.19814e-11    3.51161e-27 
          0.105    8.38176e-11   -1.18582e-27 
           0.11    8.49623e-11    1.26224e-27 
          0.115    8.53532e-11    5.84929e-27 
           0.12     8.4944e-11   -4.47997e-27 
          0.125    8.37057e-11    2.02076e-27 
           0.13    8.16268e-11   -5.66896e-27 
          0.135    7.87122e-11    3.66356e-27 
           0.14    7.49817e-11    3.47883e-27 
          0.145    7.04664e-11   -2.85538e-27 
           0.15    6.52063e-11   -5.65258e-27 
          0.155    5.92452e-11    4.25902e-27 
           0.16    5.26275e-11    5.78946e-27 
          0.165    4.53939e-11    3.47343e-27 
           0.17    3.75779e-11    1.09973e-26 
          0.175    2.92029e-11    5.96505e-27 
           0.18    2.02801e-11     8.2153e-27 
          0.185    1.08074e-11   -2.86781e-27 
           0.19    7.68685e-13   -3.20086e-27 
          0.195   -9.86509e-12   -2.50818e-27 
            0.2   -2.11345e-11   -2.29114e-27 
          0.205    -3.3089e-11   -5.26014e-27 
           0.21   -4.57834e-11    8.43225e-27 
          0.215   -5.92738e-11    1.43837e-26 
           0.22   -7.36126e-11   -1.57756e-27 
          0.225   -8.88426e-11   -9.31706e-28 
           0.23   -1.04991e-10   -1.23244e-28 
          0.235   -1.22065e-10    -7.4181e-27 
           0.24    -1.4004e-10    8.47938e-27 
          0.245   -1.58863e-10    -1.8476e-27 
           0.25   -1.78436e-10    1.41432e-27 
          0.255   -1.98622e-10    4.77148e-27 
           0.26   -2.19236e-10    3.22271e-27 
          0.265   -2.40047e-10   -5.51008e-27 
           0.27    -2.6078e-10    -6.2469e-27 
          0.275   -2.81118e-10    9.45842e-27 
           0.28   -3.00714e-10    1.54838e-26 
          0.285   -3.19196e-10    7.43849e-27 
           0.29   -3.36183e-10   -7.03859e-28 
          0.295   -3.51301e-10    1.02051e-27 
            0.3   -3.64195e-10     2.6165e-27 
          0.305    -3.7455e-10    3.40734e-27 
           0.31   -3.82104e-10   -7.02528e-29 
          0.315   -3.86662e-10    7.27078e-28 
           0.32   -3.88107e-10    1.32588e-27 
          0.325   -3.86407e-10    -2.6591e-27 
           0.33   -3.81617e-10   -2.95552e-27 
          0.335   -3.73876e-10   -1.00402e-27 
           0.34   -3.63398e-10   -8.93774e-28 
          0.345   -3.50467e-10   -3.87256e-27 
           0.35   -3.35415e-10   -4.39442e-27 
          0.355   -3.18613e-10    5.19642e-27 
           0.36   -3.00453e-10   -6.86019e-27 
          0.365   -2.81327e-10    1.20413e-26 
           0.37    -2.6162e-10   -4.23926e-27 
          0.375   -2.41691e-10   -7.88559e-27 
           0.38   -2.21868e-10   -1.71124e-27 
          0.385   -2.02437e-10   -1.62203e-27 
           0.39   -1.83639e-10   -3.46917e-28 
          0.395   -1.65669e-10   -8.64386e-27 
            0.4   -1.48677e-10    9.15887e-27 
          0.405   -1.32767e-10   -7.90944e-29 
           0.41   -1.18007e-10   -1.60062e-26 
          0.415   -1.04427e-10   -2.53218e-27 
           0.42   -9.20291e-11   -3.36101e-27 
          0.425   -8.07892e-11   -8.18074e-27 
           0.43   -7.06655e-11      4.038e-28 
          0.435   -6.16015e-11   -4.38944e-27 
           0.44   -5.35305e-11    4.59029e-27 
          0.445   -4.63797e-11    1.17589e-26 
           0.45   -4.00732e-11    5.51875e-28 
          0.455   -3.45344e-11   -1.03209e-26 
           0.46   -2.96883e-11    6.76719e-28 
          0.465   -2.54628e-11    4.67622e-27 
           0.47   -2.17896e-11    2.43134e-27 
          0.475   -1.86051e-11   -2.13113e-28 
           0.48   -1.58508e-11      -4.42e-28 
          0.485   -1.34733e-11   -6.57574e-28 
           0.49   -1.14241e-11   -5.35445e-27 
          0.495   -9.65978e-12    4.42585e-28 
            0.5   -8.14164e-12    2.95651e-28 
          0.505   -6.83523e-12    1.62517e-28 
