 z,  dB_r_1/dx,  dA_r_1/dy, B_r_2 
 0.790000, -0.117233, -0.117233, 0.035357 
 0.795000, -0.110788, -0.110788, 0.033862 
 0.800000, -0.104485, -0.104485, 0.032406 
 0.805000, -0.098326, -0.098326, 0.030990 
 0.810000, -0.092313, -0.092313, 0.029613 
 0.815000, -0.086448, -0.086448, 0.028274 
 0.820000, -0.080732, -0.080732, 0.026972 
 0.825000, -0.075167, -0.075167, 0.025709 
 0.830000, -0.069754, -0.069754, 0.024481 
 0.835000, -0.064497, -0.064497, 0.023291 
 0.840000, -0.059396, -0.059396, 0.022136 
 0.845000, -0.054452, -0.054452, 0.021017 
 0.850000, -0.049667, -0.049667, 0.019933 
 0.855000, -0.045043, -0.045043, 0.018884 
 0.860000, -0.040580, -0.040580, 0.017869 
 0.865000, -0.036280, -0.036280, 0.016888 
 0.870000, -0.032143, -0.032143, 0.015941 
 0.875000, -0.028170, -0.028170, 0.015027 
 0.880000, -0.024363, -0.024363, 0.014145 
 0.885000, -0.020720, -0.020720, 0.013296 
 0.890000, -0.017242, -0.017242, 0.012479 
 0.895000, -0.013930, -0.013930, 0.011694 
 0.900000, -0.010782, -0.010782, 0.010940 
 0.905000, -0.007799, -0.007799, 0.010216 
 0.910000, -0.004979, -0.004979, 0.009523 
 0.915000, -0.002322, -0.002322, 0.008859 
 0.920000, 0.000173, 0.000173, 0.008225 
 0.925000, 0.002509, 0.002509, 0.007619 
 0.930000, 0.004687, 0.004687, 0.007042 
 0.935000, 0.006709, 0.006709, 0.006492 
 0.940000, 0.008578, 0.008578, 0.005970 
 0.945000, 0.010296, 0.010296, 0.005474 
 0.950000, 0.011865, 0.011865, 0.005005 
 0.955000, 0.013290, 0.013290, 0.004561 
 0.960000, 0.014573, 0.014573, 0.004142 
 0.965000, 0.015718, 0.015718, 0.003747 
 0.970000, 0.016730, 0.016730, 0.003375 
 0.975000, 0.017611, 0.017611, 0.003027 
 0.980000, 0.018367, 0.018367, 0.002700 
 0.985000, 0.019003, 0.019003, 0.002396 
 0.990000, 0.019522, 0.019522, 0.002112 
 0.995000, 0.019929, 0.019929, 0.001848 
 1.000000, 0.020231, 0.020231, 0.001603 
