      z,       a_n0_Re,       a_n0_Im
             -1    2.17905e-14   -3.53994e-28 
         -0.995    3.48492e-14   -4.15219e-28 
          -0.99     5.3782e-14   -2.60697e-27 
         -0.985    8.03805e-14   -9.64748e-27 
          -0.98    1.16658e-13   -5.86909e-27 
         -0.975    1.64755e-13   -1.00762e-26 
          -0.97    2.26796e-13   -7.15304e-27 
         -0.965    3.04702e-13   -1.11582e-26 
          -0.96     3.9995e-13   -6.29323e-28 
         -0.955     5.1333e-13   -1.65748e-28 
          -0.95    6.44691e-13    8.15147e-27 
         -0.945     7.9274e-13   -4.85245e-27 
          -0.94    9.54904e-13   -6.13039e-27 
         -0.935    1.12731e-12    2.65898e-27 
          -0.93    1.30491e-12    1.46521e-27 
         -0.925    1.48167e-12    3.40944e-27 
          -0.92    1.65102e-12     1.3185e-27 
         -0.915    1.80623e-12    -2.0586e-27 
          -0.91    1.94097e-12    1.00712e-27 
         -0.905    2.04974e-12    5.75755e-27 
           -0.9    2.12832e-12    1.11455e-26 
         -0.895    2.17404e-12    4.46763e-27 
          -0.89    2.18594e-12   -1.24195e-26 
         -0.885    2.16478e-12   -1.03425e-27 
          -0.88    2.11289e-12    2.40951e-28 
         -0.875    2.03393e-12    2.18499e-27 
          -0.87    1.93254e-12   -1.46606e-26 
         -0.865    1.81404e-12     1.5342e-27 
          -0.86    1.68402e-12   -6.10322e-28 
         -0.855    1.54808e-12   -7.42585e-27 
          -0.85    1.41159e-12    4.12142e-27 
         -0.845    1.27947e-12    4.18957e-28 
          -0.84    1.15621e-12   -4.47873e-27 
         -0.835    1.04575e-12    4.49511e-29 
          -0.83      9.516e-13    -8.1322e-27 
         -0.825    8.76885e-13    4.29251e-27 
          -0.82    8.24463e-13    1.54078e-27 
         -0.815    7.97017e-13    4.53448e-27 
          -0.81    7.97134e-13   -8.99921e-28 
         -0.805    8.27332e-13    6.26538e-27 
           -0.8    8.90043e-13   -8.85549e-27 
         -0.795    9.87514e-13    9.81774e-27 
          -0.79    1.12164e-12   -2.06066e-27 
         -0.785    1.29375e-12    3.87433e-28 
          -0.78    1.50429e-12    1.76095e-27 
         -0.775     1.7525e-12    2.52072e-27 
          -0.77    2.03612e-12   -6.64724e-27 
         -0.765     2.3511e-12    2.21843e-27 
          -0.76    2.69137e-12    6.48939e-27 
         -0.755    3.04883e-12    2.02323e-27 
          -0.75    3.41347e-12   -3.02232e-27 
         -0.745    3.77368e-12   -4.49188e-27 
          -0.74    4.11677e-12   -9.02896e-28 
         -0.735     4.4297e-12     7.0207e-27 
          -0.73     4.6999e-12   -8.31017e-27 
         -0.725    4.91612e-12     -2.847e-27 
          -0.72    5.06924e-12   -1.93155e-28 
         -0.715    5.15294e-12   -4.97132e-27 
          -0.71    5.16415e-12   -2.95275e-27 
         -0.705    5.10319e-12    6.26312e-27 
           -0.7     4.9737e-12    2.10964e-28 
         -0.695    4.78224e-12    3.06632e-27 
          -0.69    4.53769e-12   -6.33111e-27 
         -0.685    4.25058e-12   -5.29226e-28 
          -0.68    3.93227e-12   -9.25746e-27 
         -0.675    3.59423e-12   -2.14546e-27 
