      z,       a_n0_Re,       a_n0_Im
             -1    1.22117e-20   -3.06733e-34 
         -0.995    7.52879e-21   -2.17412e-34 
          -0.99    2.73944e-21   -9.97279e-36 
         -0.985   -2.18386e-21    1.69863e-34 
          -0.98   -7.27165e-21    -3.8691e-36 
         -0.975   -1.25571e-20    2.15878e-34 
          -0.97   -1.80753e-20    7.81175e-35 
         -0.965   -2.38626e-20   -1.94876e-34 
          -0.96    -2.9956e-20      3.217e-34 
         -0.955    -3.6392e-20   -2.49386e-34 
          -0.95   -4.32057e-20    2.43447e-35 
         -0.945   -5.04304e-20    6.29139e-35 
          -0.94   -5.80962e-20    6.79102e-35 
         -0.935   -6.62298e-20     1.6935e-34 
          -0.93   -7.48535e-20    1.35053e-34 
         -0.925   -8.39844e-20   -3.95316e-35 
          -0.92   -9.36349e-20   -1.49003e-34 
         -0.915   -1.03811e-19    4.15902e-34 
          -0.91   -1.14514e-19   -6.58597e-35 
         -0.905   -1.25739e-19   -3.25543e-34 
           -0.9   -1.37474e-19    2.78812e-34 
         -0.895   -1.49703e-19    -5.6414e-35 
          -0.89   -1.62404e-19    -8.8303e-35 
         -0.885   -1.75549e-19    6.35666e-35 
          -0.88   -1.89105e-19   -1.50099e-34 
         -0.875   -2.03034e-19    1.61538e-34 
          -0.87   -2.17293e-19   -2.39576e-35 
         -0.865   -2.31834e-19    1.12363e-34 
          -0.86   -2.46605e-19    1.41956e-35 
         -0.855   -2.61546e-19    1.31116e-34 
          -0.85   -2.76596e-19    2.05396e-34 
         -0.845   -2.91686e-19   -2.00253e-34 
          -0.84   -3.06744e-19    2.63535e-34 
         -0.835   -3.21691e-19   -2.54546e-35 
          -0.83   -3.36444e-19    5.29497e-35 
         -0.825   -3.50916e-19   -4.01839e-34 
          -0.82   -3.65015e-19   -1.31629e-34 
         -0.815   -3.78645e-19    1.54679e-34 
          -0.81   -3.91706e-19    4.56474e-35 
         -0.805   -4.04096e-19    1.70007e-34 
           -0.8   -4.15712e-19   -2.33945e-34 
         -0.795   -4.26448e-19   -1.41184e-34 
          -0.79     -4.362e-19    1.31216e-34 
         -0.785   -4.44864e-19   -3.24676e-34 
          -0.78   -4.52336e-19   -1.81903e-34 
         -0.775   -4.58516e-19   -2.33948e-34 
          -0.77   -4.63308e-19   -8.99493e-35 
         -0.765    -4.6662e-19   -9.55082e-35 
          -0.76   -4.68364e-19    3.75335e-34 
         -0.755    -4.6846e-19    5.28803e-35 
          -0.75   -4.66832e-19    3.05643e-34 
         -0.745   -4.63416e-19   -1.77363e-34 
          -0.74   -4.58157e-19   -2.02178e-34 
         -0.735   -4.51011e-19    1.25887e-34 
          -0.73    -4.4195e-19     2.0241e-34 
         -0.725   -4.30963e-19    4.46326e-34 
          -0.72   -4.18061e-19   -8.27806e-35 
         -0.715   -4.03281e-19   -1.03729e-34 
          -0.71   -3.86686e-19   -2.96753e-34 
         -0.705   -3.68375e-19   -3.39029e-35 
           -0.7   -3.48485e-19    -2.9554e-34 
         -0.695   -3.27196e-19    4.37219e-35 
          -0.69   -3.04732e-19   -1.12592e-34 
         -0.685   -2.81369e-19   -7.92564e-35 
          -0.68   -2.57431e-19   -1.38354e-34 
         -0.675   -2.33297e-19    -3.2735e-34 
          -0.67   -2.09396e-19   -3.52045e-34 
         -0.665   -1.86206e-19   -9.95517e-35 
          -0.66   -1.64253e-19   -4.47211e-34 
         -0.655     -1.441e-19   -2.55235e-34 
          -0.65   -1.26347e-19     3.1192e-34 
         -0.645    -1.1162e-19   -1.01778e-34 
          -0.64   -1.00559e-19    2.90921e-34 
         -0.635   -9.38138e-20   -2.49813e-35 
          -0.63   -9.20304e-20   -2.92265e-34 
         -0.625   -9.58416e-20     6.2021e-35 
          -0.62   -1.05857e-19   -3.15357e-34 
         -0.615   -1.22656e-19    7.85546e-35 
          -0.61   -1.46775e-19   -4.56053e-34 
         -0.605   -1.78705e-19   -2.68556e-34 
           -0.6   -2.18887e-19   -3.48335e-34 
         -0.595   -2.67705e-19      1.927e-34 
          -0.59   -3.25486e-19    1.75553e-34 
         -0.585   -3.92499e-19    4.12409e-35 
          -0.58   -4.68958e-19    5.92265e-35 
         -0.575   -5.55025e-19   -1.24499e-34 
          -0.57   -6.50809e-19   -5.62347e-34 
         -0.565   -7.56377e-19   -4.76016e-34 
          -0.56   -8.71753e-19   -1.13403e-34 
         -0.555   -9.96928e-19   -4.23373e-34 
          -0.55   -1.13186e-18   -1.61653e-34 
         -0.545   -1.27648e-18   -5.49595e-34 
          -0.54   -1.43068e-18   -2.20188e-35 
         -0.535   -1.59437e-18   -1.45203e-34 
          -0.53   -1.76738e-18    2.81576e-34 
         -0.525   -1.94956e-18    3.55169e-37 
          -0.52   -2.14071e-18     -2.927e-34 
         -0.515   -2.34062e-18   -6.14189e-36 
          -0.51   -2.54903e-18   -1.91011e-35 
         -0.505   -2.76564e-18   -2.57633e-34 
           -0.5   -2.99011e-18   -5.26997e-36 
         -0.495   -3.22206e-18   -1.31365e-34 
          -0.49   -3.46105e-18    1.32764e-35 
         -0.485   -3.70659e-18   -3.66291e-35 
          -0.48   -3.95811e-18    1.80839e-34 
         -0.475   -4.21503e-18    5.16852e-35 
          -0.47   -4.47666e-18   -2.64716e-34 
         -0.465   -4.74231e-18   -3.21417e-34 
          -0.46   -5.01121e-18   -4.73627e-34 
         -0.455   -5.28257e-18    1.85002e-34 
          -0.45   -5.55558e-18    1.70557e-34 
         -0.445   -5.82943e-18    1.01715e-34 
          -0.44   -6.10329e-18    2.33433e-34 
         -0.435    -6.3764e-18    2.29434e-34 
          -0.43     -6.648e-18    -3.0819e-34 
         -0.425   -6.91744e-18   -2.86373e-34 
          -0.42   -7.18413e-18   -4.94858e-34 
         -0.415    -7.4476e-18    5.31816e-35 
          -0.41   -7.70751e-18    1.66317e-34 
         -0.405   -7.96369e-18    1.89915e-34 
           -0.4   -8.21613e-18    4.40443e-34 
         -0.395   -8.46502e-18   -3.04844e-35 
          -0.39   -8.71075e-18   -1.14273e-35 
         -0.385   -8.95393e-18    4.63703e-34 
          -0.38   -9.19542e-18    2.94417e-34 
         -0.375   -9.43626e-18    4.70179e-35 
          -0.37   -9.67776e-18    9.31916e-35 
         -0.365    -9.9214e-18   -2.67972e-34 
