      z,       b_n0_Re,       b_n0_Im
             -1,   -9.15925e-08,    2.26131e-22 
         -0.995,   -1.17682e-07,   -2.18486e-22 
          -0.99,     -1.516e-07,    1.37635e-22 
         -0.985,   -1.95708e-07,   -1.92286e-22 
          -0.98,   -2.53032e-07,    1.23863e-23 
         -0.975,   -3.27419e-07,    4.63907e-22 
          -0.97,   -4.23722e-07,     6.3038e-23 
         -0.965,   -5.48007e-07,   -1.38478e-22 
          -0.96,   -7.07793e-07,   -1.74743e-22 
         -0.955,   -9.12295e-07,    1.13042e-22 
          -0.95,   -1.17269e-06,    4.49098e-22 
         -0.945,   -1.50234e-06,     7.2382e-24 
          -0.94,   -1.91703e-06,     1.6034e-23 
         -0.935,   -2.43503e-06,    8.13976e-23 
          -0.93,   -3.07716e-06,    6.66851e-22 
         -0.925,   -3.86654e-06,   -3.04425e-22 
          -0.92,   -4.82822e-06,   -4.30342e-23 
         -0.915,   -5.98836e-06,   -2.09056e-22 
          -0.91,   -7.37317e-06,   -2.54228e-22 
         -0.905,   -9.00736e-06,    6.21219e-22 
           -0.9,   -1.09122e-05,    7.45275e-22 
         -0.895,    -1.3103e-05,    3.07157e-22 
          -0.89,   -1.55869e-05,   -8.08364e-24 
         -0.885,   -1.83594e-05,     2.6339e-23 
          -0.88,   -2.14025e-05,    -1.9198e-22 
         -0.875,   -2.46815e-05,    1.74451e-22 
          -0.87,   -2.81442e-05,    3.56046e-22 
         -0.865,   -3.17201e-05,    -2.0055e-23 
          -0.86,   -3.53214e-05,   -4.29559e-22 
         -0.855,   -3.88455e-05,    1.40125e-21 
          -0.85,   -4.21797e-05,   -4.04891e-22 
         -0.845,   -4.52066e-05,    7.31297e-22 
          -0.84,   -4.78113e-05,    1.30985e-22 
         -0.835,   -4.98892e-05,    2.39871e-24 
          -0.83,   -5.13534e-05,   -2.67699e-22 
         -0.825,   -5.21412e-05,   -1.08863e-22 
          -0.82,   -5.22192e-05,   -1.06978e-22 
         -0.815,   -5.15858e-05,    -2.6698e-22 
          -0.81,   -5.02711e-05,   -5.16504e-24 
         -0.805,   -4.83343e-05,    1.49895e-22 
           -0.8,   -4.58591e-05,   -4.49906e-23 
         -0.795,   -4.29472e-05,    6.89031e-22 
          -0.79,   -3.97107e-05,   -1.58336e-21 
         -0.785,   -3.62648e-05,    2.14816e-22 
          -0.78,   -3.27209e-05,   -1.22145e-21 
         -0.775,    -2.9181e-05,    7.21241e-22 
          -0.77,   -2.57329e-05,    1.06907e-21 
         -0.765,   -2.24485e-05,    1.11685e-21 
          -0.76,   -1.93817e-05,     1.1968e-21 
         -0.755,   -1.65696e-05,   -4.66119e-22 
          -0.75,   -1.40333e-05,   -8.96491e-22 
         -0.745,     -1.178e-05,     7.3243e-22 
          -0.74,   -9.80592e-06,   -2.87782e-22 
         -0.735,   -8.09844e-06,   -1.01842e-21 
          -0.73,   -6.63892e-06,   -7.92395e-22 
         -0.725,   -5.40487e-06,   -6.25354e-22 
          -0.72,   -4.37187e-06,    1.88909e-22 
         -0.715,   -3.51511e-06,   -2.98649e-22 
          -0.71,   -2.81053e-06,   -1.27177e-22 
         -0.705,    -2.2356e-06,   -5.38857e-22 
           -0.7,   -1.76979e-06,    6.44858e-23 
         -0.695,   -1.39487e-06,   -5.47245e-22 
          -0.69,    -1.0949e-06,   -2.53696e-22 
         -0.685,   -8.56212e-07,     7.2572e-23 
          -0.68,    -6.6725e-07,   -3.62382e-22 
         -0.675,   -5.18341e-07,   -1.86556e-22 
          -0.67,   -4.01493e-07,    1.51433e-22 
         -0.665,    -3.1016e-07,    8.47148e-23 
          -0.66,   -2.39023e-07,   -2.77711e-22 
         -0.655,   -1.83798e-07,   -6.85473e-23 
          -0.65,   -1.41051e-07,   -3.36711e-22 
