      z,       b_n0_Re,       b_n0_Im
             -1,    4.87975e-08,   -8.68757e-24 
         -0.995,    2.00702e-08,   -1.48712e-22 
          -0.99,   -2.25035e-08,   -4.03982e-22 
         -0.985,   -8.28683e-08,    1.17591e-24 
          -0.98,   -1.65811e-07,   -1.72696e-22 
         -0.975,   -2.77096e-07,   -4.06955e-22 
          -0.97,   -4.23604e-07,   -1.45014e-23 
         -0.965,   -6.13478e-07,    -1.2734e-22 
          -0.96,   -8.56266e-07,   -2.29324e-22 
         -0.955,   -1.16304e-06,   -5.21148e-23 
          -0.95,   -1.54648e-06,    1.32767e-22 
         -0.945,   -2.02095e-06,   -2.22818e-22 
          -0.94,   -2.60238e-06,   -5.11255e-23 
         -0.935,   -3.30823e-06,    5.19051e-22 
          -0.93,   -4.15712e-06,   -8.77023e-26 
         -0.925,   -5.16842e-06,    -5.0681e-22 
          -0.92,   -6.36162e-06,    2.19758e-23 
         -0.915,   -7.75543e-06,    1.56541e-22 
          -0.91,   -9.36671e-06,    3.46704e-22 
         -0.905,   -1.12092e-05,   -1.14726e-22 
           -0.9,   -1.32918e-05,    4.76855e-22 
         -0.895,   -1.56172e-05,    2.43422e-22 
          -0.89,   -1.81802e-05,     1.8359e-22 
         -0.885,   -2.09657e-05,   -3.29037e-22 
          -0.88,    -2.3948e-05,    4.31062e-22 
         -0.875,   -2.70891e-05,   -8.40566e-22 
          -0.87,   -3.03391e-05,   -1.11172e-22 
         -0.865,   -3.36362e-05,    5.19065e-22 
          -0.86,   -3.69078e-05,   -3.32922e-22 
         -0.855,   -4.00736e-05,    3.25039e-22 
          -0.85,   -4.30476e-05,   -4.43997e-22 
         -0.845,   -4.57429e-05,    2.20609e-22 
          -0.84,   -4.80759e-05,    -4.2564e-23 
         -0.835,    -4.9971e-05,   -2.83074e-22 
          -0.83,    -5.1365e-05,   -2.76937e-22 
         -0.825,   -5.22112e-05,   -4.06437e-23 
          -0.82,   -5.24824e-05,   -1.93113e-22 
         -0.815,   -5.21722e-05,   -1.61585e-22 
          -0.81,   -5.12958e-05,   -8.10313e-22 
         -0.805,   -4.98884e-05,   -6.48064e-22 
           -0.8,   -4.80027e-05,   -5.83729e-23 
         -0.795,   -4.57058e-05,   -3.05085e-22 
          -0.79,   -4.30745e-05,    2.16942e-22 
         -0.785,   -4.01913e-05,    4.66477e-22 
          -0.78,   -3.71392e-05,      6.297e-22 
         -0.775,   -3.39989e-05,       1.92e-22 
          -0.77,   -3.08443e-05,    7.64679e-22 
         -0.765,   -2.77407e-05,   -2.80287e-22 
          -0.76,   -2.47431e-05,    6.57397e-22 
         -0.755,   -2.18953e-05,   -4.34381e-22 
          -0.75,   -1.92298e-05,   -3.76621e-22 
         -0.745,   -1.67687e-05,   -1.60842e-22 
          -0.74,   -1.45241e-05,   -3.75734e-22 
         -0.735,   -1.25002e-05,    3.04932e-22 
          -0.73,   -1.06943e-05,   -8.10167e-22 
         -0.725,   -9.09816e-06,   -1.77683e-22 
          -0.72,    -7.6999e-06,    5.31018e-22 
         -0.715,   -6.48485e-06,   -5.61498e-22 
          -0.71,   -5.43684e-06,   -4.76163e-22 
         -0.705,   -4.53907e-06,     1.1725e-21 
           -0.7,   -3.77482e-06,   -3.57621e-22 
         -0.695,   -3.12796e-06,   -3.73023e-22 
          -0.69,   -2.58334e-06,   -1.00859e-22 
         -0.685,   -2.12702e-06,     -5.353e-22 
          -0.68,   -1.74637e-06,    -4.0613e-22 
         -0.675,   -1.43012e-06,    2.10811e-22 
          -0.67,   -1.16835e-06,    2.16377e-22 
         -0.665,   -9.52405e-07,    3.88983e-22 
          -0.66,   -7.74822e-07,   -3.20346e-22 
         -0.655,   -6.29197e-07,   -3.66793e-24 
          -0.65,   -5.10089e-07,    -4.5388e-22 
         -0.645,     -4.129e-07,   -1.31918e-22 
          -0.64,   -3.33766e-07,    3.52964e-22 
         -0.635,   -2.69459e-07,   -1.64943e-22 
          -0.63,   -2.17295e-07,   -9.74598e-23 
         -0.625,   -1.75049e-07,   -2.02946e-22 
          -0.62,   -1.40884e-07,   -4.00192e-22 
         -0.615,   -1.13292e-07,   -4.76003e-23 
          -0.61,   -9.10333e-08,    5.88988e-23 
         -0.605,   -7.30971e-08,   -3.32144e-22 
           -0.6,   -5.86576e-08,    4.10337e-23 
         -0.595,   -4.70432e-08,    1.57489e-22 
          -0.59,   -3.77084e-08,    -2.3567e-22 
         -0.585,   -3.02111e-08,    5.99882e-23 
          -0.58,   -2.41936e-08,    3.76145e-23 
         -0.575,   -1.93667e-08,   -3.04029e-22 
          -0.57,   -1.54969e-08,    1.49803e-22 
         -0.565,   -1.23959e-08,    2.86602e-22 
          -0.56,   -9.91229e-09,    8.07059e-23 
         -0.555,   -7.92392e-09,    5.85437e-23 
          -0.55,    -6.3327e-09,    2.07686e-22 
         -0.545,   -5.05977e-09,   -4.85368e-22 
          -0.54,   -4.04181e-09,    2.15707e-22 
         -0.535,     -3.228e-09,    1.81654e-22 
          -0.53,   -2.57759e-09,    1.10426e-22 
         -0.525,   -2.05791e-09,    3.42849e-22 
          -0.52,   -1.64277e-09,    -6.5837e-23 
         -0.515,   -1.31121e-09,   -1.23221e-22 
          -0.51,   -1.04646e-09,    3.55189e-22 
         -0.505,   -8.35097e-10,   -2.02486e-22 
           -0.5,   -6.66376e-10,    1.19768e-22 
         -0.495,   -5.31715e-10,    3.28804e-22 
          -0.49,   -4.24253e-10,   -3.03434e-22 
         -0.485,   -3.38507e-10,   -1.20261e-22 
          -0.48,   -2.70096e-10,    1.77747e-22 
         -0.475,   -2.15521e-10,     -6.284e-22 
          -0.47,   -1.71989e-10,   -1.77462e-22 
         -0.465,   -1.37268e-10,   -3.57237e-23 
          -0.46,   -1.09578e-10,   -3.99007e-22 
         -0.455,   -8.74972e-11,   -1.69786e-22 
          -0.45,   -6.98905e-11,    -2.0715e-22 
         -0.445,   -5.58526e-11,   -2.18227e-22 
          -0.44,   -4.46609e-11,   -9.15801e-23 
         -0.435,   -3.57392e-11,    6.02326e-23 
          -0.43,   -2.86274e-11,    3.16331e-22 
         -0.425,   -2.29588e-11,     2.7356e-22 
          -0.42,   -1.84407e-11,   -2.36668e-22 
         -0.415,   -1.48399e-11,    2.88743e-22 
          -0.41,   -1.19702e-11,    3.55521e-22 
         -0.405,    -9.6834e-12,     4.0604e-22 
           -0.4,    -7.8611e-12,    3.79518e-22 
         -0.395,   -6.40901e-12,    3.62742e-22 
          -0.39,   -5.25197e-12,   -4.37025e-22 
         -0.385,   -4.33007e-12,    1.54654e-22 
          -0.38,   -3.59555e-12,    6.63292e-22 
         -0.375,   -3.01036e-12,   -9.45936e-23 
          -0.37,   -2.54421e-12,   -3.52154e-22 
         -0.365,   -2.17295e-12,    5.09323e-22 
          -0.36,   -1.87738e-12,   -7.91891e-23 
         -0.355,   -1.64222e-12,    2.52946e-22 
          -0.35,   -1.45533e-12,    2.54366e-22 
         -0.345,   -1.30709e-12,    7.77352e-22 
          -0.34,   -1.18987e-12,   -3.22636e-22 
         -0.335,    -1.0977e-12,   -3.23351e-22 
          -0.33,   -1.02587e-12,    1.13458e-22 
         -0.325,   -9.70793e-13,   -1.46433e-21 
          -0.32,   -9.29714e-13,   -1.27113e-21 
         -0.315,   -9.00643e-13,   -4.81381e-22 
          -0.31,   -8.82222e-13,    1.07516e-22 
         -0.305,   -8.73665e-13,   -1.08198e-22 
           -0.3,   -8.74719e-13,   -1.84096e-22 
         -0.295,   -8.85655e-13,    7.83864e-22 
          -0.29,   -9.07288e-13,   -5.25095e-22 
         -0.285,   -9.41027e-13,   -1.27408e-21 
          -0.28,   -9.88952e-13,   -1.99212e-22 
         -0.275,   -1.05394e-12,    1.52574e-22 
          -0.27,   -1.13981e-12,    7.92349e-22 
         -0.265,   -1.25157e-12,    7.77978e-22 
          -0.26,   -1.39566e-12,    7.33366e-22 
         -0.255,   -1.58032e-12,    3.42965e-22 
          -0.25,   -1.81604e-12,     6.8306e-22 
         -0.245,   -2.11617e-12,    6.69146e-22 
          -0.24,    -2.4976e-12,    7.05768e-23 
         -0.235,   -2.98169e-12,   -4.33845e-22 
          -0.23,   -3.59547e-12,   -1.20577e-22 
         -0.225,   -4.37303e-12,    2.81787e-22 
          -0.22,   -5.35741e-12,    2.52226e-22 
         -0.215,   -6.60284e-12,   -3.25968e-22 
          -0.21,   -8.17765e-12,    6.76944e-22 
         -0.205,   -1.01679e-11,    3.35019e-23 
           -0.2,   -1.26816e-11,   -6.31914e-23 
         -0.195,   -1.58549e-11,    1.57794e-24 
          -0.19,   -1.98585e-11,    1.80978e-21 
         -0.185,   -2.49067e-11,    2.32179e-21 
          -0.18,   -3.12678e-11,   -1.23188e-21 
         -0.175,   -3.92782e-11,    1.55971e-21 
          -0.17,   -4.93582e-11,   -1.49929e-21 
         -0.165,    -6.2033e-11,   -1.05065e-21 
          -0.16,   -7.79576e-11,   -2.23955e-22 
         -0.155,   -9.79474e-11,   -1.12253e-21 
          -0.15,   -1.23016e-10,   -6.18038e-22 
         -0.145,   -1.54421e-10,    2.08005e-22 
          -0.14,   -1.93719e-10,    -6.5248e-23 
         -0.135,   -2.42832e-10,    4.05213e-22 
          -0.13,   -3.04126e-10,    -2.4943e-22 
         -0.125,   -3.80509e-10,   -9.17745e-23 
          -0.12,   -4.75537e-10,   -4.79982e-22 
         -0.115,   -5.93548e-10,   -6.09964e-22 
          -0.11,    -7.3981e-10,   -2.46552e-22 
         -0.105,   -9.20693e-10,    1.73535e-22 
           -0.1,   -1.14386e-09,   -7.99889e-22 
         -0.095,   -1.41848e-09,    3.23915e-23 
          -0.09,   -1.75546e-09,    1.05877e-21 
         -0.085,   -2.16768e-09,   -5.47723e-22 
          -0.08,   -2.67021e-09,   -1.50615e-22 
         -0.075,   -3.28057e-09,    2.82002e-22 
          -0.07,   -4.01888e-09,    5.56203e-22 
         -0.065,   -4.90797e-09,    2.28123e-22 
          -0.06,   -5.97341e-09,   -1.57911e-22 
         -0.055,    -7.2433e-09,   -1.75368e-23 
          -0.05,   -8.74792e-09,   -5.38136e-22 
         -0.045,    -1.0519e-08,    7.56349e-24 
          -0.04,   -1.25887e-08,    2.67061e-22 
         -0.035,   -1.49879e-08,    2.94942e-23 
          -0.03,    -1.7744e-08,    1.51261e-22 
         -0.025,   -2.08779e-08,   -8.18303e-22 
          -0.02,   -2.44001e-08,   -3.48781e-23 
         -0.015,   -2.83057e-08,   -6.36113e-22 
          -0.01,   -3.25681e-08,    4.12167e-22 
         -0.005,   -3.71315e-08,    4.83693e-22 
              0,   -4.19017e-08,   -1.77723e-22 
          0.005,    -4.6735e-08,    2.03936e-22 
           0.01,   -5.14254e-08,    3.82732e-22 
          0.015,   -5.56898e-08,   -6.21095e-22 
           0.02,   -5.91505e-08,   -5.92799e-22 
          0.025,   -6.13157e-08,   -7.13633e-22 
           0.03,   -6.15562e-08,   -2.43769e-23 
          0.035,     -5.908e-08,     3.9999e-22 
           0.04,   -5.29023e-08,    3.48188e-22 
          0.045,   -4.18132e-08,    5.19917e-23 
           0.05,   -2.43391e-08,   -1.67062e-23 
          0.055,    1.29785e-09,    9.53486e-22 
           0.06,    3.72259e-08,    1.29964e-22 
          0.065,    8.59725e-08,    3.12124e-22 
           0.07,    1.50516e-07,   -1.31065e-22 
          0.075,    2.34336e-07,   -1.37966e-22 
           0.08,    3.41465e-07,    1.72866e-22 
          0.085,    4.76524e-07,   -8.53232e-23 
           0.09,    6.44757e-07,    2.30652e-22 
          0.095,    8.52032e-07,   -2.31088e-22 
            0.1,    1.10482e-06,    4.70068e-22 
          0.105,    1.41014e-06,     8.2599e-22 
           0.11,    1.77541e-06,    3.30862e-22 
          0.115,    2.20833e-06,   -8.60265e-22 
           0.12,    2.71655e-06,    1.50394e-23 
          0.125,    3.30737e-06,    4.41849e-22 
           0.13,    3.98732e-06,    -7.8485e-22 
          0.135,    4.76163e-06,    2.44478e-22 
           0.14,    5.63363e-06,   -1.14037e-21 
          0.145,    6.60412e-06,    3.85691e-22 
           0.15,    7.67071e-06,   -6.79208e-22 
          0.155,    8.82717e-06,    1.22333e-21 
           0.16,    1.00629e-05,   -1.03541e-21 
          0.165,    1.13626e-05,   -5.03862e-22 
           0.17,    1.27059e-05,   -7.35205e-22 
          0.175,    1.40676e-05,    5.57119e-22 
           0.18,    1.54185e-05,    1.14327e-22 
          0.185,    1.67255e-05,    1.86399e-22 
