      z,       a_n0_Re,       a_n0_Im
             -1   -1.99815e-07    2.85637e-23 
         -0.995    -2.5089e-07   -7.33666e-23 
          -0.99   -3.14478e-07     2.2915e-23 
         -0.985   -3.93444e-07    1.18054e-22 
          -0.98   -4.91232e-07    7.73412e-23 
         -0.975   -6.11959e-07   -1.63854e-22 
          -0.97   -7.60513e-07   -8.22047e-23 
         -0.965   -9.42644e-07    6.41907e-23 
          -0.96   -1.16506e-06   -2.16765e-22 
         -0.955   -1.43551e-06   -2.49964e-22 
          -0.95   -1.76283e-06    -1.6915e-22 
         -0.945   -2.15695e-06   -3.63223e-22 
          -0.94   -2.62888e-06   -6.18935e-22 
         -0.935   -3.19057e-06    1.31719e-23 
          -0.93   -3.85472e-06   -6.77751e-22 
         -0.925   -4.63446e-06    1.75666e-22 
          -0.92   -5.54285e-06    7.75903e-23 
         -0.915   -6.59232e-06   -3.43937e-22 
          -0.91   -7.79385e-06    4.64091e-22 
         -0.905   -9.15609e-06    5.45105e-22 
           -0.9   -1.06843e-05    4.87634e-22 
         -0.895   -1.23791e-05   -4.61499e-22 
          -0.89   -1.42356e-05    9.93754e-23 
         -0.885   -1.62421e-05   -8.53819e-23 
          -0.88    -1.8379e-05     3.1494e-22 
         -0.875   -2.06187e-05     7.1175e-23 
          -0.87    -2.2925e-05    5.06849e-22 
         -0.865   -2.52535e-05   -4.52905e-22 
          -0.86   -2.75527e-05    1.05886e-21 
         -0.855   -2.97655e-05   -1.51248e-23 
          -0.85   -3.18317e-05    1.26321e-22 
         -0.845   -3.36904e-05   -1.05859e-22 
          -0.84   -3.52834e-05      4.629e-23 
         -0.835   -3.65583e-05    -1.1945e-22 
          -0.83   -3.74721e-05    1.67562e-22 
         -0.825   -3.79932e-05    8.15355e-23 
          -0.82   -3.81041e-05    5.58744e-23 
         -0.815   -3.78021e-05    2.29942e-22 
          -0.81   -3.70993e-05    9.92775e-24 
         -0.805   -3.60222e-05   -1.75437e-23 
           -0.8   -3.46095e-05    1.58904e-22 
         -0.795   -3.29096e-05      -3.65e-22 
          -0.79   -3.09779e-05   -7.21617e-22 
         -0.785    -2.8873e-05   -1.73722e-22 
          -0.78   -2.66544e-05    5.63053e-22 
         -0.775   -2.43791e-05    -1.8132e-22 
          -0.77   -2.20994e-05   -2.07914e-22 
         -0.765   -1.98614e-05    4.00295e-22 
          -0.76   -1.77036e-05    5.41713e-22 
         -0.755   -1.56568e-05   -4.09573e-22 
          -0.75   -1.37434e-05   -2.97477e-22 
         -0.745   -1.19786e-05    3.25656e-22 
          -0.74   -1.03707e-05    4.82267e-22 
         -0.735   -8.92201e-06   -6.45885e-22 
          -0.73   -7.63028e-06    4.28717e-22 
         -0.725   -6.48936e-06   -4.15545e-22 
          -0.72   -5.49042e-06   -2.42262e-22 
         -0.715   -4.62279e-06   -1.34936e-22 
          -0.71   -3.87478e-06   -2.62392e-22 
         -0.705   -3.23424e-06   -4.78343e-22 
           -0.7   -2.68915e-06     5.9943e-22 
         -0.695   -2.22794e-06   -1.34302e-22 
          -0.69   -1.83973e-06    2.24723e-22 
         -0.685   -1.51454e-06   -4.23483e-23 
          -0.68   -1.24333e-06   -4.34333e-23 
         -0.675   -1.01805e-06   -1.51656e-23 
          -0.67   -8.31617e-07   -1.73191e-22 
         -0.665   -6.77846e-07     3.5522e-23 
          -0.66   -5.51407e-07   -4.04609e-23 
         -0.655   -4.47737e-07    2.90657e-22 
          -0.65   -3.62953e-07   -1.69808e-22 
         -0.645   -2.93778e-07   -1.60232e-22 
          -0.64   -2.37459e-07   -3.11345e-22 
         -0.635   -1.91697e-07   -2.11515e-23 
          -0.63   -1.54579e-07   -2.41149e-22 
         -0.625   -1.24519e-07    4.75865e-22 
          -0.62   -1.00211e-07   -8.67808e-23 
         -0.615   -8.05808e-08     1.9633e-22 
          -0.61   -6.47459e-08   -1.16589e-22 
         -0.605   -5.19864e-08    2.11712e-22 
           -0.6   -4.17147e-08   -4.98744e-22 
         -0.595   -3.34529e-08   -6.97254e-23 
          -0.59   -2.68129e-08    8.18559e-23 
         -0.585   -2.14801e-08   -3.38722e-22 
          -0.58      -1.72e-08   -2.42858e-22 
         -0.575   -1.37668e-08   -2.18841e-23 
          -0.57   -1.10143e-08    9.84799e-23 
         -0.565   -8.80886e-09    2.97365e-22 
          -0.56   -7.04243e-09    1.07824e-22 
         -0.555   -5.62827e-09   -2.53897e-22 
          -0.55   -4.49659e-09    -2.3595e-22 
         -0.545   -3.59128e-09   -2.66775e-22 
          -0.54   -2.86732e-09   -1.04652e-22 
         -0.535   -2.28855e-09   -1.26026e-22 
          -0.53     -1.826e-09   -7.82251e-23 
         -0.525   -1.45641e-09   -7.19572e-23 
          -0.52   -1.16118e-09     2.2477e-22 
         -0.515   -9.25389e-10   -1.73763e-22 
          -0.51   -7.37113e-10    1.43027e-22 
         -0.505   -5.86801e-10    3.56696e-23 
           -0.5   -4.66817e-10    1.30665e-22 
         -0.495   -3.71056e-10    3.34271e-22 
          -0.49   -2.94639e-10    2.75174e-22 
         -0.485   -2.33665e-10   -1.82754e-23 
          -0.48    -1.8502e-10   -2.09902e-23 
         -0.475   -1.46215e-10    2.77234e-22 
          -0.47   -1.15264e-10    1.34659e-22 
         -0.465   -9.05798e-11    1.62451e-23 
          -0.46    -7.0896e-11    6.16418e-24 
         -0.455   -5.52015e-11    -1.2394e-22 
          -0.45   -4.26895e-11   -3.89381e-23 
         -0.445   -3.27159e-11    3.28445e-22 
          -0.44   -2.47669e-11   -2.63142e-23 
         -0.435   -1.84326e-11    1.80729e-22 
          -0.43   -1.33859e-11    7.85023e-24 
         -0.425   -9.36603e-12    -2.1799e-22 
          -0.42   -6.16479e-12    4.69959e-22 
         -0.415   -3.61628e-12    -4.6721e-22 
          -0.41   -1.58815e-12   -1.17512e-22 
         -0.405    2.51231e-14   -2.31395e-22 
           -0.4    1.30768e-12    3.14331e-22 
         -0.395    2.32661e-12   -1.56964e-22 
          -0.39     3.1354e-12     2.1787e-22 
         -0.385    3.77667e-12    1.59959e-22 
          -0.38    4.28443e-12   -2.35441e-22 
         -0.375    4.68577e-12   -6.65092e-24 
          -0.37    5.00228e-12    2.02313e-22 
         -0.365    5.25119e-12    9.27054e-22 
          -0.36    5.44621e-12    1.22793e-22 
         -0.355    5.59829e-12   -2.91034e-22 
          -0.35    5.71615e-12    1.07965e-21 
         -0.345    5.80676e-12   -5.58974e-22 
          -0.34    5.87567e-12    7.31037e-23 
         -0.335    5.92732e-12    3.79566e-22 
          -0.33    5.96526e-12   -5.04985e-22 
         -0.325    5.99233e-12   -5.30151e-22 
          -0.32    6.01084e-12   -4.28906e-22 
         -0.315    6.02263e-12    7.73243e-22 
          -0.31    6.02921e-12   -1.99694e-22 
         -0.305    6.03183e-12    7.28085e-22 
           -0.3    6.03155e-12    4.85151e-22 
         -0.295    6.02926e-12    9.88345e-22 
          -0.29    6.02579e-12   -3.79551e-22 
         -0.285    6.02187e-12   -4.25233e-22 
          -0.28    6.01826e-12   -3.18356e-22 
         -0.275    6.01571e-12   -2.01518e-22 
          -0.27    6.01506e-12    1.12371e-21 
         -0.265    6.01726e-12   -2.26971e-22 
          -0.26     6.0234e-12    3.69061e-22 
         -0.255    6.03481e-12   -1.47713e-22 
          -0.25    6.05312e-12    5.12555e-22 
         -0.245    6.08033e-12   -1.02988e-22 
          -0.24    6.11895e-12   -1.73804e-23 
         -0.235    6.17211e-12    1.98252e-22 
          -0.23    6.24376e-12    2.92768e-23 
         -0.225    6.33886e-12   -7.20173e-23 
          -0.22    6.46369e-12   -1.26752e-23 
         -0.215    6.62614e-12    2.17327e-22 
          -0.21     6.8362e-12    5.66485e-22 
         -0.205    7.10647e-12   -6.02624e-22 
           -0.2    7.45289e-12   -2.21666e-23 
         -0.195    7.89554e-12    3.52713e-22 
          -0.19    8.45983e-12   -8.41547e-22 
         -0.185    9.17779e-12   -2.39315e-22 
          -0.18    1.00899e-11   -5.42407e-22 
         -0.175    1.12472e-11    1.72354e-22 
          -0.17    1.27142e-11   -1.36027e-21 
         -0.165     1.4572e-11    1.20623e-24 
          -0.16    1.69234e-11    1.15861e-21 
         -0.155    1.98975e-11   -8.01505e-22 
          -0.15    2.36574e-11    1.63686e-21 
         -0.145    2.84086e-11   -4.01176e-22 
          -0.14      3.441e-11   -4.11309e-22 
         -0.135     4.1988e-11   -6.92725e-22 
          -0.13    5.15536e-11    1.41541e-22 
         -0.125    6.36245e-11   -1.10313e-21 
          -0.12    7.88522e-11   -1.29829e-22 
         -0.115    9.80573e-11     7.3667e-22 
          -0.11    1.22272e-10   -9.30579e-22 
         -0.105    1.52795e-10    3.63752e-22 
           -0.1     1.9126e-10     2.6848e-22 
         -0.095    2.39721e-10    1.14291e-22 
          -0.09    3.00758e-10   -7.09792e-22 
         -0.085    3.77615e-10    4.33781e-22 
          -0.08    4.74363e-10   -1.74123e-22 
         -0.075    5.96112e-10    7.85092e-22 
          -0.07    7.49275e-10   -5.85472e-22 
         -0.065    9.41889e-10   -9.71591e-25 
          -0.06    1.18403e-09    2.95891e-22 
         -0.055     1.4883e-09   -3.72376e-22 
          -0.05     1.8705e-09   -1.80556e-22 
         -0.045    2.35036e-09   -4.33233e-22 
          -0.04    2.95254e-09    4.74499e-22 
         -0.035    3.70785e-09   -6.12653e-22 
          -0.03    4.65471e-09   -6.23791e-23 
         -0.025    5.84099e-09   -1.36401e-22 
          -0.02    7.32634e-09     2.3819e-22 
         -0.015    9.18489e-09    -1.8629e-22 
          -0.01    1.15088e-08   -2.10543e-22 
         -0.005    1.44122e-08    2.16259e-22 
              0    1.80367e-08    -3.0439e-22 
          0.005    2.25572e-08    4.71774e-23 
           0.01    2.81896e-08   -1.49529e-22 
          0.015    3.51995e-08    2.75269e-22 
           0.02    4.39133e-08    3.38958e-22 
          0.025    5.47307e-08    8.05122e-23 
           0.03    6.81397e-08    2.92402e-22 
          0.035    8.47342e-08   -1.69559e-23 
           0.04    1.05234e-07     5.7408e-22 
          0.045     1.3051e-07   -1.95337e-22 
           0.05    1.61607e-07   -3.35606e-22 
          0.055    1.99776e-07    3.77647e-22 
           0.06    2.46506e-07    2.08006e-22 
          0.065    3.03557e-07   -4.53524e-23 
           0.07    3.72995e-07    1.64659e-23 
          0.075    4.57231e-07    2.35855e-22 
           0.08    5.59046e-07    3.15292e-22 
          0.085    6.81624e-07     4.0323e-22 
           0.09    8.28564e-07    -2.1482e-22 
          0.095    1.00388e-06    4.50236e-22 
            0.1    1.21199e-06    9.57938e-23 
          0.105    1.45764e-06    -5.1536e-23 
           0.11    1.74585e-06    9.61184e-22 
          0.115    2.08176e-06   -1.49638e-22 
           0.12    2.47047e-06    9.98692e-22 
          0.125    2.91675e-06    9.53774e-22 
           0.13    3.42482e-06    2.16984e-22 
          0.135    3.99789e-06    -7.0513e-22 
           0.14    4.63783e-06    -3.5848e-22 
          0.145    5.34471e-06   -8.97338e-22 
           0.15    6.11633e-06    2.23985e-22 
          0.155    6.94778e-06   -7.52687e-23 
           0.16     7.8311e-06    1.68533e-22 
          0.165    8.75504e-06    3.82481e-23 
           0.17    9.70491e-06   -5.32049e-22 
          0.175    1.06627e-05    1.17105e-22 
           0.18    1.16076e-05    1.22093e-21 
          0.185    1.25162e-05   -8.55132e-23 
           0.19    1.33638e-05    6.82558e-22 
          0.195    1.41254e-05   -8.37052e-23 
            0.2    1.47767e-05    3.87463e-22 
          0.205    1.52958e-05   -1.27945e-22 
           0.21    1.56643e-05    4.94058e-22 
          0.215    1.58686e-05   -1.08987e-22 
           0.22    1.59007e-05    5.91079e-23 
          0.225     1.5759e-05    1.44975e-22 
           0.23     1.5448e-05   -2.16619e-22 
          0.235    1.49785e-05   -3.09235e-22 
           0.24    1.43667e-05   -1.89311e-22 
          0.245    1.36331e-05    6.95496e-22 
           0.25    1.28013e-05   -1.32412e-21 
          0.255    1.18968e-05    1.13593e-21 
           0.26    1.09453e-05    4.49184e-23 
          0.265    9.97144e-06   -1.20761e-21 
           0.27     8.9982e-06   -1.06849e-21 
          0.275    8.04561e-06   -2.37506e-21 
           0.28    7.13042e-06   -1.00851e-21 
          0.285    6.26583e-06    8.00697e-22 
           0.29    5.46146e-06   -2.29945e-22 
          0.295    4.72355e-06    9.95979e-22 
            0.3    4.05532e-06   -9.39293e-24 
          0.305    3.45737e-06   -7.64557e-23 
           0.31    2.92817e-06    8.03701e-22 
          0.315    2.46458e-06    5.55322e-22 
           0.32    2.06229e-06   -2.94497e-22 
          0.325    1.71622e-06    1.03779e-21 
           0.33    1.42092e-06    1.14629e-22 
          0.335    1.17082e-06   -3.71562e-22 
           0.34    9.60448e-07    1.20418e-22 
          0.345    7.84618e-07   -4.11954e-22 
           0.35    6.38516e-07   -3.83119e-22 
          0.355    5.17769e-07    3.07381e-22 
           0.36     4.1847e-07    1.86593e-22 
          0.365    3.37182e-07    -1.0692e-22 
           0.37    2.70916e-07   -2.47036e-22 
          0.375    2.17105e-07    2.03884e-22 
           0.38    1.73562e-07   -3.47318e-23 
          0.385    1.38443e-07    4.06989e-22 
           0.39    1.10203e-07    3.56184e-22 
          0.395    8.75582e-08     4.2918e-23 
            0.4     6.9445e-08    5.91189e-23 
          0.405    5.49907e-08    3.91939e-22 
           0.41    4.34808e-08   -4.39947e-23 
          0.415    3.43335e-08   -1.05785e-22 
           0.42    2.70768e-08   -2.05579e-22 
          0.425    2.13295e-08   -8.13508e-22 
           0.43    1.67845e-08     3.2149e-22 
          0.435    1.31951e-08     2.7835e-23 
           0.44    1.03641e-08    3.49315e-22 
          0.445    8.13384e-09   -1.10096e-22 
           0.45    6.37865e-09     1.4321e-22 
          0.455    4.99872e-09     -3.563e-22 
           0.46    3.91481e-09    5.63468e-23 
          0.465    3.06416e-09    1.65661e-22 
           0.47     2.3971e-09    1.68212e-22 
          0.475    1.87441e-09    1.02196e-22 
           0.48    1.46513e-09   -1.97737e-22 
          0.485    1.14488e-09   -4.39784e-22 
           0.49    8.94457e-10   -4.93633e-23 
          0.495    6.98758e-10    1.12084e-22 
            0.5    5.45917e-10    1.31158e-22 
          0.505    4.26616e-10    1.10796e-22 
           0.51    3.33546e-10     -7.356e-23 
          0.515    2.60979e-10   -6.54368e-23 
           0.52    2.04426e-10   -1.51706e-23 
          0.525    1.60375e-10    -4.2887e-23 
           0.53    1.26078e-10   -1.09286e-22 
          0.535    9.93873e-11   -8.36303e-23 
           0.54    7.86247e-11   -7.74051e-23 
          0.545    6.24803e-11    1.05679e-22 
           0.55    4.99318e-11    8.43963e-23 
          0.555    4.01821e-11    9.04577e-23 
           0.56    3.26095e-11   -1.51733e-22 
          0.565    2.67299e-11   -1.36112e-22 
           0.57    2.21661e-11   -2.54988e-23 
          0.575    1.86246e-11   -3.17091e-23 
           0.58    1.58769e-11    3.55386e-22 
          0.585    1.37454e-11   -1.24568e-23 
           0.59    1.20918e-11    -1.6167e-22 
          0.595    1.08089e-11     -1.364e-22 
            0.6    9.81317e-12   -9.51441e-23 
          0.605    9.03992e-12    1.79858e-22 
           0.61    8.43885e-12   -1.16565e-22 
          0.615    7.97096e-12     1.9135e-22 
           0.62      7.606e-12   -1.61471e-22 
          0.625     7.3205e-12   -2.94421e-22 
           0.63     7.0963e-12   -1.90447e-23 
          0.635    6.91931e-12    4.49508e-23 
           0.64    6.77864e-12   -3.81612e-22 
          0.645    6.66584e-12   -1.16721e-22 
           0.65    6.57439e-12   -2.99375e-22 
          0.655    6.49923e-12    1.87145e-22 
           0.66    6.43646e-12   -1.82153e-22 
          0.665    6.38306e-12   -4.35102e-22 
           0.67     6.3367e-12    1.44738e-22 
          0.675    6.29556e-12    1.00316e-22 
           0.68    6.25825e-12   -3.62298e-23 
          0.685    6.22367e-12    -4.2951e-23 
           0.69    6.19099e-12    1.71028e-22 
          0.695    6.15953e-12    -2.5705e-22 
            0.7    6.12877e-12   -2.92763e-22 
          0.705    6.09828e-12    -2.7203e-22 
           0.71     6.0677e-12    -3.4928e-22 
          0.715    6.03674e-12    2.28253e-22 
           0.72    6.00512e-12   -4.96412e-22 
          0.725    5.97257e-12    4.11447e-22 
           0.73    5.93885e-12    8.75062e-23 
          0.735    5.90365e-12    2.75396e-22 
           0.74    5.86668e-12    5.79339e-22 
          0.745    5.82756e-12    3.88869e-22 
           0.75    5.78585e-12    1.29254e-22 
          0.755    5.74104e-12   -7.84435e-22 
           0.76    5.69246e-12    -6.9814e-23 
          0.765    5.63932e-12    3.48489e-22 
           0.77    5.58063e-12   -6.59911e-23 
          0.775    5.51514e-12    -1.7473e-22 
           0.78    5.44133e-12    6.10072e-22 
          0.785    5.35728e-12    2.60213e-22 
           0.79    5.26061e-12    5.02462e-22 
          0.795    5.14835e-12    6.26498e-23 
            0.8    5.01679e-12    1.37394e-22 
          0.805    4.86132e-12   -2.09986e-22 
