      z,       b_n0_Re,       b_n0_Im
             -1,    -1.5298e-06,     2.0128e-22 
         -0.995,   -1.82249e-06,    3.22262e-23 
          -0.99,   -2.16798e-06,    2.78895e-22 
         -0.985,   -2.57486e-06,    6.04323e-23 
          -0.98,   -3.05284e-06,   -8.88196e-23 
         -0.975,   -3.61283e-06,    7.97854e-22 
          -0.97,   -4.26699e-06,   -1.16665e-21 
         -0.965,   -5.02872e-06,   -7.62323e-22 
          -0.96,   -5.91268e-06,   -1.29203e-21 
         -0.955,    -6.9347e-06,    7.87906e-22 
          -0.95,   -8.11159e-06,   -4.23366e-22 
         -0.945,   -9.46092e-06,   -2.82451e-22 
          -0.94,   -1.10007e-05,   -1.04524e-21 
         -0.935,   -1.27488e-05,   -2.38727e-22 
          -0.93,   -1.47225e-05,    8.49126e-22 
         -0.925,   -1.69377e-05,    9.64308e-22 
          -0.92,   -1.94079e-05,     1.5675e-22 
         -0.915,   -2.21433e-05,    1.18392e-22 
          -0.91,   -2.51494e-05,   -5.88776e-22 
         -0.905,   -2.84264e-05,   -8.70245e-22 
           -0.9,    -3.1967e-05,    9.48434e-22 
         -0.895,   -3.57562e-05,   -1.82572e-21 
          -0.89,   -3.97693e-05,   -1.39091e-21 
         -0.885,   -4.39719e-05,    5.01192e-23 
          -0.88,   -4.83189e-05,    3.34702e-21 
         -0.875,   -5.27545e-05,    4.10835e-22 
          -0.87,   -5.72129e-05,   -4.62275e-22 
         -0.865,   -6.16195e-05,    -1.0697e-21 
          -0.86,   -6.58924e-05,    7.93674e-23 
         -0.855,   -6.99449e-05,   -7.88114e-23 
          -0.85,    -7.3689e-05,   -2.20761e-23 
         -0.845,   -7.70379e-05,   -1.55164e-22 
          -0.84,   -7.99104e-05,   -8.23258e-23 
         -0.835,   -8.22344e-05,     2.2425e-23 
          -0.83,   -8.39503e-05,   -5.80488e-22 
         -0.825,   -8.50137e-05,   -6.86056e-23 
          -0.82,    -8.5398e-05,    2.55777e-22 
         -0.815,   -8.50956e-05,     3.8044e-22 
          -0.81,   -8.41179e-05,    -6.5247e-23 
         -0.805,   -8.24948e-05,    1.50046e-22 
           -0.8,   -8.02732e-05,   -1.98365e-21 
         -0.795,    -7.7514e-05,   -2.58436e-22 
          -0.79,   -7.42894e-05,    4.58349e-22 
         -0.785,   -7.06793e-05,   -7.75256e-22 
          -0.78,   -6.67678e-05,   -7.72272e-22 
         -0.775,   -6.26397e-05,    6.47753e-22 
          -0.77,   -5.83776e-05,    9.81149e-22 
         -0.765,   -5.40588e-05,    1.29303e-21 
          -0.76,   -4.97539e-05,   -1.25691e-21 
         -0.755,   -4.55247e-05,   -6.17597e-22 
          -0.75,   -4.14234e-05,    5.45046e-22 
         -0.745,   -3.74927e-05,   -1.72992e-22 
          -0.74,   -3.37653e-05,   -1.26095e-21 
         -0.735,   -3.02651e-05,    6.30458e-22 
          -0.73,   -2.70072e-05,   -7.00158e-22 
         -0.725,   -2.39994e-05,    5.44786e-22 
          -0.72,   -2.12432e-05,    1.00526e-21 
         -0.715,   -1.87349e-05,    2.34028e-22 
          -0.71,   -1.64664e-05,    1.08758e-21 
         -0.705,   -1.44267e-05,    1.07693e-21 
           -0.7,   -1.26025e-05,    7.55124e-23 
         -0.695,   -1.09788e-05,   -1.30974e-21 
          -0.69,   -9.54019e-06,   -5.53822e-22 
         -0.685,   -8.27068e-06,    5.88592e-22 
          -0.68,   -7.15463e-06,    4.96138e-22 
         -0.675,   -6.17686e-06,   -3.41504e-22 
          -0.67,   -5.32293e-06,    1.86256e-22 
         -0.665,   -4.57932e-06,   -4.09499e-22 
          -0.66,   -3.93348e-06,    1.09722e-21 
         -0.655,    -3.3739e-06,    4.33523e-22 
          -0.65,   -2.89015e-06,   -3.77937e-22 
         -0.645,   -2.47279e-06,    5.93208e-23 
          -0.64,   -2.11337e-06,    1.02763e-22 
         -0.635,   -1.80438e-06,    3.50658e-23 
          -0.63,   -1.53915e-06,    2.38962e-22 
         -0.625,    -1.3118e-06,    6.64837e-22 
          -0.62,   -1.11717e-06,    6.63369e-22 
         -0.615,   -9.50743e-07,   -3.00594e-22 
          -0.61,   -8.08591e-07,   -7.27545e-23 
         -0.605,   -6.87289e-07,   -2.72059e-23 
           -0.6,   -5.83869e-07,      3.752e-22 
         -0.595,   -4.95766e-07,    2.09974e-22 
          -0.59,   -4.20768e-07,    3.35749e-22 
         -0.585,   -3.56966e-07,     1.0442e-21 
          -0.58,   -3.02724e-07,    9.19768e-22 
         -0.575,   -2.56634e-07,    2.05315e-23 
          -0.57,    -2.1749e-07,   -1.30248e-23 
         -0.565,   -1.84262e-07,    1.78923e-22 
          -0.56,   -1.56068e-07,    1.42098e-22 
         -0.555,   -1.32153e-07,   -5.70188e-22 
          -0.55,   -1.11877e-07,   -4.47493e-22 
         -0.545,   -9.46907e-08,    8.02084e-22 
          -0.54,   -8.01281e-08,    5.52353e-22 
         -0.535,   -6.77923e-08,   -6.72952e-22 
          -0.53,   -5.73453e-08,    7.92343e-23 
         -0.525,   -4.85003e-08,    -2.9536e-22 
          -0.52,   -4.10131e-08,    1.15729e-22 
         -0.515,   -3.46768e-08,     1.7547e-23 
          -0.51,   -2.93154e-08,   -5.11571e-22 
         -0.505,   -2.47798e-08,    6.80526e-22 
           -0.5,   -2.09434e-08,    7.47161e-23 
         -0.495,   -1.76989e-08,   -3.78685e-22 
          -0.49,   -1.49555e-08,    7.45061e-22 
         -0.485,    -1.2636e-08,    1.62596e-22 
