      z,       b_n0_Re,       b_n0_Im
             -1,   -9.65731e-13,    2.04516e-28 
         -0.995,   -9.24678e-13,    3.90583e-27 
          -0.99,   -8.80757e-13,    4.23022e-27 
         -0.985,   -8.33768e-13,    -3.6166e-27 
          -0.98,   -7.83518e-13,   -1.31065e-27 
         -0.975,   -7.29819e-13,    3.85704e-27 
          -0.97,    -6.7249e-13,    5.37683e-28 
         -0.965,   -6.11359e-13,    1.64685e-27 
          -0.96,   -5.46262e-13,   -4.09474e-27 
         -0.955,   -4.77041e-13,   -2.48965e-27 
          -0.95,   -4.03549e-13,    6.02264e-27 
         -0.945,   -3.25646e-13,   -2.49954e-27 
          -0.94,   -2.43199e-13,   -5.78603e-28 
         -0.935,   -1.56085e-13,   -5.91879e-27 
          -0.93,   -6.41864e-14,    2.20553e-27 
         -0.925,    3.26086e-14,      3.853e-27 
          -0.92,    1.34404e-13,   -3.63989e-27 
         -0.915,    2.41299e-13,   -6.10685e-28 
          -0.91,    3.53386e-13,    2.22165e-27 
         -0.905,    4.70756e-13,    5.22754e-27 
           -0.9,    5.93492e-13,   -2.42938e-27 
         -0.895,    7.21676e-13,   -4.99407e-27 
          -0.89,    8.55384e-13,   -8.51354e-28 
         -0.885,    9.94692e-13,    1.77393e-28 
          -0.88,    1.13967e-12,   -3.06883e-28 
         -0.875,    1.29039e-12,    1.66176e-28 
          -0.87,    1.44691e-12,   -1.30174e-27 
         -0.865,    1.60931e-12,   -3.74351e-27 
          -0.86,    1.77764e-12,   -3.18001e-27 
         -0.855,    1.95197e-12,   -1.89719e-27 
          -0.85,    2.13236e-12,    3.03996e-27 
         -0.845,    2.31886e-12,   -9.82013e-28 
          -0.84,    2.51154e-12,   -6.01752e-27 
         -0.835,    2.71046e-12,   -4.78443e-27 
          -0.83,    2.91567e-12,    3.47311e-27 
         -0.825,    3.12724e-12,    2.62698e-27 
          -0.82,    3.34521e-12,    3.39275e-27 
         -0.815,    3.56966e-12,    5.61137e-27 
          -0.81,    3.80064e-12,    1.80021e-27 
         -0.805,    4.03821e-12,   -2.09942e-27 
           -0.8,    4.28245e-12,   -5.55925e-27 
         -0.795,     4.5334e-12,   -3.13121e-28 
          -0.79,    4.79115e-12,    2.99296e-27 
         -0.785,    5.05575e-12,    1.32601e-27 
          -0.78,    5.32729e-12,    2.28794e-27 
         -0.775,    5.60584e-12,   -6.59111e-27 
          -0.77,    5.89147e-12,   -3.06471e-27 
         -0.765,    6.18429e-12,   -3.88483e-27 
          -0.76,    6.48436e-12,   -4.52928e-27 
         -0.755,     6.7918e-12,   -2.45472e-27 
          -0.75,     7.1067e-12,    2.82469e-27 
         -0.745,    7.42916e-12,    7.49697e-28 
          -0.74,    7.75931e-12,   -3.58514e-27 
         -0.735,    8.09726e-12,    -1.1021e-27 
          -0.73,    8.44315e-12,   -2.19431e-27 
         -0.725,    8.79712e-12,    2.21459e-27 
          -0.72,    9.15932e-12,   -1.75707e-27 
         -0.715,     9.5299e-12,    1.24575e-27 
          -0.71,    9.90906e-12,   -4.53434e-28 
         -0.705,     1.0297e-11,    6.51906e-27 
           -0.7,    1.06938e-11,    1.38117e-27 
         -0.695,    1.10999e-11,    -3.5774e-27 
          -0.69,    1.15154e-11,    2.74032e-27 
         -0.685,    1.19406e-11,    1.08548e-27 
          -0.68,    1.23757e-11,   -3.17378e-27 
         -0.675,    1.28211e-11,    -6.2845e-27 
          -0.67,    1.32771e-11,    3.04162e-27 
         -0.665,    1.37442e-11,    1.60704e-27 
          -0.66,    1.42226e-11,    2.02913e-27 
         -0.655,    1.47128e-11,   -7.39166e-27 
          -0.65,    1.52154e-11,    2.18535e-27 
         -0.645,    1.57308e-11,    5.84394e-27 
          -0.64,    1.62596e-11,   -3.28956e-27 
         -0.635,    1.68025e-11,    3.81811e-27 
          -0.63,    1.73602e-11,    4.00487e-27 
         -0.625,    1.79334e-11,   -2.79206e-27 
          -0.62,    1.85231e-11,    4.08857e-28 
         -0.615,    1.91301e-11,    4.09331e-27 
          -0.61,    1.97556e-11,    5.95274e-28 
         -0.605,    2.04006e-11,     3.9076e-27 
           -0.6,    2.10664e-11,    -7.8963e-28 
         -0.595,    2.17545e-11,    7.64374e-28 
          -0.59,    2.24664e-11,    5.03455e-27 
         -0.585,    2.32037e-11,   -4.83795e-27 
          -0.58,    2.39684e-11,   -5.42031e-27 
         -0.575,    2.47626e-11,   -5.93096e-28 
          -0.57,    2.55883e-11,    4.58206e-27 
         -0.565,    2.64482e-11,   -2.92518e-27 
          -0.56,    2.73449e-11,   -3.36366e-27 
         -0.555,    2.82814e-11,     4.0888e-27 
          -0.55,    2.92609e-11,    4.88643e-28 
         -0.545,    3.02869e-11,    1.41066e-27 
          -0.54,    3.13631e-11,   -1.82411e-27 
         -0.535,    3.24938e-11,    3.80988e-27 
          -0.53,    3.36832e-11,    2.72076e-27 
         -0.525,    3.49361e-11,    4.90013e-27 
          -0.52,    3.62577e-11,    8.69874e-27 
         -0.515,    3.76535e-11,   -4.58118e-27 
          -0.51,    3.91291e-11,    5.93105e-27 
         -0.505,    4.06909e-11,   -7.03449e-27 
           -0.5,    4.23452e-11,   -2.62248e-28 
         -0.495,    4.40991e-11,    4.77152e-27 
          -0.49,    4.59595e-11,    -3.8871e-27 
         -0.485,    4.79341e-11,    2.54169e-27 
          -0.48,    5.00305e-11,    6.49247e-27 
         -0.475,    5.22566e-11,    6.07383e-27 
          -0.47,    5.46206e-11,   -2.25273e-27 
         -0.465,    5.71308e-11,    3.99939e-27 
          -0.46,    5.97953e-11,   -5.74186e-28 
         -0.455,    6.26224e-11,    6.91672e-28 
          -0.45,    6.56202e-11,    -7.0995e-27 
         -0.445,    6.87965e-11,    1.18331e-27 
          -0.44,     7.2159e-11,    2.59308e-27 
         -0.435,    7.57147e-11,   -3.17588e-27 
          -0.43,    7.94699e-11,    4.33025e-27 
         -0.425,    8.34307e-11,    3.22816e-27 
          -0.42,    8.76017e-11,    1.05243e-27 
         -0.415,     9.1987e-11,    6.88801e-27 
          -0.41,    9.65893e-11,     4.5919e-27 
         -0.405,     1.0141e-10,    4.07865e-27 
           -0.4,    1.06449e-10,    8.74992e-28 
         -0.395,    1.11706e-10,    3.82696e-27 
          -0.39,    1.17176e-10,    5.85667e-27 
         -0.385,    1.22856e-10,     9.5363e-27 
          -0.38,    1.28738e-10,    6.09344e-28 
         -0.375,    1.34814e-10,    -1.3327e-27 
          -0.37,    1.41073e-10,   -8.87264e-27 
         -0.365,    1.47502e-10,    6.55701e-27 
          -0.36,    1.54088e-10,   -3.11632e-27 
         -0.355,    1.60814e-10,     2.2479e-27 
          -0.35,    1.67661e-10,    1.25396e-27 
         -0.345,     1.7461e-10,   -9.94209e-27 
          -0.34,     1.8164e-10,    7.77797e-27 
         -0.335,    1.88728e-10,   -3.94023e-27 
          -0.33,    1.95848e-10,   -2.43643e-27 
         -0.325,    2.02978e-10,    1.64243e-27 
          -0.32,    2.10091e-10,    1.02256e-26 
         -0.315,    2.17161e-10,   -4.77468e-27 
          -0.31,    2.24162e-10,    2.69406e-27 
         -0.305,    2.31068e-10,    4.31836e-27 
           -0.3,    2.37853e-10,   -2.91865e-27 
         -0.295,    2.44492e-10,   -1.39504e-27 
          -0.29,    2.50962e-10,    3.12186e-27 
         -0.285,    2.57241e-10,    6.73636e-27 
          -0.28,    2.63307e-10,    -4.9435e-28 
         -0.275,    2.69141e-10,     3.0426e-27 
          -0.27,    2.74726e-10,   -4.60173e-27 
         -0.265,    2.80048e-10,    5.17187e-28 
          -0.26,    2.85093e-10,    7.92062e-27 
         -0.255,    2.89851e-10,   -1.36848e-27 
          -0.25,    2.94315e-10,   -5.03775e-27 
         -0.245,    2.98479e-10,   -1.02544e-26 
          -0.24,     3.0234e-10,    6.32164e-27 
         -0.235,    3.05898e-10,    9.09857e-28 
          -0.23,    3.09154e-10,    -3.5532e-27 
         -0.225,    3.12113e-10,   -5.67348e-28 
          -0.22,     3.1478e-10,    1.70964e-27 
         -0.215,    3.17164e-10,    4.36294e-27 
          -0.21,    3.19274e-10,   -2.63975e-27 
         -0.205,    3.21121e-10,   -2.25133e-27 
           -0.2,    3.22718e-10,    2.97514e-27 
         -0.195,    3.24077e-10,   -1.06867e-27 
          -0.19,    3.25213e-10,   -9.68968e-28 
         -0.185,    3.26141e-10,    2.68536e-27 
          -0.18,    3.26876e-10,   -4.41336e-27 
         -0.175,    3.27434e-10,    3.93704e-27 
          -0.17,     3.2783e-10,   -2.06114e-27 
         -0.165,     3.2808e-10,   -4.54833e-28 
          -0.16,    3.28198e-10,   -5.30384e-27 
         -0.155,      3.282e-10,    2.34055e-27 
          -0.15,    3.28099e-10,   -9.17736e-28 
         -0.145,     3.2791e-10,    5.50547e-27 
          -0.14,    3.27644e-10,    1.92082e-27 
         -0.135,    3.27315e-10,    8.02787e-28 
          -0.13,    3.26934e-10,    1.88308e-28 
         -0.125,     3.2651e-10,    1.45808e-27 
          -0.12,    3.26054e-10,    3.94428e-28 
         -0.115,    3.25574e-10,   -3.95015e-28 
          -0.11,    3.25079e-10,   -3.52103e-28 
         -0.105,    3.24575e-10,    8.70972e-28 
           -0.1,    3.24069e-10,    1.25234e-27 
         -0.095,    3.23566e-10,    6.48427e-28 
          -0.09,    3.23071e-10,    1.51334e-27 
         -0.085,    3.22589e-10,   -4.91337e-28 
          -0.08,    3.22123e-10,   -2.13792e-27 
         -0.075,    3.21676e-10,    1.43441e-27 
          -0.07,    3.21251e-10,   -6.53141e-28 
         -0.065,     3.2085e-10,   -7.61709e-28 
          -0.06,    3.20475e-10,   -2.89705e-28 
         -0.055,    3.20126e-10,   -1.44832e-27 
          -0.05,    3.19806e-10,    6.42005e-28 
         -0.045,    3.19515e-10,    -1.3435e-28 
          -0.04,    3.19254e-10,    8.71228e-28 
         -0.035,    3.19023e-10,   -1.00474e-27 
          -0.03,    3.18822e-10,    5.50772e-28 
         -0.025,    3.18652e-10,    6.19506e-29 
          -0.02,    3.18513e-10,   -2.19688e-28 
         -0.015,    3.18404e-10,    9.41391e-29 
          -0.01,    3.18327e-10,    1.76692e-28 
         -0.005,     3.1828e-10,     9.8823e-29 
              0,    3.18265e-10,     -7.751e-35 
          0.005,     3.1828e-10,    3.40627e-29 
           0.01,    3.18327e-10,   -1.76692e-28 
          0.015,    3.18404e-10,    6.39452e-29 
           0.02,    3.18513e-10,    2.19688e-28 
          0.025,    3.18652e-10,    3.80024e-28 
           0.03,    3.18822e-10,   -5.50772e-28 
          0.035,    3.19023e-10,   -2.74447e-28 
           0.04,    3.19254e-10,   -8.71227e-28 
          0.045,    3.19515e-10,     1.3435e-28 
           0.05,    3.19806e-10,    4.50966e-28 
          0.055,    3.20126e-10,    1.44832e-27 
           0.06,    3.20475e-10,    4.18022e-28 
          0.065,     3.2085e-10,     7.6171e-28 
           0.07,    3.21251e-10,   -7.82968e-28 
          0.075,    3.21676e-10,   -1.43441e-27 
           0.08,    3.22123e-10,    -2.8319e-28 
          0.085,    3.22589e-10,    4.91337e-28 
           0.09,    3.23071e-10,   -1.04069e-27 
          0.095,    3.23566e-10,   -6.48427e-28 
            0.1,    3.24069e-10,   -4.41547e-28 
          0.105,    3.24575e-10,   -8.70972e-28 
           0.11,    3.25079e-10,   -9.70801e-28 
          0.115,    3.25574e-10,    3.95015e-28 
           0.12,    3.26054e-10,   -1.03914e-27 
          0.125,     3.2651e-10,   -1.45808e-27 
           0.13,    3.26934e-10,     5.1963e-28 
          0.135,    3.27315e-10,   -8.02787e-28 
           0.14,    3.27644e-10,    5.31137e-27 
          0.145,     3.2791e-10,   -5.50547e-27 
           0.15,    3.28099e-10,   -5.34205e-27 
          0.155,      3.282e-10,   -2.34055e-27 
           0.16,    3.28198e-10,   -3.18402e-28 
          0.165,     3.2808e-10,    4.54833e-28 
           0.17,     3.2783e-10,    2.06114e-27 
          0.175,    3.27434e-10,   -2.96107e-27 
           0.18,    3.26876e-10,    4.41336e-27 
          0.185,    3.26141e-10,   -2.76848e-27 
           0.19,    3.25213e-10,    9.68969e-28 
          0.195,    3.24077e-10,    3.92378e-27 
            0.2,    3.22718e-10,   -2.97514e-27 
          0.205,    3.21121e-10,    2.01856e-27 
           0.21,    3.19274e-10,    2.63975e-27 
          0.215,    3.17164e-10,     4.8914e-27 
           0.22,     3.1478e-10,   -1.70964e-27 
          0.225,    3.12113e-10,    3.29483e-27 
           0.23,    3.09154e-10,     3.5532e-27 
          0.235,    3.05898e-10,    1.00993e-27 
           0.24,     3.0234e-10,   -6.32164e-27 
          0.245,    2.98479e-10,    1.19864e-27 
           0.25,    2.94315e-10,    5.03775e-27 
          0.255,    2.89851e-10,    7.20412e-27 
           0.26,    2.85093e-10,   -7.92062e-27 
          0.265,    2.80048e-10,    -6.9046e-27 
           0.27,    2.74726e-10,    4.60173e-27 
          0.275,    2.69141e-10,    6.26791e-27 
           0.28,    2.63307e-10,     4.9435e-28 
          0.285,    2.57241e-10,    -8.9621e-28 
           0.29,    2.50962e-10,   -3.12186e-27 
          0.295,    2.44492e-10,   -2.74383e-27 
            0.3,    2.37853e-10,   -9.98782e-28 
          0.305,    2.31068e-10,   -4.31836e-27 
           0.31,    2.24162e-10,   -1.26643e-26 
          0.315,    2.17161e-10,    4.77468e-27 
           0.32,    2.10091e-10,    -7.4492e-27 
          0.325,    2.02978e-10,   -1.64243e-27 
           0.33,    1.95848e-10,   -5.15624e-27 
