      z,       a_n0_Re,       a_n0_Im
             -1   -7.07503e-08   -1.07956e-22 
         -0.995   -9.08925e-08    3.29109e-23 
          -0.99   -1.16738e-07   -4.09455e-23 
         -0.985   -1.49781e-07   -5.45671e-23 
          -0.98   -1.91871e-07    5.90168e-23 
         -0.975   -2.45289e-07    9.05682e-23 
          -0.97   -3.12822e-07   -1.60397e-22 
         -0.965   -3.97852e-07   -8.12881e-23 
          -0.96   -5.04446e-07   -1.04043e-23 
         -0.955   -6.37443e-07   -1.65289e-22 
          -0.95   -8.02538e-07   -2.98327e-22 
         -0.945   -1.00635e-06   -1.65169e-22 
          -0.94   -1.25643e-06   -1.04287e-22 
         -0.935   -1.56131e-06    2.47568e-22 
          -0.93   -1.93035e-06     1.1948e-22 
         -0.925   -2.37363e-06    1.96735e-23 
          -0.92   -2.90164e-06   -1.54431e-22 
         -0.915   -3.52491e-06     2.3895e-22 
          -0.91   -4.25346e-06    5.75942e-22 
         -0.905    -5.0961e-06    1.26937e-22 
           -0.9    -6.0596e-06    1.09284e-22 
         -0.895   -7.14776e-06   -2.46385e-22 
          -0.89   -8.36038e-06    2.53961e-22 
         -0.885   -9.69224e-06    3.56019e-23 
          -0.88   -1.11322e-05    3.78564e-22 
         -0.875   -1.26625e-05    4.32205e-22 
          -0.87   -1.42582e-05    2.54558e-22 
         -0.865   -1.58876e-05   -4.41869e-23 
          -0.86   -1.75124e-05   -6.03678e-23 
         -0.855   -1.90892e-05    1.55616e-22 
          -0.85   -2.05712e-05   -2.23174e-22 
         -0.845   -2.19104e-05    1.61534e-22 
          -0.84   -2.30605e-05    2.58663e-22 
         -0.835   -2.39794e-05    2.47325e-22 
          -0.83   -2.46324e-05    5.68386e-23 
         -0.825   -2.49944e-05   -3.16505e-24 
          -0.82   -2.50515e-05    1.13895e-23 
         -0.815   -2.48025e-05   -1.01516e-22 
          -0.81   -2.42583e-05    5.93757e-23 
         -0.805   -2.34414e-05    4.19901e-22 
           -0.8   -2.23843e-05    3.67147e-22 
         -0.795   -2.11268e-05     2.1779e-22 
          -0.79   -1.97138e-05   -1.21485e-22 
         -0.785    -1.8192e-05   -6.33148e-24 
          -0.78   -1.66078e-05    2.85433e-23 
         -0.775   -1.50043e-05    5.61818e-22 
          -0.77   -1.34204e-05    4.97619e-22 
         -0.765   -1.18889e-05    6.93754e-23 
          -0.76   -1.04358e-05    9.54392e-23 
         -0.755    -9.0806e-06    4.64235e-22 
          -0.75   -7.83633e-06    4.73175e-22 
         -0.745   -6.71006e-06   -2.83923e-22 
