      z,       a_n0_Re,       a_n0_Im
             -1   -1.78595e-08   -3.39477e-23 
         -0.995   -2.44064e-08   -1.40225e-23 
          -0.99   -3.32441e-08    6.48807e-23 
         -0.985   -4.51433e-08    6.69023e-23 
          -0.98   -6.11151e-08   -1.37907e-23 
         -0.975   -8.24762e-08       2.34e-23 
          -0.97   -1.10931e-07    1.17709e-23 
         -0.965   -1.48666e-07   -5.35459e-23 
          -0.96   -1.98467e-07   -4.99856e-23 
         -0.955   -2.63844e-07    3.55381e-23 
          -0.95   -3.49174e-07    2.27548e-22 
         -0.945    -4.5985e-07    5.28152e-23 
          -0.94   -6.02418e-07    4.25522e-23 
         -0.935   -7.84704e-07   -1.60645e-22 
          -0.93   -1.01589e-06   -6.84798e-23 
         -0.925    -1.3065e-06    4.16991e-23 
          -0.92   -1.66834e-06    4.52454e-23 
         -0.915    -2.1142e-06    3.20266e-23 
          -0.91   -2.65741e-06   -3.80385e-23 
         -0.905   -3.31125e-06    1.27007e-22 
           -0.9   -4.08794e-06   -1.92645e-23 
         -0.895   -4.99755e-06   -1.64787e-22 
          -0.89   -6.04664e-06   -4.20893e-22 
         -0.885   -7.23671e-06   -3.71049e-23 
          -0.88   -8.56268e-06   -4.33426e-22 
         -0.875   -1.00115e-05   -2.87326e-22 
          -0.87   -1.15611e-05    2.86599e-23 
         -0.865   -1.31797e-05   -2.26002e-22 
          -0.86   -1.48263e-05     4.5595e-23 
         -0.855   -1.64516e-05   -1.08757e-23 
          -0.85       -1.8e-05   -7.71494e-23 
         -0.845    -1.9413e-05   -2.36018e-22 
          -0.84   -2.06323e-05    1.11362e-22 
         -0.835   -2.16048e-05     1.3285e-22 
          -0.83   -2.22857e-05   -1.03061e-22 
         -0.825   -2.26433e-05   -4.99555e-23 
          -0.82   -2.26608e-05   -5.63472e-23 
         -0.815    -2.2338e-05   -1.44764e-23 
          -0.81   -2.16916e-05   -2.31885e-22 
         -0.805   -2.07531e-05    2.81601e-23 
           -0.8   -1.95665e-05   -1.49088e-22 
         -0.795   -1.81843e-05    2.80211e-23 
          -0.79   -1.66637e-05   -1.09624e-22 
         -0.785   -1.50623e-05   -2.86613e-22 
          -0.78   -1.34348e-05    1.69012e-22 
         -0.775   -1.18298e-05    -2.9481e-22 
          -0.77    -1.0288e-05     -3.363e-22 
         -0.765   -8.84087e-06    2.45329e-22 
          -0.76    -7.5109e-06    4.24695e-22 
         -0.755   -6.31167e-06    4.23836e-22 
          -0.75   -5.24903e-06   -1.15158e-22 
         -0.745    -4.3224e-06   -2.03097e-22 
          -0.74   -3.52621e-06   -2.19927e-22 
         -0.735   -2.85137e-06   -2.30644e-22 
          -0.73   -2.28652e-06    7.93974e-23 
         -0.725   -1.81918e-06   -1.01895e-22 
          -0.72   -1.43662e-06   -1.81795e-22 
         -0.715   -1.12651e-06   -4.82515e-24 
          -0.71   -8.77401e-07     2.3222e-22 
         -0.705   -6.78932e-07    2.66523e-22 
           -0.7   -5.22004e-07    -2.1535e-23 
         -0.695   -3.98782e-07    3.11466e-22 
          -0.69    -3.0264e-07    8.89345e-23 
         -0.685   -2.28064e-07    6.48449e-23 
          -0.68   -1.70524e-07   -1.79396e-22 
         -0.675   -1.26346e-07    1.60448e-22 
          -0.67   -9.25786e-08    7.58287e-23 
         -0.665   -6.68751e-08    3.56092e-22 
          -0.66   -4.73825e-08   -3.73022e-23 
         -0.655     -3.265e-08    1.13622e-22 
          -0.65   -2.15488e-08    1.25766e-23 
         -0.645   -1.32062e-08    9.91983e-23 
          -0.64   -6.95122e-09     6.7428e-23 
         -0.635   -2.27066e-09    5.51993e-23 
          -0.63    1.22614e-09     5.9932e-23 
         -0.625    3.83524e-09   -1.55365e-22 
          -0.62     5.7802e-09    7.97496e-23 
         -0.615    7.22919e-09   -2.72414e-23 
          -0.61    8.30838e-09   -5.57514e-23 
         -0.605    9.11214e-09    1.10966e-22 
           -0.6    9.71096e-09    5.83026e-23 
         -0.595    1.01574e-08    2.57174e-22 
          -0.59    1.04905e-08   -5.62921e-23 
         -0.585    1.07393e-08    5.66819e-23 
          -0.58    1.09255e-08   -1.16584e-23 
         -0.575    1.10651e-08    6.22967e-23 
          -0.57      1.117e-08   -2.29504e-23 
         -0.565    1.12489e-08    3.03263e-23 
          -0.56    1.13084e-08    8.47654e-23 
         -0.555    1.13532e-08    8.72398e-23 
          -0.55    1.13871e-08    7.51605e-23 
         -0.545    1.14125e-08   -6.21784e-23 
          -0.54    1.14315e-08   -6.61283e-23 
         -0.535    1.14453e-08   -5.38192e-23 
          -0.53    1.14552e-08    7.16728e-23 
         -0.525    1.14619e-08    1.16604e-24 
          -0.52    1.14659e-08    4.07251e-23 
         -0.515    1.14676e-08   -7.42416e-23 
          -0.51    1.14675e-08   -3.04964e-23 
         -0.505    1.14656e-08     1.6039e-22 
