      z,       b_n0_Re,       b_n0_Im
             -1,   -1.69203e-07,   -1.33407e-22 
         -0.995,   -2.19355e-07,   -1.16226e-22 
          -0.99,   -2.83375e-07,    1.98458e-22 
         -0.985,   -3.64907e-07,    5.10437e-22 
          -0.98,   -4.68462e-07,    4.12528e-24 
         -0.975,   -5.99593e-07,   -7.74998e-23 
          -0.97,   -7.65087e-07,   -3.10467e-22 
         -0.965,   -9.73177e-07,    3.27973e-22 
          -0.96,   -1.23376e-06,   -3.36225e-22 
         -0.955,   -1.55862e-06,    2.70456e-22 
          -0.95,   -1.96163e-06,   -1.93403e-22 
         -0.945,   -2.45888e-06,    4.50858e-23 
          -0.94,   -3.06881e-06,   -5.68477e-22 
         -0.935,   -3.81213e-06,    6.66859e-23 
          -0.93,   -4.71168e-06,    5.96768e-22 
         -0.925,   -5.79196e-06,    4.83586e-22 
          -0.92,   -7.07856e-06,    2.62023e-22 
         -0.915,   -8.59709e-06,   -9.15932e-22 
          -0.91,   -1.03719e-05,    -3.5311e-22 
         -0.905,   -1.24245e-05,   -9.58976e-22 
           -0.9,   -1.47714e-05,   -2.29644e-22 
         -0.895,   -1.74217e-05,    1.25685e-21 
          -0.89,   -2.03748e-05,   -4.75557e-22 
         -0.885,   -2.36182e-05,    5.62553e-22 
          -0.88,   -2.71244e-05,   -5.50558e-22 
         -0.875,   -3.08503e-05,    1.54039e-22 
          -0.87,   -3.47351e-05,   -8.66712e-22 
         -0.865,   -3.87014e-05,    6.07582e-22 
          -0.86,   -4.26559e-05,   -7.70721e-23 
         -0.855,    -4.6493e-05,   -5.53029e-22 
          -0.85,   -5.00985e-05,   -1.05083e-21 
         -0.845,   -5.33555e-05,   -4.07487e-22 
          -0.84,   -5.61509e-05,    1.54187e-23 
         -0.835,   -5.83827e-05,    2.38465e-22 
          -0.83,   -5.99662e-05,   -8.03777e-23 
         -0.825,   -6.08401e-05,   -7.25724e-23 
          -0.82,   -6.09711e-05,   -1.97056e-22 
         -0.815,   -6.03558e-05,    4.60662e-23 
          -0.81,   -5.90212e-05,   -7.10715e-22 
         -0.805,   -5.70222e-05,    6.54706e-22 
           -0.8,    -5.4438e-05,   -8.68093e-22 
         -0.795,   -5.13659e-05,   -1.21027e-21 
          -0.79,    -4.7915e-05,    3.76194e-22 
         -0.785,   -4.41995e-05,    4.13902e-22 
          -0.78,   -4.03322e-05,   -9.39896e-22 
         -0.775,   -3.64186e-05,    1.35213e-22 
          -0.77,   -3.25532e-05,   -1.31216e-22 
         -0.765,   -2.88157e-05,    2.53942e-22 
          -0.76,     -2.527e-05,   -7.52363e-23 
         -0.755,   -2.19633e-05,   -1.27011e-21 
          -0.75,   -1.89274e-05,    2.09698e-21 
         -0.745,   -1.61794e-05,    6.82914e-22 
          -0.74,   -1.37243e-05,   -4.97629e-24 
         -0.735,   -1.15572e-05,    3.62041e-22 
          -0.73,   -9.66531e-06,   -1.53921e-22 
         -0.725,   -8.03044e-06,    4.07269e-22 
          -0.72,   -6.63085e-06,    6.16668e-22 
         -0.715,   -5.44299e-06,   -1.80465e-22 
          -0.71,   -4.44279e-06,    3.04089e-22 
         -0.705,   -3.60672e-06,    4.26314e-22 
           -0.7,    -2.9125e-06,   -1.13573e-22 
         -0.695,   -2.33958e-06,   -6.58484e-23 
          -0.69,   -1.86941e-06,   -1.01238e-21 
         -0.685,   -1.48554e-06,   -9.27338e-23 
          -0.68,    -1.1736e-06,    4.91553e-22 
         -0.675,   -9.21199e-07,   -1.93016e-22 
          -0.67,   -7.17768e-07,    2.94545e-22 
         -0.665,   -5.54394e-07,    1.13185e-22 
          -0.66,   -4.23619e-07,   -1.77393e-22 
         -0.655,   -3.19248e-07,   -1.46807e-23 
          -0.65,   -2.36175e-07,   -1.19568e-22 
         -0.645,   -1.70214e-07,   -2.44379e-22 
          -0.64,   -1.17955e-07,   -3.98866e-22 
         -0.635,   -7.66312e-08,   -3.24468e-22 
          -0.63,   -4.40108e-08,    4.79776e-23 
         -0.625,   -1.82989e-08,    6.85203e-23 
          -0.62,    1.94142e-09,    1.14623e-22 
         -0.615,    1.78574e-08,   -7.07385e-23 
          -0.61,    3.03617e-08,   -8.46385e-23 
         -0.605,    4.01786e-08,    1.14925e-22 
           -0.6,    4.78813e-08,   -6.01725e-22 
         -0.595,    5.39225e-08,    3.37205e-23 
          -0.59,    5.86594e-08,   -2.80642e-23 
         -0.585,    6.23728e-08,    2.47499e-22 
          -0.58,    6.52835e-08,    2.81433e-22 
         -0.575,    6.75649e-08,    4.59759e-23 
          -0.57,     6.9353e-08,   -9.65905e-23 
         -0.565,    7.07541e-08,   -1.70218e-22 
          -0.56,    7.18517e-08,    3.37992e-22 
         -0.555,    7.27109e-08,   -4.19198e-22 
          -0.55,    7.33827e-08,   -5.59153e-23 
         -0.545,    7.39069e-08,   -1.04348e-22 
          -0.54,    7.43146e-08,    3.24663e-23 
         -0.535,      7.463e-08,   -2.02437e-22 
          -0.53,     7.4872e-08,    2.64542e-22 
         -0.525,    7.50554e-08,    3.69046e-22 
          -0.52,    7.51916e-08,    2.90488e-23 
         -0.515,    7.52897e-08,    5.75213e-23 
          -0.51,    7.53567e-08,   -3.96596e-22 
         -0.505,    7.53979e-08,    4.16609e-22 
           -0.5,    7.54177e-08,     -2.081e-22 
         -0.495,    7.54194e-08,    1.46609e-22 
          -0.49,    7.54056e-08,    2.19163e-22 
         -0.485,    7.53784e-08,   -3.70714e-22 
          -0.48,    7.53394e-08,    1.67872e-22 
         -0.475,    7.52899e-08,    2.99071e-23 
          -0.47,    7.52309e-08,    1.35537e-23 
         -0.465,    7.51633e-08,    4.84059e-23 
          -0.46,    7.50877e-08,    6.03467e-23 
         -0.455,    7.50047e-08,   -8.58082e-23 
          -0.45,    7.49147e-08,    4.60255e-22 
