      z,       a_n0_Re,       a_n0_Im
             -1    2.21909e-05    6.13813e-23 
         -0.995    2.35088e-05   -4.83513e-22 
          -0.99    2.48917e-05   -2.40478e-22 
         -0.985    2.63409e-05   -3.24687e-22 
          -0.98    2.78578e-05    2.97246e-22 
         -0.975    2.94432e-05   -5.70092e-22 
          -0.97    3.10977e-05   -5.46402e-22 
         -0.965    3.28216e-05    3.28585e-22 
          -0.96    3.46145e-05    4.47126e-22 
         -0.955    3.64756e-05   -7.63971e-22 
          -0.95    3.84037e-05    -9.6607e-22 
         -0.945    4.03966e-05    3.41657e-22 
          -0.94    4.24515e-05    1.89484e-22 
         -0.935    4.45649e-05    4.73565e-23 
          -0.93    4.67324e-05    3.34999e-22 
         -0.925    4.89485e-05   -1.01897e-21 
          -0.92     5.1207e-05   -8.19734e-22 
         -0.915    5.35005e-05   -6.62116e-22 
          -0.91    5.58207e-05   -7.21842e-24 
         -0.905     5.8158e-05   -6.78294e-22 
           -0.9    6.05019e-05   -6.64507e-22 
         -0.895    6.28411e-05   -2.52785e-22 
          -0.89    6.51631e-05   -6.94644e-22 
         -0.885    6.74547e-05    3.02484e-22 
          -0.88    6.97017e-05    4.57744e-22 
         -0.875    7.18898e-05    3.12886e-22 
          -0.87    7.40039e-05   -5.10939e-22 
         -0.865    7.60289e-05   -3.66778e-22 
          -0.86    7.79497e-05   -6.05099e-22 
         -0.855    7.97515e-05   -2.27714e-22 
          -0.85    8.14201e-05    5.89751e-22 
         -0.845     8.2942e-05    3.23045e-22 
          -0.84     8.4305e-05    2.85026e-22 
         -0.835    8.54979e-05    2.85999e-22 
          -0.83    8.65113e-05   -3.55069e-22 
         -0.825    8.73374e-05   -2.54427e-22 
          -0.82    8.79704e-05    3.30765e-22 
         -0.815    8.84065e-05     -1.793e-22 
          -0.81    8.86437e-05    3.03412e-22 
         -0.805    8.86825e-05     2.0083e-22 
           -0.8     8.8525e-05    3.30612e-22 
         -0.795    8.81754e-05   -7.66712e-22 
          -0.79    8.76398e-05   -6.65128e-22 
         -0.785    8.69259e-05    5.64865e-23 
          -0.78    8.60426e-05   -1.59401e-22 
         -0.775    8.50005e-05   -2.40325e-22 
          -0.77    8.38107e-05    2.36945e-22 
         -0.765    8.24855e-05   -2.13416e-22 
          -0.76    8.10374e-05    -4.0094e-22 
         -0.755    7.94793e-05     1.3883e-21 
          -0.75    7.78244e-05    7.09243e-22 
         -0.745    7.60856e-05   -7.46228e-22 
          -0.74    7.42756e-05   -5.75473e-22 
         -0.735    7.24067e-05   -1.31379e-21 
          -0.73    7.04908e-05    1.28515e-21 
         -0.725     6.8539e-05    1.10727e-22 
          -0.72    6.65618e-05    -2.0379e-22 
