      z,       b_n0_Re,       b_n0_Im
             -1,   -4.95464e-08,     8.7574e-23 
         -0.995,   -6.66803e-08,    2.72179e-22 
          -0.99,   -8.93881e-08,     4.6708e-23 
         -0.985,   -1.19497e-07,      1.972e-22 
          -0.98,    -1.5941e-07,    1.01145e-22 
         -0.975,   -2.12266e-07,   -1.17861e-22 
          -0.97,   -2.82145e-07,    2.85647e-23 
         -0.965,   -3.74303e-07,     1.3484e-22 
          -0.96,   -4.95451e-07,   -9.00539e-23 
         -0.955,   -6.54076e-07,    -2.0819e-22 
          -0.95,   -8.60781e-07,   -2.75023e-22 
         -0.945,   -1.12865e-06,   -6.22471e-23 
          -0.94,   -1.47358e-06,   -8.24894e-22 
         -0.935,   -1.91459e-06,    1.51394e-22 
          -0.93,   -2.47401e-06,   -1.96366e-22 
         -0.925,   -3.17746e-06,     5.3223e-22 
          -0.92,   -4.05362e-06,    1.96885e-22 
         -0.915,   -5.13359e-06,    2.72194e-22 
          -0.91,   -6.44986e-06,    4.08638e-22 
         -0.905,   -8.03464e-06,    1.53695e-22 
           -0.9,   -9.91769e-06,    6.63177e-22 
         -0.895,   -1.21235e-05,   -2.44868e-22 
          -0.89,    -1.4668e-05,   -9.81507e-22 
         -0.885,    -1.7555e-05,    9.43399e-22 
          -0.88,    -2.0772e-05,   -2.45322e-22 
         -0.875,   -2.42874e-05,    -2.1665e-22 
          -0.87,   -2.80476e-05,     5.7921e-22 
         -0.865,   -3.19756e-05,   -4.48345e-22 
          -0.86,   -3.59717e-05,    4.73926e-22 
         -0.855,   -3.99162e-05,    2.40589e-22 
          -0.85,   -4.36744e-05,    9.87596e-22 
         -0.845,   -4.71037e-05,    3.43795e-22 
          -0.84,   -5.00632e-05,      2.109e-22 
         -0.835,   -5.24233e-05,    2.20243e-23 
          -0.83,   -5.40759e-05,    5.42626e-23 
         -0.825,   -5.49435e-05,    3.17712e-24 
          -0.82,   -5.49854e-05,    2.85176e-23 
         -0.815,   -5.42014e-05,   -3.61227e-22 
          -0.81,   -5.26316e-05,   -4.94005e-22 
         -0.805,   -5.03529e-05,   -1.18153e-22 
           -0.8,   -4.74716e-05,    -1.8625e-23 
         -0.795,   -4.41156e-05,   -1.21393e-21 
          -0.79,   -4.04236e-05,   -1.29574e-22 
         -0.785,   -3.65355e-05,   -1.09597e-21 
          -0.78,    -3.2584e-05,    7.49791e-22 
         -0.775,    -2.8687e-05,    5.82888e-22 
          -0.77,   -2.49434e-05,    4.72833e-22 
         -0.765,   -2.14298e-05,    9.86238e-25 
          -0.76,   -1.82006e-05,   -1.96768e-22 
         -0.755,   -1.52889e-05,    2.34199e-22 
          -0.75,   -1.27087e-05,    2.32773e-22 
         -0.745,   -1.04588e-05,   -8.81402e-22 
          -0.74,   -8.52558e-06,   -7.77785e-22 
         -0.735,   -6.88696e-06,    9.19727e-22 
          -0.73,    -5.5154e-06,   -6.41415e-22 
         -0.725,   -4.38058e-06,    5.89233e-23 
          -0.72,    -3.4516e-06,   -2.92681e-22 
         -0.715,   -2.69855e-06,   -1.74952e-22 
          -0.71,   -2.09357e-06,    5.00932e-22 
         -0.705,   -1.61156e-06,   -6.44782e-22 
           -0.7,    -1.2304e-06,    -5.4046e-22 
         -0.695,   -9.31088e-07,   -1.67277e-22 
          -0.69,   -6.97523e-07,    6.95632e-23 
         -0.685,   -5.16321e-07,    1.86683e-22 
          -0.68,   -3.76486e-07,    9.09645e-22 
         -0.675,   -2.69096e-07,    4.33402e-22 
          -0.67,   -1.86988e-07,   -1.23616e-22 
         -0.665,   -1.24461e-07,    -1.9721e-23 
          -0.66,   -7.70177e-08,    3.93565e-22 
         -0.655,   -4.11358e-08,   -2.32063e-22 
          -0.65,   -1.40747e-08,   -7.22102e-23 
         -0.645,    6.28445e-09,    2.01021e-22 
          -0.64,    2.15708e-08,    9.43078e-23 
         -0.635,    3.30302e-08,   -1.23667e-22 
          -0.63,    4.16113e-08,   -1.53814e-22 
         -0.625,    4.80328e-08,   -4.67672e-22 
          -0.62,    5.28374e-08,   -3.75402e-22 
         -0.615,    5.64335e-08,   -1.97211e-22 
          -0.61,    5.91274e-08,   -2.99588e-22 
         -0.605,    6.11483e-08,   -1.07829e-22 
           -0.6,    6.26673e-08,    1.29653e-22 
         -0.595,    6.38119e-08,    2.56284e-22 
          -0.59,    6.46771e-08,   -2.96397e-22 
         -0.585,    6.53335e-08,   -1.77373e-22 
          -0.58,    6.58336e-08,   -2.60882e-22 
         -0.575,    6.62162e-08,    2.07415e-23 
          -0.57,    6.65102e-08,    1.85266e-22 
         -0.565,    6.67371e-08,    7.80435e-25 
          -0.56,    6.69127e-08,   -3.82273e-22 
         -0.555,    6.70487e-08,   -2.02231e-22 
          -0.55,    6.71538e-08,    1.24149e-22 
         -0.545,    6.72344e-08,    2.15878e-22 
          -0.54,    6.72952e-08,    7.27396e-23 
         -0.535,    6.73398e-08,    1.89704e-22 
          -0.53,    6.73707e-08,    1.72461e-23 
         -0.525,    6.73899e-08,   -2.14549e-22 
          -0.52,    6.73988e-08,   -4.34937e-22 
         -0.515,    6.73984e-08,    1.86449e-22 
          -0.51,    6.73896e-08,   -2.81533e-22 
         -0.505,     6.7373e-08,   -8.01295e-23 
           -0.5,    6.73491e-08,    2.87626e-22 
         -0.495,    6.73183e-08,    1.82534e-23 
          -0.49,    6.72808e-08,   -1.38168e-22 
         -0.485,    6.72369e-08,    3.40717e-23 
          -0.48,    6.71869e-08,   -2.10132e-22 
         -0.475,     6.7131e-08,   -1.12897e-22 
          -0.47,    6.70692e-08,   -1.62834e-22 
         -0.465,    6.70018e-08,   -1.18757e-22 
          -0.46,    6.69288e-08,   -1.88709e-22 
         -0.455,    6.68505e-08,    9.97545e-23 
          -0.45,     6.6767e-08,     4.6475e-23 
         -0.445,    6.66784e-08,   -5.58579e-22 
          -0.44,    6.65848e-08,    1.81127e-22 
