      z,       a_n0_Re,       a_n0_Im
             -1   -6.84179e-19   -1.37662e-33 
         -0.995   -6.42705e-19    7.46431e-35 
          -0.99   -5.98885e-19    1.77064e-35 
         -0.985   -5.52672e-19    -1.0038e-33 
          -0.98   -5.04017e-19    6.49424e-34 
         -0.975   -4.52872e-19    1.87771e-33 
          -0.97    -3.9919e-19    1.01369e-34 
         -0.965   -3.42921e-19    2.38058e-33 
          -0.96   -2.84016e-19   -2.68292e-33 
         -0.955   -2.22425e-19    2.05109e-33 
          -0.95   -1.58096e-19    4.55154e-34 
         -0.945   -9.09796e-20    3.28955e-34 
          -0.94   -2.10236e-20   -9.03458e-35 
         -0.935    5.18234e-20   -2.32182e-33 
          -0.93    1.27614e-19    1.04611e-33 
         -0.925      2.064e-19    4.86386e-34 
          -0.92    2.88235e-19    3.44364e-34 
         -0.915    3.73174e-19    1.83962e-34 
          -0.91    4.61272e-19    2.41449e-35 
         -0.905    5.52588e-19   -1.89241e-33 
           -0.9    6.47181e-19    4.44254e-34 
         -0.895    7.45113e-19   -1.77979e-33 
          -0.89    8.46449e-19   -8.51309e-34 
         -0.885    9.51258e-19   -1.81203e-33 
          -0.88    1.05961e-18   -1.09657e-33 
         -0.875    1.17159e-18   -1.45297e-33 
          -0.87    1.28727e-18   -3.47851e-33 
         -0.865    1.40674e-18      -1.04e-33 
          -0.86    1.53009e-18   -4.16066e-33 
         -0.855    1.65741e-18   -2.68884e-33 
          -0.85    1.78881e-18   -2.00575e-34 
         -0.845    1.92438e-18     2.4846e-33 
          -0.84    2.06423e-18    2.65341e-33 
         -0.835    2.20847e-18   -1.47745e-33 
          -0.83    2.35718e-18   -6.51133e-34 
         -0.825    2.51046e-18   -7.66593e-34 
          -0.82    2.66841e-18   -2.64728e-33 
         -0.815    2.83108e-18    6.18884e-34 
          -0.81    2.99856e-18   -2.03264e-33 
         -0.805    3.17089e-18    3.18911e-33 
           -0.8    3.34811e-18    1.29382e-33 
         -0.795    3.53027e-18   -3.85661e-35 
          -0.79    3.71738e-18    2.51398e-33 
         -0.785    3.90947e-18    3.50111e-33 
          -0.78    4.10657e-18    1.81445e-34 
         -0.775    4.30869e-18    5.40575e-34 
          -0.77    4.51588e-18   -2.80971e-33 
         -0.765     4.7282e-18   -2.74063e-33 
          -0.76    4.94571e-18    2.62995e-33 
         -0.755    5.16853e-18   -1.42523e-34 
          -0.75    5.39676e-18    2.41558e-33 
         -0.745    5.63058e-18   -3.07478e-33 
          -0.74    5.87017e-18    1.86377e-33 
         -0.735    6.11575e-18    -2.5959e-33 
          -0.73    6.36755e-18    4.07917e-34 
         -0.725    6.62587e-18    6.97275e-34 
          -0.72    6.89099e-18    4.02227e-34 
         -0.715    7.16323e-18    1.76876e-33 
          -0.71    7.44292e-18    1.01638e-33 
         -0.705    7.73041e-18    9.94358e-34 
           -0.7    8.02607e-18    3.10149e-33 
         -0.695    8.33026e-18    2.30165e-33 
          -0.69    8.64336e-18   -8.46883e-34 
         -0.685    8.96576e-18    7.82747e-34 
          -0.68    9.29788e-18    1.37399e-33 
         -0.675    9.64014e-18    2.64672e-33 
          -0.67    9.99299e-18    1.36086e-33 
         -0.665    1.03569e-17   -1.58057e-33 
          -0.66    1.07323e-17    1.12996e-33 
