      z,       a_n0_Re,       a_n0_Im
             -1    3.63595e-19   -6.37694e-34 
         -0.995    3.39787e-19    1.07576e-34 
          -0.99    3.14655e-19   -1.05212e-33 
         -0.985    2.88201e-19    1.37495e-33 
          -0.98    2.60427e-19    2.53414e-34 
         -0.975    2.31337e-19     4.6575e-34 
          -0.97    2.00935e-19   -2.00036e-34 
         -0.965    1.69222e-19   -1.04076e-33 
          -0.96    1.36195e-19    1.08593e-33 
         -0.955    1.01846e-19     8.2024e-35 
          -0.95    6.61586e-20    2.03516e-34 
         -0.945    2.91092e-20    4.82578e-34 
          -0.94    -9.3362e-21   -6.10587e-34 
         -0.935   -4.92215e-20   -3.28456e-34 
          -0.93   -9.06004e-20   -3.90243e-34 
         -0.925   -1.33536e-19   -1.45925e-33 
          -0.92     -1.781e-19    1.39175e-33 
         -0.915    -2.2437e-19    9.93431e-34 
          -0.91    -2.7243e-19    1.18655e-33 
         -0.905   -3.22366e-19    6.64797e-34 
           -0.9   -3.74266e-19    1.40328e-33 
         -0.895   -4.28219e-19    1.59285e-33 
          -0.89   -4.84313e-19     7.0906e-34 
         -0.885   -5.42633e-19    5.53569e-34 
          -0.88   -6.03263e-19   -5.94026e-34 
         -0.875   -6.66286e-19    1.57953e-33 
          -0.87   -7.31783e-19   -2.92052e-34 
         -0.865   -7.99835e-19    2.08888e-35 
          -0.86   -8.70521e-19    7.16244e-34 
         -0.855   -9.43923e-19    5.81995e-34 
          -0.85   -1.02012e-18    3.68793e-34 
         -0.845   -1.09921e-18    8.32389e-34 
          -0.84   -1.18126e-18   -3.07536e-34 
         -0.835   -1.26637e-18   -1.75909e-33 
          -0.83   -1.35462e-18   -7.74974e-35 
         -0.825   -1.44609e-18    6.90141e-34 
          -0.82   -1.54086e-18   -3.03521e-34 
         -0.815     -1.639e-18    3.50424e-34 
          -0.81   -1.74057e-18    1.55931e-33 
         -0.805   -1.84561e-18    5.24188e-34 
           -0.8   -1.95416e-18   -5.19424e-34 
         -0.795   -2.06621e-18    3.28109e-34 
          -0.79   -2.18175e-18   -4.97999e-34 
         -0.785   -2.30072e-18    4.76534e-34 
          -0.78   -2.42305e-18   -1.34849e-33 
         -0.775   -2.54864e-18     1.4856e-35 
          -0.77   -2.67733e-18    9.79091e-34 
         -0.765   -2.80898e-18     5.6567e-34 
          -0.76    -2.9434e-18    5.07281e-34 
         -0.755   -3.08038e-18    3.88357e-34 
          -0.75   -3.21971e-18     3.8942e-34 
         -0.745   -3.36119e-18   -4.62172e-34 
          -0.74   -3.50459e-18   -1.14054e-33 
         -0.735   -3.64975e-18    6.25913e-35 
          -0.73    -3.7965e-18   -1.55353e-33 
         -0.725   -3.94471e-18    6.41447e-34 
          -0.72   -4.09431e-18   -1.39593e-33 
         -0.715   -4.24526e-18    5.19189e-34 
          -0.71   -4.39759e-18    -2.9567e-34 
         -0.705   -4.55138e-18   -1.28072e-33 
           -0.7   -4.70676e-18    1.72909e-34 
         -0.695   -4.86395e-18    -1.9699e-33 
          -0.69   -5.02319e-18   -2.82723e-34 
         -0.685   -5.18479e-18   -4.96553e-34 
          -0.68    -5.3491e-18    -5.6543e-34 
         -0.675   -5.51652e-18    5.45587e-34 
          -0.67   -5.68745e-18     7.7437e-34 
         -0.665   -5.86235e-18    6.12506e-34 
          -0.66   -6.04167e-18    -8.9362e-34 
         -0.655   -6.22587e-18   -6.24405e-34 
