      z,       a_n0_Re,       a_n0_Im
             -1   -6.66552e-09    2.15167e-23 
         -0.995   -9.33543e-09   -2.83705e-23 
          -0.99   -1.30453e-08    8.73865e-24 
         -0.985   -1.81831e-08   -1.15981e-23 
          -0.98   -2.52721e-08   -4.25857e-23 
         -0.975   -3.50135e-08   -5.60275e-23 
          -0.97   -4.83402e-08   -9.73814e-23 
         -0.965   -6.64838e-08   -2.08412e-23 
          -0.96   -9.10558e-08    9.24551e-23 
         -0.955   -1.24145e-07   -4.99338e-23 
          -0.95   -1.68431e-07    5.89305e-23 
         -0.945   -2.27304e-07   -7.18729e-23 
          -0.94   -3.05003e-07   -1.33207e-23 
         -0.935   -4.06738e-07    1.46791e-22 
          -0.93     -5.388e-07    2.90486e-23 
         -0.925    -7.0863e-07    -3.5509e-23 
          -0.92    -9.2481e-07   -1.79369e-22 
         -0.915   -1.19696e-06    2.71045e-23 
          -0.91   -1.53549e-06   -8.19744e-24 
         -0.905   -1.95117e-06   -7.26778e-23 
           -0.9   -2.45448e-06    1.65268e-22 
         -0.895   -3.05476e-06    8.71057e-23 
          -0.89   -3.75911e-06   -2.12577e-23 
         -0.885   -4.57117e-06   -8.58473e-23 
          -0.88   -5.48977e-06     2.9223e-22 
         -0.875   -6.50763e-06   -3.00096e-22 
          -0.87    -7.6103e-06   -4.09413e-23 
         -0.865   -8.77547e-06    -1.5594e-23 
          -0.86   -9.97296e-06    5.05749e-23 
         -0.855   -1.11654e-05   -5.00697e-23 
          -0.85   -1.23096e-05   -1.47547e-23 
         -0.845   -1.33595e-05    2.51767e-23 
          -0.84   -1.42686e-05    1.79423e-22 
         -0.835    -1.4994e-05   -1.43211e-22 
          -0.83   -1.54996e-05   -1.39607e-23 
         -0.825   -1.57597e-05   -2.00376e-23 
          -0.82   -1.57611e-05    -6.0602e-23 
         -0.815   -1.55041e-05     2.4725e-22 
          -0.81    -1.5003e-05    9.34354e-23 
         -0.805   -1.42842e-05    2.04115e-22 
           -0.8   -1.33838e-05    2.18644e-23 
         -0.795   -1.23447e-05    8.31054e-23 
          -0.79   -1.12127e-05    1.11648e-22 
         -0.785   -1.00333e-05   -1.14994e-22 
          -0.78   -8.84834e-06   -5.32465e-23 
         -0.775   -7.69446e-06   -5.26141e-22 
          -0.77   -6.60103e-06    5.76238e-23 
         -0.765   -5.58978e-06   -1.73722e-22 
          -0.76   -4.67487e-06    2.22167e-23 
         -0.755   -3.86357e-06    5.69881e-23 
          -0.75   -3.15724e-06    1.04967e-22 
         -0.745   -2.55265e-06    -2.9073e-22 
          -0.74   -2.04315e-06    2.17492e-23 
         -0.735   -1.61996e-06    5.03584e-23 
          -0.73   -1.27308e-06   -3.40576e-23 
         -0.725   -9.92246e-07    2.31566e-22 
          -0.72   -7.67426e-07   -5.39032e-23 
         -0.715   -5.89314e-07    -2.0296e-23 
          -0.71   -4.49546e-07    1.16286e-23 
         -0.705   -3.40824e-07   -1.27209e-23 
           -0.7   -2.56929e-07   -1.34438e-23 
         -0.695   -1.92668e-07    3.55479e-23 
          -0.69   -1.43777e-07    8.42529e-23 
         -0.685   -1.06811e-07    8.38661e-23 
          -0.68   -7.90218e-08    1.55436e-23 
         -0.675   -5.82408e-08    2.85295e-23 
          -0.67   -4.27761e-08    1.73533e-23 
         -0.665   -3.13192e-08    -2.1833e-23 
          -0.66    -2.2866e-08   -3.59429e-23 
         -0.655   -1.66522e-08   -1.27342e-22 
          -0.65   -1.20998e-08    6.36985e-24 
         -0.645   -8.77433e-09    9.46598e-24 
          -0.64   -6.35146e-09    5.02138e-23 
         -0.635   -4.59013e-09   -4.92372e-23 
          -0.63   -3.31215e-09    1.04428e-22 
         -0.625   -2.38639e-09    6.29266e-24 
          -0.62   -1.71672e-09    2.52559e-23 
         -0.615   -1.23289e-09   -1.17811e-23 
          -0.61   -8.83748e-10    8.48265e-24 
         -0.605   -6.32079e-10    -1.0968e-22 
           -0.6   -4.50883e-10    1.96114e-23 
         -0.595   -3.20586e-10   -1.32518e-23 
          -0.59   -2.27011e-10    3.57063e-23 
         -0.585   -1.59896e-10    4.78641e-23 
          -0.58   -1.11824e-10    3.18466e-24 
         -0.575    -7.7434e-11   -2.20416e-23 
          -0.57   -5.28597e-11    1.17626e-22 
         -0.565   -3.53157e-11    3.61195e-23 
          -0.56   -2.27989e-11     -1.373e-22 
         -0.555   -1.38724e-11     4.2883e-23 
          -0.55   -7.50681e-12    8.82324e-24 
         -0.545   -2.96687e-12   -5.75235e-23 
          -0.54    2.72081e-13    1.40513e-22 
         -0.535    2.58379e-12    1.15666e-23 
          -0.53     4.2343e-12   -1.26147e-22 
         -0.525    5.41298e-12    1.17331e-22 
          -0.52    6.25463e-12    -3.6077e-23 
         -0.515    6.85531e-12    1.90428e-22 
          -0.51    7.28353e-12   -4.94406e-23 
         -0.505    7.58821e-12   -1.16129e-22 
           -0.5    7.80435e-12    7.99806e-23 
         -0.495    7.95696e-12   -1.04508e-22 
          -0.49    8.06396e-12    6.79954e-23 
         -0.485    8.13818e-12   -6.30365e-23 
          -0.48    8.18878e-12   -4.12729e-24 
         -0.475    8.22233e-12    6.51852e-23 
          -0.47    8.24352e-12    1.18296e-22 
         -0.465    8.25571e-12   -3.36241e-23 
          -0.46     8.2613e-12     1.7034e-23 
         -0.455    8.26199e-12   -2.84619e-23 
          -0.45    8.25903e-12   -9.55564e-24 
         -0.445    8.25329e-12   -6.88001e-23 
          -0.44    8.24541e-12   -1.06695e-22 
         -0.435    8.23584e-12   -1.41323e-23 
          -0.43    8.22491e-12    2.27095e-24 
         -0.425    8.21288e-12    5.83461e-23 
          -0.42     8.1999e-12   -4.65953e-23 
         -0.415    8.18612e-12    5.26916e-23 
          -0.41    8.17164e-12    7.55512e-23 
         -0.405    8.15651e-12    1.34199e-22 
           -0.4    8.14082e-12   -1.38592e-22 
         -0.395    8.12459e-12    9.80607e-23 
          -0.39    8.10786e-12    9.56602e-23 
         -0.385    8.09068e-12   -1.77999e-23 
          -0.38    8.07306e-12   -1.94487e-22 
         -0.375    8.05503e-12   -4.70311e-23 
          -0.37    8.03661e-12   -1.67299e-22 
         -0.365    8.01783e-12    -1.1913e-22 
          -0.36     7.9987e-12    5.69328e-24 
         -0.355    7.97925e-12   -9.86146e-23 
          -0.35     7.9595e-12   -9.15317e-23 
         -0.345    7.93946e-12    1.01424e-23 
          -0.34    7.91916e-12   -4.85697e-24 
         -0.335    7.89861e-12   -3.02464e-23 
          -0.33    7.87784e-12    5.61314e-23 
         -0.325    7.85686e-12   -1.78126e-23 
          -0.32     7.8357e-12    2.64004e-22 
         -0.315    7.81436e-12    2.42347e-22 
          -0.31    7.79288e-12   -2.38804e-22 
         -0.305    7.77127e-12   -1.94238e-22 
           -0.3    7.74955e-12    1.07313e-22 
         -0.295    7.72773e-12    2.18747e-22 
          -0.29    7.70585e-12   -6.61629e-23 
         -0.285    7.68391e-12    1.62637e-22 
          -0.28    7.66194e-12    2.96022e-22 
         -0.275    7.63995e-12   -5.48035e-22 
          -0.27    7.61797e-12   -2.30343e-23 
         -0.265    7.59601e-12    6.84445e-22 
          -0.26    7.57409e-12    3.28382e-22 
         -0.255    7.55224e-12    1.24372e-21 
          -0.25    7.53047e-12    3.22478e-22 
         -0.245     7.5088e-12    5.50264e-22 
          -0.24    7.48724e-12   -4.70769e-22 
         -0.235    7.46584e-12    2.05904e-23 
          -0.23    7.44459e-12    1.99514e-22 
         -0.225    7.42354e-12   -4.16095e-23 
          -0.22     7.4027e-12    5.11075e-23 
         -0.215    7.38209e-12    1.03584e-22 
          -0.21    7.36177e-12   -5.26595e-23 
         -0.205    7.34175e-12   -3.27111e-23 
           -0.2     7.3221e-12    3.54063e-22 
         -0.195    7.30286e-12   -3.06478e-22 
          -0.19    7.28411e-12   -3.16194e-22 
         -0.185    7.26593e-12   -1.62605e-22 
          -0.18    7.24845e-12     2.3152e-22 
         -0.175    7.23181e-12    3.26401e-23 
          -0.17    7.21621e-12   -5.06591e-22 
         -0.165     7.2019e-12   -5.08441e-22 
          -0.16    7.18921e-12   -6.85294e-23 
         -0.155    7.17857e-12    2.81896e-22 
          -0.15    7.17053e-12    1.79159e-23 
         -0.145     7.1658e-12    -4.8651e-22 
          -0.14    7.16529e-12    1.51339e-22 
         -0.135    7.17017e-12    4.11816e-22 
          -0.13    7.18191e-12   -4.81656e-22 
         -0.125    7.20243e-12    -2.3521e-22 
          -0.12    7.23414e-12    4.81767e-24 
         -0.115    7.28013e-12    1.86223e-22 
          -0.11    7.34439e-12    -3.2094e-23 
         -0.105    7.43205e-12   -8.56091e-23 
           -0.1    7.54985e-12   -2.38279e-23 
         -0.095    7.70665e-12   -1.11593e-22 
          -0.09    7.91433e-12   -5.44996e-23 
         -0.085    8.18894e-12   -1.85806e-22 
          -0.08    8.55247e-12   -2.91392e-22 
         -0.075    9.03534e-12      7.909e-23 
          -0.07    9.68005e-12   -7.28178e-23 
         -0.065    1.05463e-11    1.37194e-22 
          -0.06    1.17183e-11   -2.03122e-22 
         -0.055    1.33152e-11    -1.7161e-22 
          -0.05    1.55055e-11    7.04422e-23 
         -0.045    1.85272e-11   -2.60322e-22 
          -0.04    2.27164e-11   -6.24377e-23 
         -0.035    2.85458e-11   -7.41791e-23 
          -0.03    3.66788e-11    1.79588e-22 
         -0.025    4.80439e-11   -1.72032e-23 
          -0.02    6.39374e-11   -1.24614e-22 
         -0.015    8.61654e-11    2.94605e-24 
          -0.01    1.17239e-10   -6.81673e-23 
         -0.005    1.60647e-10    4.10494e-23 
              0    2.21228e-10   -4.26425e-23 
          0.005    3.05688e-10   -8.13175e-23 
           0.01    4.23311e-10   -5.64388e-23 
          0.015    5.86937e-10    7.84978e-23 
           0.02    8.14294e-10   -9.59255e-23 
          0.025    1.12981e-09   -1.69573e-23 
           0.03    1.56706e-09     1.6522e-22 
          0.035    2.17206e-09    2.61801e-24 
           0.04    3.00759e-09    4.43989e-24 
          0.045      4.159e-09   -8.88543e-23 
           0.05    5.74174e-09    6.51657e-23 
          0.055    7.91114e-09    9.17223e-23 
           0.06     1.0875e-08   -1.48786e-22 
          0.065    1.49095e-08   -1.06869e-22 
           0.07    2.03796e-08   -1.11283e-22 
          0.075    2.77633e-08    1.85501e-22 
           0.08     3.7683e-08     2.1405e-23 
          0.085    5.09404e-08   -2.52003e-22 
           0.09    6.85595e-08   -1.80912e-22 
          0.095    9.18331e-08   -2.68796e-22 
            0.1    1.22374e-07   -6.84096e-23 
          0.105    1.62163e-07   -7.97831e-24 
           0.11    2.13599e-07    1.92724e-22 
          0.115    2.79527e-07   -9.88642e-23 
           0.12    3.63249e-07   -1.42297e-22 
          0.125      4.685e-07    2.28987e-22 
