      z,       a_n0_Re,       a_n0_Im
             -1   -2.91774e-08   -7.19282e-23 
         -0.995   -3.86984e-08    4.92194e-23 
          -0.99   -5.12216e-08    8.69767e-23 
         -0.985   -6.76446e-08    2.13918e-23 
          -0.98   -8.91125e-08    9.20091e-23 
         -0.975   -1.17075e-07   -1.56516e-23 
          -0.97   -1.53358e-07   -9.78696e-24 
         -0.965   -2.00239e-07    9.67575e-23 
          -0.96   -2.60536e-07   -1.22791e-22 
         -0.955   -3.37704e-07    7.95559e-23 
          -0.95    -4.3593e-07    1.02459e-22 
         -0.945   -5.60222e-07   -1.98053e-22 
          -0.94   -7.16492e-07     -1.702e-22 
         -0.935   -9.11594e-07    5.21893e-23 
          -0.93   -1.15333e-06   -2.21084e-22 
         -0.925   -1.45038e-06   -4.82951e-23 
          -0.92   -1.81213e-06    1.02219e-23 
         -0.915   -2.24841e-06    1.07756e-22 
          -0.91   -2.76906e-06    1.02242e-22 
         -0.905   -3.38335e-06   -2.54592e-22 
           -0.9   -4.09928e-06    1.33609e-23 
         -0.895   -4.92263e-06    6.93687e-23 
          -0.89   -5.85603e-06    1.61324e-22 
         -0.885   -6.89787e-06    2.54628e-22 
          -0.88   -8.04131e-06    5.29668e-22 
         -0.875   -9.27339e-06     1.3093e-23 
          -0.87   -1.05745e-05   -3.16249e-23 
         -0.865   -1.19181e-05    2.07178e-22 
          -0.86   -1.32712e-05   -6.61349e-23 
         -0.855   -1.45954e-05   -1.44253e-22 
          -0.85   -1.58482e-05   -2.37094e-22 
         -0.845   -1.69856e-05   -7.59449e-23 
          -0.84   -1.79643e-05    -7.9813e-23 
         -0.835   -1.87451e-05    8.39261e-23 
          -0.83   -1.92953e-05   -7.55941e-23 
         -0.825   -1.95914e-05    1.09295e-23 
          -0.82   -1.96208e-05    5.45853e-23 
         -0.815   -1.93828e-05    -6.2178e-23 
          -0.81   -1.88889e-05   -8.95344e-24 
         -0.805   -1.81612e-05   -2.48519e-22 
           -0.8   -1.72312e-05    6.44164e-23 
         -0.795   -1.61371e-05   -2.76534e-22 
          -0.79   -1.49211e-05   -7.30987e-23 
         -0.785   -1.36263e-05    2.68533e-22 
          -0.78   -1.22947e-05    3.29479e-23 
         -0.775   -1.09646e-05    2.92649e-22 
          -0.77   -9.66906e-06    1.28141e-22 
         -0.765   -8.43494e-06   -3.92616e-23 
          -0.76   -7.28263e-06     3.5739e-22 
         -0.755     -6.226e-06    2.18922e-22 
          -0.75   -5.27298e-06    2.58108e-22 
         -0.745   -4.42632e-06    4.40279e-23 
          -0.74   -3.68456e-06    -4.4597e-22 
         -0.735   -3.04298e-06     1.6383e-22 
          -0.73   -2.49457e-06    1.14382e-22 
         -0.725   -2.03087e-06   -3.33103e-22 
          -0.72   -1.64272e-06    7.78732e-23 
         -0.715    -1.3208e-06   -2.81437e-22 
          -0.71   -1.05605e-06    2.04576e-22 
         -0.705   -8.40022e-07   -2.40038e-22 
           -0.7   -6.64995e-07   -1.45627e-22 
         -0.695   -5.24116e-07   -4.87038e-23 
          -0.69   -4.11402e-07    2.48973e-22 
         -0.685   -3.21716e-07   -2.47922e-22 
          -0.68   -2.50713e-07     1.0294e-22 
         -0.675    -1.9476e-07     1.2888e-22 
          -0.67   -1.50855e-07   -6.31033e-23 
         -0.665   -1.16536e-07   -2.03157e-23 
          -0.66   -8.98061e-08    1.70215e-22 
         -0.655    -6.9055e-08    6.11885e-24 
          -0.65    -5.2993e-08    4.77463e-23 
         -0.645   -4.05939e-08    1.35715e-22 
          -0.64   -3.10458e-08   -5.11561e-23 
         -0.635    -2.3709e-08    6.29702e-23 
          -0.63   -1.80824e-08   -1.89699e-22 
         -0.625   -1.37748e-08    8.76714e-23 
          -0.62   -1.04821e-08   -8.01128e-23 
         -0.615   -7.96855e-09   -5.26014e-23 
          -0.61   -6.05206e-09    8.68357e-24 
         -0.605   -4.59239e-09   -1.40742e-23 
           -0.6   -3.48174e-09    2.47218e-23 
         -0.595   -2.63739e-09   -1.22813e-22 
          -0.59   -1.99605e-09   -3.69131e-24 
         -0.585   -1.50928e-09   -8.17221e-23 
          -0.58   -1.14011e-09   -3.48321e-23 
         -0.575   -8.60337e-10   -1.25968e-22 
          -0.57   -6.48455e-10    7.51611e-24 
         -0.565   -4.88097e-10   -2.35443e-23 
          -0.56   -3.66807e-10    3.60259e-23 
         -0.555   -2.75118e-10   -3.26153e-23 
          -0.55   -2.05839e-10   -2.79463e-23 
         -0.545   -1.53515e-10    7.12848e-23 
          -0.54   -1.14011e-10   -3.95341e-23 
         -0.535   -8.41942e-11   -4.92355e-23 
          -0.53   -6.16939e-11    1.04295e-22 
         -0.525   -4.47177e-11   -1.83715e-23 
          -0.52   -3.19112e-11    5.00536e-24 
         -0.515   -2.22515e-11     7.1987e-23 
          -0.51   -1.49661e-11   -6.10622e-23 
         -0.505   -9.47232e-12     1.3522e-23 
           -0.5   -5.33021e-12   -4.17046e-23 
         -0.495   -2.20794e-12    7.42134e-23 
          -0.49    1.44856e-13   -1.67616e-23 
         -0.485     1.9171e-12    6.30331e-23 
          -0.48    3.25131e-12   -9.65988e-24 
         -0.475    4.25505e-12    5.42526e-23 
          -0.47    5.00942e-12    3.53957e-23 
         -0.465    5.57564e-12    2.66028e-23 
          -0.46    5.99989e-12   -1.50798e-22 
         -0.455    6.31698e-12   -1.52587e-22 
          -0.45    6.55317e-12    8.13247e-23 
         -0.445    6.72827e-12   -9.95991e-23 
          -0.44    6.85721e-12     1.1815e-22 
         -0.435    6.95125e-12    6.99034e-23 
          -0.43    7.01888e-12    1.30392e-22 
         -0.425     7.0665e-12   -7.01753e-23 
          -0.42    7.09895e-12    2.84085e-24 
         -0.415    7.11986e-12   -1.02134e-22 
          -0.41    7.13199e-12    1.40875e-22 
         -0.405    7.13741e-12   -2.65659e-22 
           -0.4    7.13768e-12   -4.88116e-23 
         -0.395    7.13399e-12    2.48737e-22 
          -0.39    7.12723e-12    1.91807e-22 
         -0.385    7.11809e-12   -1.51073e-23 
          -0.38    7.10707e-12    1.07199e-22 
         -0.375    7.09457e-12    2.70007e-23 
          -0.37    7.08089e-12    -3.8691e-23 
         -0.365    7.06625e-12    3.46052e-23 
          -0.36    7.05083e-12     4.7479e-23 
         -0.355    7.03477e-12    9.21673e-23 
          -0.35    7.01816e-12    9.81221e-23 
         -0.345    7.00111e-12    3.26352e-23 
          -0.34    6.98367e-12   -9.98882e-23 
         -0.335     6.9659e-12   -1.19203e-22 
          -0.33    6.94784e-12   -1.01634e-22 
         -0.325    6.92954e-12    1.86106e-22 
          -0.32    6.91102e-12    2.09774e-22 
         -0.315    6.89232e-12    1.07059e-22 
          -0.31    6.87346e-12    4.68152e-23 
         -0.305    6.85447e-12    3.66727e-23 
           -0.3    6.83537e-12   -1.92617e-22 
         -0.295    6.81618e-12    4.16688e-23 
          -0.29    6.79693e-12    4.07261e-22 
         -0.285    6.77763e-12   -5.13945e-22 
          -0.28    6.75831e-12    3.33117e-22 
         -0.275    6.73898e-12    5.42349e-22 
          -0.27    6.71967e-12    3.03255e-22 
         -0.265    6.70041e-12    3.24695e-22 
          -0.26    6.68122e-12    2.41554e-22 
         -0.255    6.66212e-12    1.88297e-22 
          -0.25    6.64315e-12   -4.03811e-22 
         -0.245    6.62436e-12   -5.17397e-23 
          -0.24    6.60577e-12    2.18125e-23 
         -0.235    6.58746e-12   -1.26195e-22 
          -0.23    6.56948e-12    1.32056e-22 
         -0.225    6.55191e-12    7.32986e-23 
          -0.22    6.53488e-12   -1.51583e-23 
         -0.215     6.5185e-12   -1.10828e-22 
          -0.21    6.50297e-12    2.65934e-24 
         -0.205    6.48851e-12   -2.60072e-22 
           -0.2    6.47543e-12    2.94148e-22 
         -0.195    6.46412e-12    5.67011e-22 
          -0.19    6.45512e-12    1.50641e-22 
         -0.185    6.44911e-12    5.00109e-22 
          -0.18    6.44702e-12   -4.39674e-23 
         -0.175    6.45004e-12   -1.91427e-23 
          -0.17    6.45978e-12    -4.2493e-22 
         -0.165    6.47836e-12    5.97564e-22 
          -0.16    6.50857e-12   -4.78306e-22 
         -0.155    6.55411e-12    1.87396e-22 
          -0.15    6.61987e-12   -1.13999e-22 
         -0.145    6.71233e-12   -1.26185e-22 
          -0.14    6.84004e-12   -3.05931e-22 
         -0.135    7.01433e-12   -5.28635e-23 
          -0.13    7.25019e-12    1.22096e-22 
