      z,       b_n0_Re,       b_n0_Im
             -1,   -7.21012e-11,    5.13836e-25 
         -0.995,   -1.59745e-10,    8.46434e-26 
          -0.99,   -2.46868e-10,    5.18884e-25 
         -0.985,   -3.32543e-10,     3.3606e-25 
          -0.98,   -4.15903e-10,   -3.94368e-26 
         -0.975,   -4.96176e-10,   -2.72204e-25 
          -0.97,   -5.72719e-10,    -5.2316e-25 
         -0.965,   -6.45027e-10,   -1.53391e-25 
          -0.96,   -7.12748e-10,    -6.5381e-25 
         -0.955,   -7.75673e-10,    -4.7122e-25 
          -0.95,   -8.33725e-10,    1.22627e-24 
         -0.945,   -8.86943e-10,   -8.37212e-26 
          -0.94,   -9.35457e-10,    2.60089e-25 
         -0.935,   -9.79464e-10,   -1.59507e-24 
          -0.93,   -1.01921e-09,   -5.59348e-25 
         -0.925,   -1.05496e-09,   -1.00888e-25 
          -0.92,   -1.08701e-09,   -1.21013e-24 
         -0.915,   -1.11563e-09,    3.00977e-25 
          -0.91,   -1.14109e-09,    4.63456e-25 
         -0.905,   -1.16365e-09,   -4.67986e-25 
           -0.9,   -1.18355e-09,    2.36571e-25 
         -0.895,   -1.20099e-09,    6.14759e-26 
          -0.89,   -1.21619e-09,    4.88278e-25 
         -0.885,   -1.22932e-09,   -1.14854e-25 
          -0.88,   -1.24056e-09,    7.69333e-26 
         -0.875,   -1.25007e-09,    4.47434e-25 
          -0.87,     -1.258e-09,   -3.32166e-25 
         -0.865,    -1.2645e-09,   -1.84479e-25 
          -0.86,   -1.26972e-09,    5.06017e-25 
         -0.855,    -1.2738e-09,    1.08955e-24 
          -0.85,   -1.27691e-09,   -4.76593e-25 
         -0.845,   -1.27918e-09,    -8.8776e-25 
          -0.84,   -1.28077e-09,    7.28616e-25 
         -0.835,   -1.28186e-09,    4.14584e-25 
          -0.83,   -1.28259e-09,    1.11857e-24 
         -0.825,   -1.28316e-09,    3.30122e-25 
          -0.82,   -1.28374e-09,   -1.61636e-24 
         -0.815,   -1.28453e-09,    7.24224e-25 
          -0.81,   -1.28572e-09,   -1.19165e-24 
         -0.805,   -1.28752e-09,   -3.00375e-25 
           -0.8,   -1.29015e-09,   -9.39585e-25 
         -0.795,   -1.29384e-09,    2.58647e-25 
          -0.79,   -1.29884e-09,    8.40946e-25 
         -0.785,   -1.30538e-09,   -1.54773e-24 
          -0.78,   -1.31373e-09,   -1.27151e-24 
         -0.775,   -1.32417e-09,    2.68442e-25 
          -0.77,   -1.33699e-09,    8.83212e-26 
         -0.765,   -1.35248e-09,    4.57111e-25 
          -0.76,   -1.37097e-09,    3.02057e-25 
         -0.755,   -1.39279e-09,    2.05822e-24 
          -0.75,   -1.41829e-09,    2.37762e-26 
         -0.745,   -1.44784e-09,    1.87488e-24 
          -0.74,   -1.48183e-09,     3.9651e-25 
         -0.735,   -1.52067e-09,    3.08754e-25 
          -0.73,    -1.5648e-09,    7.79073e-25 
         -0.725,   -1.61468e-09,    -1.8016e-25 
          -0.72,    -1.6708e-09,   -5.66114e-25 
         -0.715,   -1.73367e-09,   -1.21912e-25 
          -0.71,   -1.80386e-09,     5.1353e-25 
         -0.705,   -1.88193e-09,   -6.77964e-25 
           -0.7,   -1.96853e-09,    6.87328e-25 
         -0.695,   -2.06433e-09,   -1.95778e-26 
          -0.69,   -2.17002e-09,    9.43141e-25 
         -0.685,   -2.28639e-09,   -4.67509e-25 
          -0.68,   -2.41424e-09,    6.56931e-25 
         -0.675,   -2.55446e-09,    1.00833e-24 
          -0.67,   -2.70798e-09,    7.39193e-25 
         -0.665,   -2.87582e-09,   -1.03589e-24 
          -0.66,   -3.05906e-09,    4.34301e-25 
         -0.655,   -3.25886e-09,    8.23553e-25 
          -0.65,   -3.47647e-09,   -4.89021e-25 
         -0.645,   -3.71322e-09,    2.77874e-25 
          -0.64,   -3.97054e-09,   -1.02031e-25 
         -0.635,   -4.24994e-09,   -1.72653e-25 
