      z,       b_n0_Re,       b_n0_Im
             -1,   -6.50721e-07,    1.53718e-22 
         -0.995,    -7.8543e-07,    1.77614e-23 
          -0.99,   -9.47178e-07,   -9.35546e-23 
         -0.985,   -1.14108e-06,   -2.62005e-22 
          -0.98,    -1.3731e-06,   -6.11278e-23 
         -0.975,   -1.65013e-06,    -2.9103e-22 
          -0.97,   -1.98013e-06,   -3.43853e-22 
         -0.965,   -2.37213e-06,    3.68987e-23 
          -0.96,   -2.83635e-06,    -3.3054e-22 
         -0.955,   -3.38418e-06,   -6.37039e-22 
          -0.95,   -4.02819e-06,     1.9205e-22 
         -0.945,   -4.78201e-06,    2.52448e-22 
          -0.94,   -5.66016e-06,    9.71659e-23 
         -0.935,   -6.67784e-06,   -1.41175e-22 
          -0.93,   -7.85043e-06,   -3.90546e-23 
         -0.925,   -9.19307e-06,   -2.35006e-22 
          -0.92,   -1.07199e-05,    2.64427e-22 
         -0.915,   -1.24432e-05,    3.58437e-22 
          -0.91,   -1.43726e-05,   -2.07713e-22 
         -0.905,   -1.65138e-05,    2.33489e-22 
           -0.9,   -1.88673e-05,    1.04146e-22 
         -0.895,   -2.14274e-05,    8.07757e-22 
          -0.89,    -2.4181e-05,     2.9113e-22 
         -0.885,   -2.71064e-05,    9.86676e-23 
          -0.88,   -3.01728e-05,    5.49243e-22 
         -0.875,   -3.33397e-05,    1.18008e-21 
          -0.87,   -3.65572e-05,    3.15868e-22 
         -0.865,   -3.97669e-05,   -1.63248e-22 
          -0.86,   -4.29029e-05,   -2.22603e-22 
         -0.855,   -4.58939e-05,   -1.50821e-22 
          -0.85,   -4.86663e-05,   -7.78971e-22 
         -0.845,   -5.11469e-05,   -1.80589e-22 
          -0.84,   -5.32663e-05,   -1.72537e-22 
         -0.835,   -5.49631e-05,   -8.66349e-23 
          -0.83,   -5.61863e-05,    3.40815e-24 
         -0.825,   -5.68989e-05,    8.28827e-23 
          -0.82,   -5.70796e-05,    1.96454e-22 
         -0.815,   -5.67243e-05,    1.87475e-22 
          -0.81,   -5.58459e-05,   -2.37115e-22 
         -0.805,   -5.44738e-05,   -8.47389e-23 
           -0.8,   -5.26518e-05,    -4.8368e-22 
         -0.795,   -5.04357e-05,    -1.4325e-22 
          -0.79,     -4.789e-05,    -5.5642e-22 
         -0.785,   -4.50848e-05,     4.2063e-22 
          -0.78,    -4.2092e-05,   -7.27106e-22 
         -0.775,   -3.89825e-05,   -5.62216e-22 
          -0.77,   -3.58231e-05,    1.02757e-21 
         -0.765,   -3.26748e-05,   -1.40148e-22 
          -0.76,   -2.95905e-05,    1.02751e-21 
         -0.755,   -2.66149e-05,    6.68904e-22 
          -0.75,   -2.37832e-05,   -1.13052e-21 
         -0.745,   -2.11221e-05,    3.76586e-22 
          -0.74,   -1.86496e-05,    2.54552e-22 
         -0.735,   -1.63761e-05,    -2.6145e-22 
          -0.73,   -1.43056e-05,    6.49082e-22 
         -0.725,   -1.24364e-05,    1.60314e-23 
          -0.72,   -1.07626e-05,    3.70926e-22 
         -0.715,    -9.2748e-06,    2.35289e-22 
