      z,       b_n0_Re,       b_n0_Im
             -1,   -3.09566e-13,    8.43558e-29 
         -0.995,    -3.0181e-13,   -1.40383e-27 
          -0.99,   -2.93048e-13,   -1.83504e-27 
         -0.985,   -2.83203e-13,   -8.68642e-29 
          -0.98,   -2.72204e-13,   -3.91746e-28 
         -0.975,   -2.59987e-13,   -1.30269e-27 
          -0.97,   -2.46497e-13,    1.19168e-27 
         -0.965,   -2.31685e-13,     1.2576e-27 
          -0.96,   -2.15508e-13,   -9.78531e-28 
         -0.955,   -1.97931e-13,    1.17698e-27 
          -0.95,   -1.78924e-13,    4.44947e-28 
         -0.945,   -1.58462e-13,    1.58685e-27 
          -0.94,   -1.36522e-13,    5.70226e-28 
         -0.935,   -1.13086e-13,    1.86469e-28 
          -0.93,   -8.81355e-14,   -5.29684e-28 
         -0.925,   -6.16551e-14,   -6.52485e-28 
          -0.92,   -3.36291e-14,   -2.53516e-28 
         -0.915,   -4.04204e-15,    4.61088e-28 
          -0.91,    2.71212e-14,   -5.59971e-28 
         -0.905,    5.98761e-14,   -1.12422e-27 
           -0.9,    9.42384e-14,   -1.52907e-27 
         -0.895,    1.30224e-13,   -1.33315e-27 
          -0.89,    1.67849e-13,   -3.63387e-28 
         -0.885,    2.07129e-13,     3.3231e-28 
          -0.88,     2.4808e-13,    9.97629e-29 
         -0.875,    2.90719e-13,    1.44352e-27 
          -0.87,    3.35061e-13,   -3.04348e-28 
         -0.865,    3.81123e-13,     4.2947e-28 
          -0.86,    4.28918e-13,   -6.08449e-28 
         -0.855,    4.78464e-13,   -1.43315e-28 
          -0.85,    5.29773e-13,   -2.91853e-28 
         -0.845,    5.82861e-13,   -3.61782e-28 
          -0.84,    6.37742e-13,     1.2668e-27 
         -0.835,     6.9443e-13,    2.99139e-28 
          -0.83,    7.52939e-13,    4.02052e-28 
         -0.825,    8.13283e-13,   -2.52186e-29 
          -0.82,    8.75476e-13,    1.39493e-27 
         -0.815,     9.3953e-13,   -4.31581e-28 
          -0.81,    1.00546e-12,     1.3657e-27 
         -0.805,    1.07328e-12,   -5.83531e-28 
           -0.8,    1.14301e-12,   -5.09334e-28 
         -0.795,    1.21466e-12,    1.27814e-28 
          -0.79,    1.28824e-12,   -1.05769e-27 
