      z,       a_n0_Re,       a_n0_Im
             -1    2.61329e-18    2.45538e-33 
         -0.995    2.48513e-18   -1.24162e-32 
          -0.99    2.34823e-18    4.40179e-34 
         -0.985    2.20241e-18   -1.02387e-32 
          -0.98    2.04752e-18      1.467e-33 
         -0.975     1.8834e-18    6.05716e-33 
          -0.97    1.70991e-18     4.4046e-33 
         -0.965    1.52692e-18    2.69181e-33 
          -0.96    1.33425e-18    3.90675e-33 
         -0.955    1.13173e-18   -8.72431e-33 
          -0.95    9.19143e-19   -8.19421e-33 
         -0.945    6.96272e-19   -4.70876e-33 
          -0.94    4.62858e-19   -5.35006e-34 
         -0.935    2.18619e-19    7.07266e-33 
          -0.93   -3.67461e-20    2.88098e-33 
         -0.925   -3.03556e-19    4.74681e-33 
          -0.92   -5.82143e-19    3.80734e-33 
         -0.915   -8.72847e-19    9.63775e-34 
          -0.91   -1.17601e-18    1.09731e-32 
         -0.905   -1.49198e-18    4.47302e-33 
           -0.9   -1.82108e-18    5.13463e-33 
         -0.895   -2.16366e-18    -1.0315e-32 
          -0.89   -2.52003e-18    5.63905e-34 
         -0.885    -2.8905e-18    -4.3843e-33 
          -0.88   -3.27539e-18    4.92902e-33 
         -0.875   -3.67499e-18   -4.72843e-33 
          -0.87   -4.08958e-18    9.43073e-34 
         -0.865   -4.51944e-18     6.2315e-34 
          -0.86   -4.96484e-18    7.25004e-33 
         -0.855   -5.42601e-18   -3.10845e-33 
          -0.85   -5.90321e-18   -1.01638e-33 
         -0.845   -6.39665e-18    1.22565e-32 
          -0.84    -6.9065e-18    -5.0728e-33 
         -0.835   -7.43296e-18    1.26947e-32 
          -0.83   -7.97614e-18    3.25675e-33 
         -0.825   -8.53618e-18    -8.8578e-33 
          -0.82   -9.11317e-18    4.24749e-33 
         -0.815   -9.70719e-18    9.08952e-33 
          -0.81   -1.03183e-17    3.93074e-33 
         -0.805   -1.09466e-17   -1.21583e-32 
           -0.8   -1.15921e-17    9.92794e-33 
         -0.795    -1.2255e-17   -6.34835e-33 
          -0.79   -1.29354e-17   -1.14074e-32 
         -0.785   -1.36335e-17   -1.01701e-32 
          -0.78   -1.43496e-17   -1.00479e-33 
         -0.775   -1.50841e-17    5.64711e-35 
          -0.77   -1.58375e-17   -8.41979e-33 
         -0.765   -1.66101e-17   -8.38024e-34 
          -0.76   -1.74026e-17    4.06511e-33 
         -0.755   -1.82157e-17    2.81089e-33 
          -0.75     -1.905e-17    4.19733e-34 
         -0.745   -1.99061e-17   -6.88517e-35 
          -0.74   -2.07848e-17    7.46706e-34 
         -0.735   -2.16867e-17    1.76626e-33 
          -0.73   -2.26124e-17    1.94787e-33 
         -0.725   -2.35625e-17    2.31963e-33 
          -0.72   -2.45374e-17    1.07696e-32 
         -0.715   -2.55375e-17   -3.39334e-33 
          -0.71   -2.65634e-17     1.2107e-32 
         -0.705   -2.76154e-17   -4.41006e-33 
           -0.7    -2.8694e-17     6.9955e-34 
         -0.695   -2.97996e-17   -1.16767e-33 
          -0.69   -3.09329e-17    3.91444e-34 
         -0.685   -3.20945e-17   -9.24842e-33 
          -0.68   -3.32852e-17   -2.62238e-33 
         -0.675    -3.4506e-17   -1.07166e-32 
          -0.67   -3.57577e-17    1.31008e-32 
         -0.665   -3.70417e-17   -9.43949e-33 
          -0.66    -3.8359e-17    7.81717e-33 
         -0.655    -3.9711e-17    8.21592e-33 
          -0.65   -4.10989e-17    3.12405e-33 
         -0.645   -4.25241e-17    8.39177e-33 
          -0.64   -4.39879e-17     7.1578e-33 
         -0.635   -4.54916e-17   -1.04485e-35 
          -0.63   -4.70364e-17   -3.28699e-33 
         -0.625   -4.86237e-17    1.32082e-33 
          -0.62   -5.02548e-17    7.44134e-34 
         -0.615   -5.19311e-17     2.9559e-33 
          -0.61   -5.36539e-17    9.77556e-33 
         -0.605   -5.54251e-17   -4.74599e-34 
           -0.6   -5.72464e-17     3.9709e-33 
         -0.595     -5.912e-17   -8.05704e-33 
          -0.59   -6.10484e-17    1.52687e-33 
         -0.585   -6.30344e-17    2.41474e-33 
          -0.58   -6.50814e-17    5.26584e-33 
         -0.575    -6.7193e-17    6.04991e-33 
          -0.57   -6.93737e-17    4.43671e-33 
         -0.565   -7.16282e-17    1.47438e-32 
          -0.56    -7.3962e-17    2.80163e-33 
         -0.555   -7.63811e-17   -1.46575e-32 
          -0.55   -7.88925e-17    2.67954e-33 
         -0.545   -8.15033e-17    5.75834e-34 
          -0.54   -8.42218e-17    1.55613e-32 
         -0.535   -8.70566e-17    -8.1642e-33 
          -0.53   -9.00172e-17    3.63337e-33 
         -0.525   -9.31138e-17    1.29803e-32 
          -0.52   -9.63569e-17   -5.11931e-33 
         -0.515   -9.97578e-17   -6.09689e-33 
          -0.51   -1.03329e-16    2.02297e-33 
         -0.505   -1.07081e-16   -9.80518e-33 
           -0.5   -1.11029e-16    1.57162e-33 
         -0.495   -1.15185e-16   -4.21755e-33 
          -0.49   -1.19564e-16    9.68328e-33 
         -0.485   -1.24178e-16   -1.17733e-32 
          -0.48   -1.29044e-16    3.63393e-33 
         -0.475   -1.34175e-16   -9.55889e-33 
          -0.47   -1.39589e-16   -5.14275e-33 
         -0.465     -1.453e-16    -2.8178e-33 
          -0.46   -1.51325e-16   -7.96876e-33 
         -0.455   -1.57681e-16    7.48687e-33 
          -0.45   -1.64387e-16    9.28852e-33 
         -0.445    -1.7146e-16   -2.83145e-33 
          -0.44   -1.78919e-16   -4.53233e-33 
         -0.435   -1.86782e-16    9.07744e-33 
          -0.43    -1.9507e-16   -1.04247e-32 
         -0.425     -2.038e-16   -9.40418e-33 
          -0.42    -2.1299e-16    2.97531e-33 
         -0.415    -2.2266e-16   -8.83772e-33 
          -0.41   -2.32823e-16   -2.89983e-33 
         -0.405   -2.43495e-16    5.42194e-33 
           -0.4   -2.54687e-16   -9.70524e-33 
         -0.395   -2.66405e-16     7.9844e-33 
