      z,       a_n0_Re,       a_n0_Im
             -1    5.61866e-14    1.12855e-29 
         -0.995    5.36107e-14    3.82984e-29 
          -0.99    5.10945e-14   -1.29379e-28 
         -0.985    4.86372e-14    6.01815e-29 
          -0.98     4.6238e-14   -1.79905e-28 
         -0.975    4.38953e-14    1.41678e-29 
          -0.97    4.16075e-14    1.04176e-28 
         -0.965    3.93726e-14   -1.74152e-28 
          -0.96    3.71881e-14     3.8096e-29 
         -0.955    3.50514e-14   -3.46488e-29 
          -0.95    3.29595e-14   -4.19202e-29 
         -0.945    3.09091e-14    3.05676e-28 
          -0.94    2.88967e-14    1.98273e-28 
         -0.935    2.69186e-14   -1.40289e-28 
          -0.93    2.49705e-14     7.7774e-30 
         -0.925    2.30483e-14   -1.36633e-28 
          -0.92    2.11474e-14   -1.25561e-28 
         -0.915    1.92629e-14   -8.86777e-29 
          -0.91    1.73898e-14    1.38999e-28 
         -0.905    1.55228e-14     2.9359e-29 
           -0.9    1.36563e-14     5.0276e-29 
         -0.895    1.17845e-14    9.06506e-29 
          -0.89    9.90126e-15   -3.21491e-28 
         -0.885    8.00017e-15   -3.21654e-28 
          -0.88    6.07452e-15    -1.6781e-28 
         -0.875    4.11725e-15    1.27746e-28 
          -0.87    2.12094e-15   -7.46296e-29 
         -0.865    7.77908e-17     1.9131e-28 
          -0.86   -2.02041e-15   -2.18308e-28 
         -0.855   -4.18232e-15    2.29869e-28 
          -0.85   -6.41708e-15   -1.83248e-28 
         -0.845   -8.73433e-15   -1.22208e-28 
          -0.84   -1.11443e-14   -2.31143e-28 
         -0.835   -1.36578e-14   -1.41074e-28 
          -0.83   -1.62862e-14   -3.83744e-28 
         -0.825   -1.90418e-14    1.81508e-28 
          -0.82   -2.19373e-14    7.14235e-29 
         -0.815   -2.49866e-14   -4.01212e-28 
          -0.81   -2.82043e-14    4.13218e-28 
         -0.805   -3.16057e-14    3.09984e-28 
           -0.8   -3.52075e-14    1.42726e-29 
         -0.795   -3.90272e-14    2.10267e-28 
          -0.79   -4.30835e-14    1.49721e-28 
         -0.785   -4.73966e-14    1.33669e-28 
          -0.78   -5.19877e-14    8.45042e-29 
         -0.775   -5.68797e-14    3.07795e-28 
          -0.77   -6.20967e-14   -4.14314e-29 
         -0.765   -6.76649e-14   -5.76873e-29 
          -0.76   -7.36119e-14   -1.81049e-29 
         -0.755   -7.99674e-14    2.00401e-28 
          -0.75    -8.6763e-14   -3.88903e-28 
         -0.745   -9.40325e-14   -4.23756e-28 
          -0.74   -1.01812e-13    3.55765e-29 
         -0.735   -1.10141e-13   -9.14935e-29 
